am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,status_gl,status_pr,status_gl_score,status_pr_score,iucn_score
ITS-176996,EN,Brachyramphus marmoratus,22694870,Decreasing,EN,BOTW,22694870,NA,iucn-bli,0.4,-0.5,G3,"S3B,S3N",0.4,0.4,0.6
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0.0,0.5,G5,S5B,0.0,0.0,0.0
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0.0,0.0,G5,S5,0.0,0.0,0.0
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0.1,0.5,G5,S4S5,0.0,0.1,0.0
ITS-176991,LC,Cepphus columba,22694864,Stable,LC,BOTW,22694864,NA,iucn-bli,0.2,0.0,G5,S4B,0.0,0.2,0.0
ITS-177023,LC,Cerorhinca monocerata,22694924,Decreasing,LC,BOTW,22694924,NA,iucn-bli,0.2,-0.5,G5,S4B,0.0,0.2,0.0
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0.2,-0.5,G4,S4B,0.2,0.2,0.0
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0.8,0.5,G5,"S1B, S4N",0.0,0.8,0.0
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0.2,0.5,G4,"S4B,S3N",0.2,0.2,0.0
ITS-176935,LC,Hydroprogne caspia,22694524,Increasing,LC,BOTW,22694524,NA,iucn-bli,0.4,0.5,G5,S3B,0.0,0.4,0.0
ITS-176829,LC,Larus californicus,22694321,Decreasing,LC,BOTW,22694321,NA,iucn-bli,0.5,-0.5,G5,S2S3B,0.0,0.5,0.0
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0.2,NA,G5,S4B,0.0,0.2,0.0
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0.2,0.5,G5,S4?B,0.0,0.2,0.0
ITS-176814,LC,Larus glaucescens,22694334,Increasing,LC,BOTW,22694334,NA,iucn-bli,0.2,0.5,G5,S4,0.0,0.2,0.0
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0.0,0.0,G5,SNRM,0.0,NA,0.0
ITS-176817,LC,Larus occidentalis,22694337,Increasing,LC,BOTW,22694337,NA,iucn-bli,0.0,0.5,G5,SUN,0.0,NA,0.0
ITS-176839,LC,Larus philadelphia,22694432,Increasing,LC,BOTW,22694432,NA,iucn-bli,0.0,0.5,NA,NA,NA,NA,0.0
ITS-175170,LC,Melanitta perspicillata,22680441,Decreasing,LC,BOTW,22680441,NA,iucn-bli,0.4,-0.5,G5,"S3B,S4N",0.0,0.4,0.0
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0.2,0.0,G5,S4B,0.0,0.2,0.0
ITS-174717,LC,Phalacrocorax auritus,22696776,Increasing,LC,BOTW,22696776,NA,iucn-bli,0.3,0.5,G5,S3S4B,0.0,0.3,0.0
ITS-174725,LC,Phalacrocorax pelagicus,22728950,Decreasing,LC,BOTW,22728950,NA,iucn-bli,0.2,-0.5,G5,S4B,0.0,0.2,0.0
ITS-174724,LC,Phalacrocorax penicillatus,22696753,Decreasing,LC,BOTW,22696753,NA,iucn-bli,0.8,-0.5,G5,"S1B,S4N",0.0,0.8,0.0
ITS-177013,LC,Ptychoramphus aleuticus,22694903,Decreasing,NT,BOTW,22694903,NA,iucn-bli,0.4,-0.5,G4,"S3B,S4N",0.2,0.4,0.2
ITS-176888,LC,Sterna hirundo,22694623,Decreasing,LC,BOTW,22694623,NA,iucn-bli,0.0,-0.5,G5,SUM,0.0,NA,0.0
ITS-176890,LC,Sterna paradisaea,22694629,Decreasing,LC,BOTW,22694629,NA,iucn-bli,0.2,-0.5,G5,S4B,0.0,0.2,0.0
ITS-177008,LC,Synthliboramphus antiquus,22694896,Decreasing,LC,BOTW,22694896,NA,iucn-bli,0.5,-0.5,G4,"S2S3B,S4N",0.2,0.5,0.0
ITS-176974,LC,Uria aalge,22694841,Increasing,LC,BOTW,22694841,NA,iucn-bli,0.6,0.5,G5,"S2B,S3S4N",0.0,0.6,0.0
NA,NA,Actitis macularia,22693277,Decreasing,LC,BOTW,22693277,NA,iucn-bli,0.0,-0.5,NA,NA,NA,NA,0.0
NA,NA,Actitis macularius,22693277,Decreasing,LC,BOTW,22693277,NA,iucn-bli,0.0,-0.5,G5,S5B,0.0,0.0,0.0
NA,NA,Tringa macularia,22693277,Decreasing,LC,BOTW,22693277,NA,iucn-bli,0.0,-0.5,NA,NA,NA,NA,0.0
NA,NA,Anas acuta,22680301,Decreasing,LC,BOTW,22680301,NA,iucn-bli,0.2,-0.5,G5,"S4B,S5N",0.0,0.2,0.0
NA,NA,Anas americana,22680163,Stable,LC,BOTW,22680163,NA,iucn-bli,0.0,0.0,G5,"S5B,S5N",0.0,0.0,0.0
NA,NA,Mareca americana,22680163,Stable,LC,BOTW,22680163,NA,iucn-bli,0.0,0.0,NA,NA,NA,NA,0.0
NA,NA,Anas clypeata,22680247,Decreasing,LC,BOTW,22680247,NA,iucn-bli,0.0,-0.5,G5,"S5B,S5N",0.0,0.0,0.0
NA,NA,Anas discors,22680229,Decreasing,LC,BOTW,22680229,NA,iucn-bli,0.1,-0.5,G5,S4S5B,0.0,0.1,0.0
NA,NA,Anas penelope,22680157,Decreasing,LC,BOTW,22680157,NA,iucn-bli,0.0,-0.5,G5,SNRN,0.0,NA,0.0
NA,NA,Mareca penelope,22680157,Decreasing,LC,BOTW,22680157,NA,iucn-bli,0.0,-0.5,NA,NA,NA,NA,0.0
NA,NA,Anser albifrons,22679881,Unknown,LC,BOTW,22679881,NA,iucn-bli,0.2,NA,G5,S4M,0.0,0.2,0.0
NA,NA,Anser caerulescens,22679896,Increasing,LC,BOTW,22679896,NA,iucn-bli,0.0,0.5,NA,NA,NA,NA,0.0
NA,NA,Anser caerulescens caerulescens,22679896,Increasing,LC,BOTW,22679896,NA,iucn-bli,0.0,0.5,NA,NA,NA,NA,0.0
NA,NA,Chen caerulescens,22679896,Increasing,LC,BOTW,22679896,NA,iucn-bli,0.2,0.5,G5,S4M,0.0,0.2,0.0
NA,NA,Anthus rubescens,22718575,Decreasing,LC,BOTW,22718575,NA,iucn-bli,0.0,-0.5,G5,S5B,0.0,0.0,0.0
NA,NA,Aphriza virgata,22693356,Decreasing,LC,BOTW,22693356,NA,iucn-bli,0.0,-0.5,NA,NA,NA,NA,0.0
NA,NA,Ardea herodias,22696998,Increasing,LC,BOTW,22696998,NA,iucn-bli,0.4,0.5,G5,S3B,0.0,0.4,0.0
NA,NA,Puffinus carneipes,22698188,Stable,LC,BOTW,22698188,NA,iucn-bli,0.4,0.0,G4,S3N,0.2,0.4,0.0
NA,NA,Puffinus creatopus,22698195,Unknown,VU,BOTW,22698195,NA,iucn-bli,0.4,NA,G3,S3N,0.4,0.4,0.4
NA,NA,Puffinus griseus,22698209,Decreasing,NT,BOTW,22698209,NA,iucn-bli,0.2,-0.5,G5,SNRM,0.0,NA,0.2
NA,NA,Puffinus tenuirostris,22698216,Decreasing,LC,BOTW,22698216,NA,iucn-bli,0.0,-0.5,G5,SUM,0.0,NA,0.0
NA,NA,Arenaria melanocephala,22693341,Stable,LC,BOTW,22693341,NA,iucn-bli,0.2,0.0,G5,"S4N,S5M",0.0,0.2,0.0
NA,NA,Aythya affinis,22680402,Decreasing,LC,BOTW,22680402,NA,iucn-bli,0.0,-0.5,G5,"S5B,S5N",0.0,0.0,0.0
NA,NA,Aythya americana,22680367,Increasing,LC,BOTW,22680367,NA,iucn-bli,0.2,0.5,G5,"S4B,S5N",0.0,0.2,0.0
NA,NA,Aythya marila,22680398,Decreasing,LC,BOTW,22680398,NA,iucn-bli,0.2,-0.5,G5,S4N,0.0,0.2,0.0
NA,NA,Aythya valisineria,22680364,Decreasing,LC,BOTW,22680364,NA,iucn-bli,0.2,-0.5,G5,S4B,0.0,0.2,0.0
