am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score
Fis-13152,13462250,am,Guentherus altivela,0.0,NA,NA
Fis-133251,170306,iucn,Scomber colias,0.0,NA,0.0
Fis-136946,194997,am,Arctozenus risso,0.0,NA,NA
Fis-139729,190485,am,Melanolagus bericoides,0.0,NA,NA
Fis-150167,60483137,am,Regalecus russelii,0.0,NA,NA
Fis-156254,NA,am,Oncorhynchus clarkii,0.2,0.2,NA
Fis-20033,161731,am,Pteroplatytrygon violacea,0.0,NA,NA
Fis-21631,170352,iucn,Sarda chiliensis,0.0,NA,-0.5
Fis-22747,4292,am,Cetorhinus maximus,0.4,NA,-0.5
Fis-22777,170310,iucn,Katsuwonus pelamis,0.0,NA,0.0
Fis-22897,155030,am,Macroramphosus scolopax,0.0,NA,NA
Fis-22908,183411,am,Merluccius productus,0.0,NA,NA
Fis-22915,NA,am,Oncorhynchus gorbuscha,0.0,0.0,NA
Fis-22916,NA,am,Oncorhynchus keta,0.0,0.0,NA
Fis-22917,NA,am,Oncorhynchus kisutch,0.2,0.2,NA
Fis-22919,NA,am,Oncorhynchus mykiss,0.0,0.0,NA
Fis-22920,135301,am,Oncorhynchus nerka,0.2,0.2,0.0
Fis-22921,NA,am,Oncorhynchus tshawytscha,0.2,0.2,NA
Fis-22963,202415,am,Thaleichthys pacificus,0.5,0.5,NA
Fis-23071,3855,am,Carcharodon carcharias,0.4,NA,NA
Fis-23129,39378,am,Galeocerdo cuvier,0.2,NA,NA
Fis-23157,10030,am,Hexanchus griseus,0.2,NA,NA
Fis-23192,190452,am,Naucrates ductor,0.0,NA,0.0
Fis-23215,183337,am,Peprilus simillimus,0.0,NA,NA
Fis-23222,39381,am,Prionace glauca,0.2,NA,NA
Fis-23277,39388,am,Sphyrna zygaena,0.4,NA,-0.5
Fis-23454,190133,am,Cyclothone microdon,0.0,NA,0.0
Fis-23454,194902,am,Cyclothone microdon,0.0,NA,NA
Fis-23484,198615,am,Electrona risso,0.0,NA,NA
Fis-23580,195038,am,Lampris guttatus,0.0,NA,NA
Fis-23605,190425,am,Lobianchia gemellarii,0.0,NA,NA
Fis-23759,198651,am,Remora remora,0.0,NA,0.0
Fis-23893,190346,am,Zu cristatus,0.0,NA,NA
Fis-23899,39339,am,Alopias vulpinus,0.4,NA,-0.5
Fis-23904,18123960,am,Anoplogaster cornuta,0.0,NA,NA
Fis-24068,60191,am,Hydrolagus colliei,0.0,NA,0.0
Fis-24151,16545183,am,Nomeus gronovii,0.0,NA,NA
Fis-24310,161402,am,Bathyraja interrupta,0.0,NA,NA
Fis-24312,161595,am,Raja rhina,0.0,NA,0.0
Fis-24314,161629,am,Raja stellulata,0.0,NA,NA
Fis-24332,NA,am,Salvelinus malma,0.2,0.2,NA
Fis-24354,184099,am,Spirinchus thaleichthys,0.2,0.2,NA
Fis-24514,155094,am,Clinocottus globiceps,0.0,NA,NA
Fis-24555,154977,am,Eopsetta jordani,0.0,NA,0.0
Fis-24759,154845,am,Lyopsetta exilis,0.0,NA,0.0
Fis-24895,154866,am,Pholis ornata,0.0,NA,NA
Fis-24899,19014407,am,Platichthys stellatus,0.0,NA,0.0
Fis-24923,18878,am,Pungitius pungitius,0.0,NA,0.0
Fis-24930,155068,am,Remora brachyptera,0.0,NA,0.0
Fis-24933,155179,am,Rhacochilus vacca,0.0,NA,NA
Fis-25165,15598887,am,Hygophum reinhardtii,0.0,NA,NA
Fis-25178,190261,am,Notolychnus valdiviae,0.0,NA,0.0
Fis-25421,16509297,am,Promethichthys prometheus,0.0,NA,0.0
Fis-26206,15598524,am,Benthosema suborbitale,0.0,NA,0.0
Fis-26531,198614,am,Diogenichthys atlanticus,0.0,NA,0.0
Fis-26997,63107,am,Callorhinchus callorynchus,0.0,NA,NA
Fis-27275,21110056,am,Diretmoides pauciradiatus,0.0,NA,NA
Fis-28109,18155933,am,Barbantus curvifrons,0.0,NA,NA
Fis-28112,21104612,am,Holtbyrnia innesi,0.0,NA,NA
Fis-28135,154635,am,Lestidiops ringens,0.0,NA,NA
Fis-28170,18253303,am,Valenciennellus tripunctulatus,0.0,NA,NA
Fis-29263,154820,am,Alepisaurus ferox,0.0,NA,NA
Fis-29423,60225,am,Isurus paucus,0.4,NA,-0.5
Fis-29454,135567,am,Mugil cephalus,0.0,NA,0.0
Fis-29507,170306,iucn,Scomber japonicus,0.0,NA,0.0
Fis-29523,195097,am,Seriola lalandi,0.0,NA,0.0
Fis-29541,39328,am,Squatina californica,0.2,NA,NA
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0
Fis-29594,234,am,Acipenser transmontanus,0.7142857142857143,0.7142857142857143,0.0
Fis-29731,198578,am,Beryx decadactylus,0.0,NA,NA
Fis-29801,190324,am,Chauliodus sloani,0.0,NA,NA
Fis-29877,190067,am,Cryptopsaras couesii,0.0,NA,NA
Fis-29880,198757,am,Cyclothone braueri,0.0,NA,0.0
Fis-29881,192929,am,Cymatogaster aggregata,0.0,NA,0.0
Fis-29948,183856,am,Engraulis mordax,0.0,NA,0.0
Fis-30017,190163,am,Exocoetus obtusirostris,0.0,NA,NA
Fis-30039,8951,am,Gasterosteus aculeatus,0.3,0.3,0.0
Fis-30043,178902,am,Gibbonsia montereyensis,0.0,NA,NA
Fis-30255,190116,am,Luvarus imperialis,0.0,NA,NA
Fis-30362,195852,am,Notacanthus chemnitzii,0.0,NA,NA
Fis-30514,183724,am,Porichthys notatus,0.0,NA,NA
Fis-30562,44183,am,Raja binoculata,0.2,NA,NA
Fis-30575,190378,am,Regalecus glesne,0.0,NA,NA
Fis-30588,190432,am,Ruvettus pretiosus,0.0,NA,0.0
Fis-30643,NA,am,Sebastes paucispinis,0.8,NA,NA
Fis-30693,65374916,am,Syngnathus leptorhynchus,0.0,NA,NA
Fis-30711,198716,am,Tetragonurus cuvieri,0.0,NA,0.0
Fis-30824,155216,am,Icelinus filamentosus,0.0,NA,NA
Fis-30832,202670,am,Leptocottus armatus,0.0,NA,0.0
Fis-30888,29609,am,Sebastolobus alascanus,0.6,NA,NA
Fis-30919,60483273,am,Rondeletia loricata,0.0,NA,NA
Fis-30920,21110276,am,Barbourisia rufa,0.0,NA,NA
Fis-31020,18127741,am,Ceratias holboelli,0.0,NA,NA
Fis-31166,198579,am,Hoplostethus mediterraneus,0.0,NA,NA
Fis-31237,15622831,am,Ectreposebastes imus,0.0,NA,NA
Fis-31240,18252612,am,Cyclothone acclinidens,0.0,NA,0.0
Fis-32102,18252619,am,Cyclothone pallida,0.0,NA,0.0
Fis-32104,154998,am,Argyropelecus hemigymnus,0.0,NA,0.0
Fis-32362,155093,am,Derichthys serpentinus,0.0,NA,NA
Fis-32421,18158583,am,Nesiarchus nasutus,0.0,NA,0.0
Fis-32809,44993,am,Discopyge tschudii,0.2,NA,-0.5
Fis-34615,190217,am,Platytroctes apus,0.0,NA,NA
Fis-34827,18257303,am,Melanostomias bartonbeani,0.0,NA,NA
Fis-35686,183761,am,Hippoglossina macrops,0.0,NA,NA
Fis-47643,13485635,am,Magnisudis atlantica,0.0,NA,NA
Fis-48258,NA,am,Entosphenus tridentatus,0.0,0.0,NA
Fis-48267,202625,am,Lampetra ayresii,0.2,0.2,NA
Fis-49913,13485675,am,Benthalbella infans,0.0,NA,NA
Fis-49922,190316,am,Scopelarchus analis,0.0,NA,NA
Fis-64212,190315,am,Serrivomer beanii,0.0,NA,NA
Fis-64697,18127840,am,Melanocetus johnsonii,0.0,NA,NA
ITS-174536,22697866,iucn-bli,Fulmarus glacialis,0.8,0.8,0.5
ITS-174717,22696776,iucn-bli,Phalacrocorax auritus,0.3,0.3,0.5
ITS-174724,22696753,iucn-bli,Phalacrocorax penicillatus,0.8,0.8,-0.5
ITS-174725,22728950,iucn-bli,Phalacrocorax pelagicus,0.2,0.2,-0.5
ITS-175141,22680455,iucn-bli,Bucephala clangula,0.0,0.0,0.0
ITS-175144,22680459,iucn-bli,Bucephala islandica,0.1,0.1,0.5
ITS-175145,22680462,iucn-bli,Bucephala albeola,0.0,0.0,0.5
ITS-175149,22680423,iucn-bli,Histrionicus histrionicus,0.2,0.2,0.5
ITS-175170,22680441,iucn-bli,Melanitta perspicillata,0.4,0.4,-0.5
ITS-175187,22680485,iucn-bli,Mergus serrator,0.2,0.2,0.0
ITS-176808,22694343,iucn-bli,Larus hyperboreus,0.0,NA,0.0
ITS-176814,22694334,iucn-bli,Larus glaucescens,0.2,0.2,0.5
ITS-176817,22694337,iucn-bli,Larus occidentalis,0.0,NA,0.5
ITS-176829,22694321,iucn-bli,Larus californicus,0.5,0.5,-0.5
ITS-176830,22694317,iucn-bli,Larus delawarensis,0.2,0.2,0.5
ITS-176832,22694308,iucn-bli,Larus canus,0.2,0.2,NA
ITS-176839,22694432,iucn-bli,Larus philadelphia,0.0,NA,0.5
ITS-176888,22694623,iucn-bli,Sterna hirundo,0.0,NA,-0.5
ITS-176890,22694629,iucn-bli,Sterna paradisaea,0.2,0.2,-0.5
ITS-176935,22694524,iucn-bli,Hydroprogne caspia,0.4,0.4,0.5
ITS-176959,22694787,iucn-bli,Chlidonias niger,0.2,0.2,-0.5
ITS-176974,22694841,iucn-bli,Uria aalge,0.6,0.6,0.5
ITS-176991,22694864,iucn-bli,Cepphus columba,0.2,0.2,0.0
ITS-176996,22694870,iucn-bli,Brachyramphus marmoratus,0.4,0.4,-0.5
ITS-177008,22694896,iucn-bli,Synthliboramphus antiquus,0.5,0.5,-0.5
ITS-177013,22694903,iucn-bli,Ptychoramphus aleuticus,0.4,0.4,-0.5
ITS-177023,22694924,iucn-bli,Cerorhinca monocerata,0.2,0.2,-0.5
ITS-Mam-180434,20731,iucn,Stenella coeruleoalba,0.0,NA,NA
ITS-Mam-180438,6336,iucn,Delphinus delphis,0.0,NA,NA
ITS-Mam-180444,11145,iucn,Lagenorhynchus obliquidens,0.1,0.1,NA
ITS-Mam-180457,9461,iucn,Grampus griseus,0.2,0.2,NA
ITS-Mam-180469,15421,am,Orcinus orca,0.6,0.6,NA
ITS-Mam-180473,17027,iucn,Phocoena phocoena,0.4,0.4,NA
ITS-Mam-180480,17032,iucn,Phocoenoides dalli,0.1,0.1,NA
ITS-Mam-180488,41755,iucn,Physeter macrocephalus,0.3,0.3,NA
ITS-Mam-180498,23211,iucn,Ziphius cavirostris,0.0,NA,NA
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0
ITS-Mam-180524,2474,iucn,Balaenoptera acutorostrata,0.2,0.2,0.0
ITS-Mam-180526,2475,iucn,Balaenoptera borealis,1.0,1.0,NA
ITS-Mam-180527,2478,iucn,Balaenoptera physalus,0.6,0.6,NA
ITS-Mam-180528,2477,iucn,Balaenoptera musculus,0.8,0.8,0.5
ITS-Mam-180530,13006,iucn,Megaptera novaeangliae,0.4,0.4,0.5
ITS-Mam-180621,41666,iucn,Zalophus californianus,0.0,0.0,0.5
ITS-Mam-180625,8239,iucn,Eumetopias jubatus,0.4,0.4,0.5
ITS-Mam-180627,3590,iucn,Callorhinus ursinus,0.6,0.6,-0.5
ITS-Mam-180649,17013,iucn,Phoca vitulina,0.0,0.0,0.0
ITS-Mam-180672,13581,iucn,Mirounga angustirostris,0.8,0.8,0.5
Rep-4381,46967817,iucn,Dermochelys coriacea,0.7,0.7,-0.5
Rep-5181,8005,iucn,Eretmochelys imbricata,0.8,NA,-0.5
Rep-6936,11534,iucn,Lepidochelys olivacea,0.4,NA,-0.5
SLB-190538,NA,am,Grimalditeuthis bonplandii,0.0,NA,NA
SLB-70957,163207,am,Haliphron atlanticus,0.0,NA,NA
SLB-70962,163211,am,Argonauta hians,0.0,NA,NA
SLB-70969,163312,am,Bolitaena pygmaea,0.0,NA,NA
SLB-71422,176066,am,Chiroteuthis veranyi,0.0,NA,NA
SLB-71435,162909,am,Egea inermis,0.0,NA,NA
SLB-71465,163256,am,Discoteuthis discus,0.0,NA,NA
SLB-71490,163094,am,Abraliopsis felis,0.0,NA,NA
SLB-71510,176070,am,Berryteuthis magister,0.0,NA,NA
SLB-71523,162950,am,Gonatus onyx,0.0,NA,NA
W-Msc-138849,162986,am,Japetella diaphana,0.0,NA,NA
W-Msc-139422,163338,am,Bathothauma lyromma,0.0,NA,NA
W-Msc-140609,163267,am,Taningia danae,0.0,NA,NA
W-Msc-141962,162988,am,Vitreledonella richardi,0.0,NA,NA
W-Msc-157031,163353,am,Pyroteuthis margaritifera,0.0,NA,NA
W-Msc-181382,163163,am,Ommastrephes bartramii,0.0,NA,NA
W-Msc-341818,163218,am,Liocranchia reinhardti,0.0,NA,NA
NA,8005,iucn,Testudo imbricata,0.8,NA,-0.5
NA,11145,iucn,Lagenorhynchus ognevi,0.0,NA,NA
NA,11534,iucn,Chelonia olivacea,0.4,NA,-0.5
NA,12302,iucn,Lontra canadensis,0.0,0.0,0.0
NA,17032,iucn,Phocoenoides truei,0.0,NA,NA
NA,20731,iucn,Stenella euphrosyne,0.0,NA,NA
NA,153538,iucn,Zostera marina,0.0,0.0,-0.5
NA,170306,iucn,Pneumatophorus colias,0.0,NA,0.0
NA,170310,iucn,Euthynnus pelamis,0.0,NA,0.0
NA,170352,iucn,Pelamys chiliensis,0.0,NA,-0.5
NA,173320,iucn,Phyllospadix torreyi,0.2,0.2,0.0
NA,173348,iucn,Zostera japonica,0.0,NA,0.5
NA,173366,iucn,Phyllospadix serrulatus,0.2,0.2,0.0
NA,173367,iucn,Phyllospadix scouleri,0.0,0.0,0.0
NA,173373,iucn,Zostera pacifica,0.0,NA,NA
NA,180436,iucn,Parastichopus californicus,0.0,NA,0.0
NA,185000,iucn,Polycheles nanus,0.0,NA,0.0
NA,19711843,iucn,Apostichopus leukothele,0.0,NA,NA
NA,22679859,iucn-bli,Cygnus buccinator,0.2,0.2,0.5
NA,22679881,iucn-bli,Anser albifrons,0.2,0.2,NA
NA,22679896,iucn-bli,Anser caerulescens,0.06666666666666667,0.2,0.5
NA,22679946,iucn-bli,Branta bernicla,0.4,0.4,NA
NA,22680157,iucn-bli,Anas penelope,0.0,NA,-0.5
NA,22680163,iucn-bli,Anas americana,0.0,0.0,0.0
NA,22680229,iucn-bli,Anas discors,0.1,0.1,-0.5
NA,22680247,iucn-bli,Anas clypeata,0.0,0.0,-0.5
NA,22680301,iucn-bli,Anas acuta,0.2,0.2,-0.5
NA,22680364,iucn-bli,Aythya valisineria,0.2,0.2,-0.5
NA,22680367,iucn-bli,Aythya americana,0.2,0.2,0.5
NA,22680398,iucn-bli,Aythya marila,0.2,0.2,-0.5
NA,22680402,iucn-bli,Aythya affinis,0.0,0.0,-0.5
NA,22680472,iucn-bli,Lophodytes cucullatus,0.0,0.0,0.5
NA,22680492,iucn-bli,Mergus merganser,0.0,0.0,0.5
NA,22689714,iucn-bli,Chordeiles minor,0.2,0.2,-0.5
NA,22693178,iucn-bli,Numenius phaeopus,0.0,NA,-0.5
NA,22693195,iucn-bli,Numenius americanus,0.4,0.4,-0.5
NA,22693207,iucn-bli,Tringa erythropus,0.0,NA,0.0
NA,22693231,iucn-bli,Tringa melanoleuca,0.0,0.0,0.0
NA,22693235,iucn-bli,Tringa flavipes,0.1,0.1,-0.5
NA,22693277,iucn-bli,Actitis macularia,0.0,0.0,-0.5
NA,22693305,iucn-bli,Heteroscelus incanus,0.2,0.4,0.0
NA,22693341,iucn-bli,Arenaria melanocephala,0.2,0.2,0.0
NA,22693344,iucn-bli,Limnodromus griseus,0.5,0.5,-0.5
NA,22693348,iucn-bli,Limnodromus scolopaceus,0.2,0.2,NA
NA,22693356,iucn-bli,Aphriza virgata,0.0,NA,-0.5
NA,22693363,iucn-bli,Calidris canutus,0.7,0.7,-0.5
NA,22693369,iucn-bli,Calidris alba,0.1,0.1,NA
NA,22693373,iucn-bli,Calidris pusilla,0.2,NA,-0.5
NA,22693376,iucn-bli,Calidris mauri,0.2,0.2,-0.5
