am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score,cat_ts,cat_txt,cat_ts_score,year,comname
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1965.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1966.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1967.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1968.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1969.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1970.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1971.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1972.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1973.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1974.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1975.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1976.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1977.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1978.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1979.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1980.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1981.0,Gray Whale
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0.0,CD,Lower Risk/conservation dependent,0.3,1982.0,Gray Whale
