rgn,type,mgmt,obj
North Coast,PMZ,II,"To protect eelgrass meadows, kelp beds, estuaries and other marine habitats that support high species diversity and abundance and traditional marine harvesting."
North Coast,PMZ,IV,"To protect cultural and historical values and features, including areas of traditional habitation and marine harvesting, To protect areas that support unique and/or remote marine and wilderness experiences."
North Coast,SMZ,Tourism and Recreation,Allocation of space and maintenance of ecological conditions to support compatible tourism and recreation activities in an area adjacent to an existing land-based conservancy.
North Coast,PMZ,Ib,"To protect marine habitats that support high species diversity and abundance (e.g., estuaries, cloud sponge communities)."
North Coast,PMZ,II,To protect intertidal habitats and culturally important species abundances. To supplement protection of upland terrestrial values.
North Coast,PMZ,Ib,"To complement the existing land based provincial Ecological Reserve on Dewdney and Glide Islands. To protect the diversity of marine species found in the surrounding waters and intertidal habitat, and to protect listed seabird colony nesting areas."
North Coast,PMZ,IV,"To protect areas of high cultural value, including areas of traditional habitation and marine harvesting. To maintain opportunities for compatible recreation and ecotourism."
North Coast,PMZ,IV,"To protect habitats important for various life history stages (e.g., juvenile or spawning areas, nursery grounds)."
North Coast,PMZ,IV,"To protect the natural diversity and abundance of marine life, and the structure, function and integrity of marine ecosystems. To protect habitats important for various life history stages (e.g., juvenile or spawning areas, nursery grounds). To protect a"
North Coast,PMZ,IV,"To protect marine habitats that support high species diversity and abundance (e.g., eelgrass meadows, kelp beds, cloud sponge communities)."
North Coast,PMZ,II,"To protect eelgrass meadows, kelp beds, estuaries other marine habitats that support high species diversity and abundance and traditional marine harvesting."
North Coast,PMZ,IV,"To protect areas of high cultural and historical value, including areas of traditional habitation and marine harvesting. To maintain opportunities for compatible recreation and ecotourism."
North Coast,PMZ,Ib,"To retain the natural diversity and abundance of marine life, and the structure, function and integrity of the area. To protect marine biodiversity and culturally important habitats and species."
North Coast,PMZ,IV,"To conserve areas of high cultural and/or historical value, including areas of traditional habitation and marine harvesting. To protect ecological values, including areas for formative stages of a species lifecycle. To protect unique and or remote wilder"
North Coast,PMZ,IV,"To protect areas of high cultural and historical value, including areas of traditional habitation and marine harvesting. To protect local recreational opportunities focused on appreciation of the natural, cultural and historic values of the area."
North Coast,PMZ,IV,To protect habitat and species of special significance to First Nations for harvest and cultural use.
North Coast,PMZ,IV,To protect culturally important species and their habitats. To maintain opportunities for compatible tourism and recreation activities.
North Coast,PMZ,II,"To protect important feeding, breeding, moulting, wintering, or resting sites, and to protect areas of high cultural, historical and recreational value, including areas important for traditional and contemporary marine harvesting."
North Coast,PMZ,IV,To protect areas of high First Nations cultural and historical value. To protect unique and/or remote wilderness experiences for tourism and recreation purposes.
North Coast,PMZ,IV,"To protect marine species, intertidal habitat and archaeological sites in an ancient and contemporary First Nations harvest area."
North Coast,PMZ,IV,"To protect marine biodiversity, culturally important habitat and species, and cultural sites."
North Coast,PMZ,II,To protect critical offshore and nearshore habitats and species in key harvesting and cultural areas for First Nations.
North Coast,PMZ,IV,"To protect areas of high cultural value, including areas of traditional habitation and marine harvesting. To maintain opportunities for compatible tourism recreation activities."
North Coast,SMZ,Tourism and Recreation,Allocation of space and maintenance of conditions for sustainable tourism and recreation activities.
North Coast,SMZ,Cultural,"Identification of areas of high value to First Nations, on a seasonal and year-round basis, for cultural value protection, Aboriginal economic development opportunities and food security."
North Coast,PMZ,Ib,To protect marine biodiversity and culturally important species and abundances. To protect marine areas adjacent to First Nations communities to support cultural and traditional harvest values.
North Coast,PMZ,II,"To protect areas of high cultural and historical value, including areas of traditional habitation and marine harvesting."
North Coast,PMZ,IV,"To protect culturally important species and their habitats. To protect cultural and/or historical values and features, including areas of traditional habitation and marine harvesting. To maintain opportunities for compatible tourism and recreation activi"
North Coast,PMZ,IV,"Protection of important and unique marine habitat that is important to First Nation harvest and culture, along with areas that can be used for tourism and recreational purposes."
North Coast,PMZ,IV,To protect habitats and species of special significance. To protect important First Nations harvest and cultural areas.
