year,rgn_id,mean_unempl
1996,1,34.87
1997,1,36.086
1998,1,37.302
1999,1,38.518
2000,1,39.734
2001,1,40.95
2002,1,41.580000000000005
2003,1,42.21
2004,1,42.84
2005,1,43.47
2006,1,44.1
2007,1,40.764
2008,1,37.428
2009,1,34.092
2010,1,30.756
2011,1,27.42
2012,1,27.072000000000003
2013,1,26.724
2014,1,26.376
2015,1,26.028
2016,1,25.68
1996,2,19.89
1997,2,19.792
1998,2,19.694
1999,2,19.596
2000,2,19.497999999999998
2001,2,19.4
2002,2,20.299999999999997
2003,2,21.2
2004,2,22.099999999999998
2005,2,23
2006,2,23.9
2007,2,21.526
2008,2,19.151999999999997
2009,2,16.778
2010,2,14.403999999999998
2011,2,12.03
2012,2,12.516
2013,2,13.002
2014,2,13.488
2015,2,13.974
2016,2,14.46
1996,3,24.74
1997,3,25.044
1998,3,25.348
1999,3,25.652
2000,3,25.956
2001,3,26.26
2002,3,24.784000000000002
2003,3,23.308
2004,3,21.832
2005,3,20.355999999999998
2006,3,18.88
2007,3,18.634
2008,3,18.387999999999998
2009,3,18.142
2010,3,17.895999999999997
2011,3,17.65
2012,3,17.959999999999997
2013,3,18.27
2014,3,18.58
2015,3,18.89
2016,3,19.2
1996,4,36.34
1997,4,34.802
1998,4,33.264
1999,4,31.726
2000,4,30.188
2001,4,28.65
2002,4,28.25
2003,4,27.849999999999998
2004,4,27.45
2005,4,27.049999999999997
2006,4,26.65
2007,4,25.956
2008,4,25.262
2009,4,24.567999999999998
2010,4,23.874
2011,4,23.18
2012,4,22.624
2013,4,22.067999999999998
2014,4,21.512
2015,4,20.956
2016,4,20.4
1996,5,16.64
1997,5,16.946
1998,5,17.252000000000002
1999,5,17.558
2000,5,17.864
2001,5,18.17
2002,5,18.516000000000002
2003,5,18.862000000000002
2004,5,19.208
2005,5,19.554
2006,5,19.9
2007,5,20.323999999999998
2008,5,20.747999999999998
2009,5,21.172
2010,5,21.596
2011,5,22.02
2012,5,20.902
2013,5,19.784
2014,5,18.666
2015,5,17.548
2016,5,16.43
1996,6,21.88
1997,6,21.401999999999997
1998,6,20.924
1999,6,20.445999999999998
2000,6,19.968
2001,6,19.49
2002,6,19.206
2003,6,18.922
2004,6,18.637999999999998
2005,6,18.354
2006,6,18.07
2007,6,18.654
2008,6,19.238
2009,6,19.822
2010,6,20.406
2011,6,20.99
2012,6,19.878
2013,6,18.766
2014,6,17.654
2015,6,16.541999999999998
2016,6,15.43
