year,rgn_id,mean_unempl
1996,1,12.54
1997,1,12.878
1998,1,13.216
1999,1,13.554
2000,1,13.892
2001,1,14.23
2002,1,13.58
2003,1,12.93
2004,1,12.280000000000001
2005,1,11.63
2006,1,10.98
2007,1,10.954
2008,1,10.928
2009,1,10.902
2010,1,10.876
2011,1,10.85
2012,1,10.943999999999999
2013,1,11.038
2014,1,11.132
2015,1,11.226
2016,1,11.32
1996,2,6.97
1997,2,7.279999999999999
1998,2,7.59
1999,2,7.8999999999999995
2000,2,8.209999999999999
2001,2,8.52
2002,2,8.682
2003,2,8.844
2004,2,9.006
2005,2,9.168
2006,2,9.33
2007,2,9.926
2008,2,10.522
2009,2,11.118
2010,2,11.714
2011,2,12.31
2012,2,11.224
2013,2,10.138
2014,2,9.052
2015,2,7.966
2016,2,6.88
2001,3,12.36
2002,3,12.959999999999999
2003,3,13.559999999999999
2004,3,14.16
2005,3,14.76
2006,3,15.36
2007,3,14.176
2008,3,12.991999999999999
2009,3,11.808
2010,3,10.623999999999999
2011,3,9.44
2012,3,9.728
2013,3,10.016
2014,3,10.304
2015,3,10.592
2016,3,10.88
1996,4,10
1997,4,10.262
1998,4,10.524000000000001
1999,4,10.786
2000,4,11.048
2001,4,11.31
2002,4,10.860000000000001
2003,4,10.41
2004,4,9.96
2005,4,9.51
2006,4,9.06
2007,4,9.132
2008,4,9.204
2009,4,9.276
2010,4,9.348
2011,4,9.42
2012,4,9.518
2013,4,9.616
2014,4,9.714
2015,4,9.812
2016,4,9.91
1996,5,8.35
1997,5,8.212
1998,5,8.074
1999,5,7.936
2000,5,7.798
2001,5,7.66
2002,5,7.0760000000000005
2003,5,6.492
2004,5,5.908
2005,5,5.324
2006,5,4.74
2007,5,5.086
2008,5,5.432
2009,5,5.778
2010,5,6.124
2011,5,6.47
2012,5,6.386
2013,5,6.302
2014,5,6.218
2015,5,6.1339999999999995
2016,5,6.05
1996,6,8.85
1997,6,8.604
1998,6,8.358
1999,6,8.112
2000,6,7.866
2001,6,7.62
2002,6,7.21
2003,6,6.8
2004,6,6.390000000000001
2005,6,5.98
2006,6,5.57
2007,6,5.91
2008,6,6.25
2009,6,6.59
2010,6,6.93
2011,6,7.27
2012,6,7.021999999999999
2013,6,6.774
2014,6,6.526
2015,6,6.2780000000000005
2016,6,6.03
