order_no,issued_date,closes_area,closure_type,closes_edit
PTN-2008-295,2008-10-10,Area 1,biotoxins,area 1
PTN-2008-296,2008-10-16,"Area 23, except SA 23-4, 23-6",biotoxins,"area 23, except sa 23~4, 23~6"
PTN-2008-297,2008-10-16,SA 23-4 and 23-6,biotoxins,sa 23~4 and 23~6
PTN-2008-300,2008-10-17,"Area 23, except SA 23-4 and portion of 23-6 (Effingham Inlet)",biotoxins,"area 23, except sa 23~4 and portion of 23~6 (effingham inlet)"
PTN-2008-301,2008-10-17,SA 23-4 and portion of 23-6 (Effingham Inlet),biotoxins,sa 23~4 and portion of 23~6 (effingham inlet)
PTN-2008-303,2008-10-21,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2008-304,2008-10-21,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2008-305,2008-10-21,Area 2,biotoxins,area 2
PTN-2008-311,2008-10-24,SA 4-10 except Digby Island,biotoxins,sa 4~10 except digby island
PTN-2008-312,2008-10-24,Portion of 4-10: Digby Island,biotoxins,portion of 4~10: digby island
PTN-2008-315,2008-10-30,"Area 2, except SA 2-1",biotoxins,"area 2, except sa 2~1"
PTN-2008-316,2008-10-30,SA 2-1,biotoxins,sa 2~1
PTN-2008-318,2008-10-30,"SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10 and 4-13",biotoxins,"sa 3~1, 3~2, 3~3, 4~1, 4~2, 4~5, 4~10 and 4~13"
PTN-2008-321,2008-10-31,"Area 23, except SA 23-4",biotoxins,"area 23, except sa 23~4"
PTN-2008-322,2008-10-31,SA 23-4,biotoxins,sa 23~4
PTN-2008-326,2008-11-04,"SA 5-3, 5-4, 5-9 and 5-12",biotoxins,"sa 5~3, 5~4, 5~9 and 5~12"
PTN-2008-327,2008-11-04,SA 17-9,biotoxins,sa 17~9
PTN-2008-331,2008-11-07,"Area 29, except SA 29-1 and 29-2",biotoxins,"area 29, except sa 29~1 and 29~2"
PSN-2008-332,2008-11-10,Sections B and C (Baynes Sound Management Plan),sanitary closure,sections b and c (baynes sound management plan)
PTN-2008-334,2008-11-14,"SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10, 4-13 and 4-14",biotoxins,"sa 3~1, 3~2, 3~3, 4~1, 4~2, 4~5, 4~10, 4~13 and 4~14"
PTN-2008-335,2008-11-14,"SA 7-17, except portion (Lama Passage)",biotoxins,"sa 7~17, except portion (lama passage)"
PTN-2008-336,2008-11-14,SA 7-12 and portion of 7-17 (Lama Passage),biotoxins,sa 7~12 and portion of 7~17 (lama passage)
PSN-2008-339,2008-11-14,Area 12 - revoke closure on 12.AA,sanitary closure,area 12 - revoke closure on xx
PTN-2008-340,2008-11-18,SA 17-9,biotoxins,sa 17~9
PTN-2008-342,2008-11-19,Area 23,biotoxins,area 23
PSN-2008-343,2008-11-20,Section C (Baynes Sound Management Plan),sanitary closure,section c (baynes sound management plan)
PSN-2008-344,2008-11-26,Area 12 - new closure 12.27 Keogh River.,sanitary closure,area 12 - new closure 12~27 keogh river.
PSN-2008-345,2008-11-26,"Area 14 - reduce closure 14.4 Base Flats, revoke closure 14.19 Mud Bay.",sanitary closure,"area 14 - reduce closure 14~4 base flats, revoke closure 14~19 mud bay."
PSN-2008-346,2008-11-26,"Area 17 - expand closure 17.11 Nanoose Harbour at Ted's Road, new closure 17.38 Clark Bay.",sanitary closure,"area 17 - expand closure 17~11 nanoose harbour at ted's road, new closure 17~38 clark bay."
PSN-2008-347,2008-11-26,"Area 18 - new closure 18.28 Bedwell Harbour, and 18.D Winter Cove.",sanitary closure,"area 18 - new closure 18~28 bedwell harbour, and xx winter cove."
PSN-2008-348,2008-11-26,"Area 23 - revoke closure 23.cc San Mateo Bay, new closure 23.14 south of Bazett Island.",sanitary closure,"area 23 - revoke closure xx san mateo bay, new closure 23~14 south of bazett island."
PSN-2008-349,2008-11-26,"Area 26 - reinstate closure 26.1 Yaku Bay, reinstate closure 26.2 Hankin Cove, expand closure 26.4 Walters Cove, reduce closure 26.5 Malksope Inlet, revoke closure 26.6 Ououkinsh Inlet, reinstate closure 26.9 Chamiss Bay, revoke closures 26.14 Amai Inlet, 26.16 Kyuquot Sound and 26.19 Artlish River.",sanitary closure,"area 26 - reinstate closure 26~1 yaku bay, reinstate closure 26~2 hankin cove, expand closure 26~4 walters cove, reduce closure 26~5 malksope inlet, revoke closure 26~6 ououkinsh inlet, reinstate closure 26~9 chamiss bay, revoke closures 26~14 amai inlet, 26~16 kyuquot sound and 26~19 artlish river."
PTN-2008-351,2008-11-26,"SA 3-1, 3-2, 3-3, 4-1, 4-5, 4-10 AND 4-14",biotoxins,"sa 3~1, 3~2, 3~3, 4~1, 4~5, 4~10 and 4~14"
PTN-2008-354,2008-11-27,"Area 24, except SA 24-4, 24-5, 24-9, 24-13, 24-14",biotoxins,"area 24, except sa 24~4, 24~5, 24~9, 24~13, 24~14"
PTN-2008-355,2008-11-27,"SA 24-4, 24-5, 24-13, 24-14",biotoxins,"sa 24~4, 24~5, 24~13, 24~14"
PTN-2008-357,2008-11-28,"SA 4-9, EXCEPT PORTION (HECATE ROCK)",biotoxins,"sa 4~9, except portion (hecate rock)"
PTN-2008-358,2008-11-28,PORTION OF SA 4-9 (HECATE ROCK),biotoxins,portion of sa 4~9 (hecate rock)
PTN-2008-359,2008-11-28,SA 7-15 and 7-24,biotoxins,sa 7~15 and 7~24
PTN-2008-360,2008-11-28,"Area 24, except SA 24-4, 24-5, 24-9, 24-10, 24-13, 24-14",biotoxins,"area 24, except sa 24~4, 24~5, 24~9, 24~10, 24~13, 24~14"
PTN-2008-363,2008-11-28,"SA 25-11, except portion (Little Espinosa Inlet)",biotoxins,"sa 25~11, except portion (little espinosa inlet)"
PTN-2008-364,2008-11-28,SA 25-11 (portion Little Espinsoa Inlet),biotoxins,sa 25~11 (portion little espinsoa inlet)
PSN-2008-366,2008-12-08,Area 25 - remove 25.6 Hannah Channel.,sanitary closure,area 25 - remove 25~6 hannah channel.
PTN-2008-368,2008-12-09,SA 7-15 and 7-21,biotoxins,sa 7~15 and 7~21
PSN-2008-369,2008-12-09,"Area 25 - CORRECTION: reinstate 25.6, revoke 25.9 Hannah Channel.",sanitary closure,"area 25 - correction: reinstate 25~6, revoke 25~9 hannah channel."
PTN-2009-2,2009-01-05,"SA 4-9, except portion known as Hecate Rock",biotoxins,"sa 4~9, except portion known as hecate rock"
PTN-2009-3,2009-01-05,Portion of SA 4-9 (Hecate Rock),biotoxins,portion of sa 4~9 (hecate rock)
PTN-2009-7,2009-01-08,"Area 23, except SA 23-6",biotoxins,"area 23, except sa 23~6"
PTN-2009-8,2009-01-08,SA 23-6 (except portion known as Useless Inlet),biotoxins,sa 23~6 (except portion known as useless inlet)
PTN-2009-9,2009-01-08,Portion of SA 23-6 known as Useless Inlet,biotoxins,portion of sa 23~6 known as useless inlet
PTN-2009-10,2009-01-09,Area 1,biotoxins,area 1
PTN-2009-14,2009-01-16,SA 25-11 except portion of 25-11 (Espinsoa Inlet),biotoxins,sa 25~11 except portion of 25~11 (espinsoa inlet)
PTN-2009-15,2009-01-16,portion of SA 25-11 (Espinosa Inlet),biotoxins,portion of sa 25~11 (espinosa inlet)
PTN-2009-16,2009-01-16,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PTN-2009-17,2009-01-16,SA 1-5,biotoxins,sa 1~5
PTN-2009-18,2009-01-16,Area 2,biotoxins,area 2
PTN-2009-22,2009-01-21,SA 25-13,biotoxins,sa 25~13
PTN-2009-26,2009-01-23,"Subareas 24-2, 24-3, 24-10, 24-10, 24-14",biotoxins,"subareas 24~2, 24~3, 24~10, 24~10, 24~14"
PTN-2009-27,2009-02-04,"Area 2, except SA 2-1",biotoxins,"area 2, except sa 2~1"
PTN-2009-28,2009-02-04,SA 2-1,biotoxins,sa 2~1
PTN-2009-30,2009-02-04,"Subareas 24-8, 24-10",biotoxins,"subareas 24~8, 24~10"
PTN-2009-33,2009-02-10,Area 23,biotoxins,area 23
PTN-2009-34,2009-02-10,"Area 26, except SA  26-5",biotoxins,"area 26, except sa 26~5"
PTN-2009-35,2009-02-10,SA 26-5,biotoxins,sa 26~5
PTN-2009-36,2009-02-13,"Area 2, except SA 2-1, 2-14, 2-15, 2-17, 2-18",biotoxins,"area 2, except sa 2~1, 2~14, 2~15, 2~17, 2~18"
PTN-2009-39,2009-02-26,"Area 2, except SA  2-14, 2-15, 2-17, 2-18",biotoxins,"area 2, except sa 2~14, 2~15, 2~17, 2~18"
PTN-2009-44,2009-02-27,"Area 23, except SA 23-4 and 23-6",biotoxins,"area 23, except sa 23~4 and 23~6"
PTN-2009-45,2009-02-27,SA 23-4,biotoxins,sa 23~4
PTN-2009-46,2009-02-27,SA 23-6 (except portion known as Useless Inlet),biotoxins,sa 23~6 (except portion known as useless inlet)
PTN-2009-47,2009-02-27,Portion of SA 23-6 known as Useless Inlet,biotoxins,portion of sa 23~6 known as useless inlet
PTN-2009-49,2009-03-04,"Area 23, except SA 23-4, 23-6, 23-10",biotoxins,"area 23, except sa 23~4, 23~6, 23~10"
PTN-2009-50,2009-03-04,"SA 23-4, 23-10",biotoxins,"sa 23~4, 23~10"
PTN-2009-51,2009-03-05,"SA 4-9, except portion known as Hecate Rock",biotoxins,"sa 4~9, except portion known as hecate rock"
PTN-2009-52,2009-03-05,Portion of SA 4-9 (Hecate Rock),biotoxins,portion of sa 4~9 (hecate rock)
PTN-2009-56,2009-03-06,"Area 23, except SA 23-4, 23-6, 23-8, 23-10",biotoxins,"area 23, except sa 23~4, 23~6, 23~8, 23~10"
PTN-2009-57,2009-03-06,SA 23-8,biotoxins,sa 23~8
PTN-2009-67,2009-04-01,"Area 2, except SA 2-18, 2-19, 2-31",biotoxins,"area 2, except sa 2~18, 2~19, 2~31"
PTN-2009-68,2009-04-01,"SA 2-18, 2-19, 2-31",biotoxins,"sa 2~18, 2~19, 2~31"
PTN-2009-69,2009-04-01,Area 12.,biotoxins,area 12.
PTN-2009-72,2009-04-01,SA 23-6,biotoxins,sa 23~6
