area,subarea,label
1,1,1~1
1,2,1~2
1,3,1~3
1,4,1~4
1,5,1~5
1,6,1~6
1,7,1~7
2,1,2~1
2,2,2~2
2,3,2~3
2,4,2~4
2,5,2~5
2,6,2~6
2,7,2~7
2,8,2~8
2,9,2~9
2,10,2~10
2,11,2~11
2,12,2~12
2,13,2~13
2,14,2~14
2,15,2~15
2,16,2~16
2,17,2~17
2,18,2~18
2,19,2~19
2,31,2~31
2,32,2~32
2,33,2~33
2,34,2~34
2,35,2~35
2,35,2~35
2,36,2~36
2,37,2~37
2,38,2~38
2,39,2~39
2,40,2~40
2,41,2~41
2,42,2~42
2,43,2~43
2,44,2~44
2,45,2~45
2,46,2~46
2,47,2~47
2,48,2~48
2,49,2~49
2,50,2~50
2,51,2~51
2,52,2~52
2,53,2~53
2,54,2~54
2,55,2~55
2,56,2~56
2,57,2~57
2,58,2~58
2,59,2~59
2,60,2~60
2,61,2~61
2,62,2~62
2,63,2~63
2,64,2~64
2,65,2~65
2,66,2~66
2,67,2~67
2,68,2~68
2,69,2~69
2,70,2~70
2,71,2~71
2,72,2~72
2,73,2~73
2,74,2~74
2,75,2~75
2,76,2~76
2,77,2~77
2,78,2~78
2,79,2~79
2,80,2~80
2,81,2~81
2,82,2~82
2,83,2~83
2,84,2~84
2,85,2~85
2,86,2~86
2,87,2~87
2,88,2~88
2,89,2~89
2,90,2~90
2,91,2~91
2,92,2~92
2,93,2~93
2,94,2~94
2,95,2~95
2,96,2~96
2,97,2~97
2,98,2~98
2,99,2~99
2,100,2~100
3,1,3~1
3,2,3~2
3,3,3~3
3,4,3~4
3,5,3~5
3,6,3~6
3,7,3~7
3,8,3~8
3,9,3~9
3,10,3~10
3,11,3~11
3,12,3~12
3,13,3~13
3,14,3~14
3,15,3~15
3,16,3~16
3,17,3~17
3,18,3~18
4,1,4~1
4,2,4~2
4,3,4~3
4,4,4~4
4,5,4~5
4,6,4~6
4,7,4~7
4,8,4~8
4,9,4~9
4,10,4~10
4,11,4~11
4,12,4~12
4,13,4~13
4,14,4~14
4,15,4~15
5,1,5~1
5,2,5~2
5,3,5~3
5,4,5~4
5,5,5~5
5,6,5~6
5,7,5~7
5,8,5~8
5,9,5~9
5,10,5~10
5,11,5~11
5,12,5~12
5,13,5~13
5,14,5~14
5,15,5~15
5,16,5~16
5,17,5~17
5,18,5~18
5,19,5~19
5,20,5~20
5,21,5~21
5,22,5~22
5,23,5~23
5,24,5~24
6,1,6~1
6,2,6~2
6,3,6~3
6,4,6~4
6,5,6~5
6,6,6~6
6,7,6~7
6,8,6~8
6,9,6~9
6,10,6~10
6,11,6~11
6,12,6~12
6,13,6~13
6,14,6~14
6,15,6~15
6,16,6~16
6,17,6~17
6,18,6~18
6,19,6~19
6,20,6~20
6,21,6~21
6,22,6~22
6,23,6~23
6,24,6~24
6,25,6~25
6,26,6~26
6,27,6~27
6,28,6~28
7,1,7~1
7,2,7~2
7,3,7~3
7,4,7~4
7,5,7~5
7,6,7~6
7,7,7~7
7,8,7~8
7,9,7~9
7,10,7~10
7,11,7~11
7,12,7~12
7,13,7~13
7,14,7~14
7,14,7~14
7,15,7~15
7,16,7~16
7,17,7~17
7,18,7~18
7,19,7~19
7,20,7~20
7,21,7~21
7,22,7~22
7,23,7~23
7,24,7~24
7,25,7~25
7,26,7~26
7,27,7~27
7,28,7~28
7,29,7~29
7,30,7~30
7,31,7~31
7,32,7~32
8,1,8~1
8,2,8~2
