am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,status_gl,status_pr,status_gl_score,status_pr_score,iucn_score
Fis-26169,LC,Apolemichthys trimaculatus,165835,Stable,LC,ANGELFISH,165835,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28014,LC,Apolemichthys xanthotis,165853,Stable,LC,ANGELFISH,165853,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28015,LC,Apolemichthys xanthurus,165844,Unknown,LC,ANGELFISH,165844,NA,iucn,0,NA,NA,NA,NA,NA,0
Fis-27342,LC,Centropyge acanthops,155083,Stable,LC,ANGELFISH,155083,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-22168,LC,Centropyge argi,165837,Unknown,LC,ANGELFISH,165837,NA,iucn,0,NA,NA,NA,NA,NA,0
Fis-34233,LC,Centropyge aurantonotus,165865,Stable,LC,ANGELFISH,165865,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-25632,LC,Centropyge bicolor,165902,Stable,LC,ANGELFISH,165902,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-143216,LC,Centropyge bispinosa,165871,Stable,LC,ANGELFISH,165871,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-34191,LC,Centropyge eibli,165855,Stable,LC,ANGELFISH,165855,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-143219,LC,Centropyge ferrugata,165849,Stable,LC,ANGELFISH,165849,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26703,LC,Centropyge fisheri,165828,Stable,LC,ANGELFISH,165828,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-34246,LC,Centropyge flavipectoralis,165895,Stable,LC,ANGELFISH,165895,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-143220,LC,Centropyge flavissima,165878,Stable,LC,ANGELFISH,165878,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-31480,LC,Centropyge heraldi,165848,Stable,LC,ANGELFISH,165848,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-34264,LC,Centropyge multicolor,165896,Stable,LC,ANGELFISH,165896,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26182,LC,Centropyge multispinis,165876,Stable,LC,ANGELFISH,165876,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-143222,LC,Centropyge nigriocella,165897,Stable,LC,ANGELFISH,165897,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26239,LC,Centropyge nox,165868,Stable,LC,ANGELFISH,165868,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-32546,LC,Centropyge potteri,165899,Stable,LC,ANGELFISH,165899,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26181,LC,Centropyge tibicen,165901,Stable,LC,ANGELFISH,165901,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-143223,LC,Centropyge venusta,165900,Stable,LC,ANGELFISH,165900,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-59453,LC,Centropyge vrolikii,165860,Stable,LC,ANGELFISH,165860,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27945,LC,Chaetodontoplus duboulayi,165857,Stable,LC,ANGELFISH,165857,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27817,LC,Chaetodontoplus melanosoma,165850,Stable,LC,ANGELFISH,165850,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-34182,LC,Chaetodontoplus meredithi,165891,Stable,LC,ANGELFISH,165891,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-25748,LC,Chaetodontoplus mesoleucus,165884,Stable,LC,ANGELFISH,165884,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27948,LC,Chaetodontoplus personifer,165881,Stable,LC,ANGELFISH,165881,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28063,LC,Chaetodontoplus septentrionalis,165882,Stable,LC,ANGELFISH,165882,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-31481,LC,Genicanthus bellus,165864,Stable,LC,ANGELFISH,165864,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28065,LC,Genicanthus caudovittatus,165845,Stable,LC,ANGELFISH,165845,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26221,LC,Genicanthus lamarck,165888,Stable,LC,ANGELFISH,165888,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27124,LC,Genicanthus melanospilos,165843,Stable,LC,ANGELFISH,165843,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28077,LC,Genicanthus semifasciatus,165856,Stable,LC,ANGELFISH,165856,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27125,LC,Genicanthus watanabei,165872,Stable,LC,ANGELFISH,165872,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-34365,LC,Holacanthus africanus,165825,Stable,LC,ANGELFISH,165825,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-30117,LC,Holacanthus bermudensis,165832,Stable,LC,ANGELFISH,165832,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-24677,LC,Holacanthus ciliaris,165883,Stable,LC,ANGELFISH,165883,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-32755,LC,Holacanthus passer,165880,Stable,LC,ANGELFISH,165880,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-24678,LC,Holacanthus tricolor,165879,Stable,LC,ANGELFISH,165879,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-152142,LC,Paracentropyge multifasciata,165852,Stable,LC,ANGELFISH,165852,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26756,LC,Pomacanthus annularis,165873,Stable,LC,ANGELFISH,165873,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-23732,LC,Pomacanthus arcuatus,165887,Stable,LC,ANGELFISH,165887,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28087,LC,Pomacanthus asfur,165839,Stable,LC,ANGELFISH,165839,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-28090,LC,Pomacanthus chrysurus,165831,Stable,LC,ANGELFISH,165831,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26162,LC,Pomacanthus imperator,165862,Stable,LC,ANGELFISH,165862,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26757,LC,Pomacanthus maculosus,165833,Stable,LC,ANGELFISH,165833,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-25749,LC,Pomacanthus navarchus,165867,Stable,LC,ANGELFISH,165867,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-23733,LC,Pomacanthus paru,165898,Stable,LC,ANGELFISH,165898,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-58074,LC,Pomacanthus rhomboides,165842,Stable,LC,ANGELFISH,165842,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-25751,LC,Pomacanthus semicirculatus,165851,Stable,LC,ANGELFISH,165851,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26189,LC,Pomacanthus sexstriatus,165840,Stable,LC,ANGELFISH,165840,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-25750,LC,Pomacanthus xanthometopon,165829,Stable,LC,ANGELFISH,165829,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26971,LC,Pomacanthus zonipectus,165889,Stable,LC,ANGELFISH,165889,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-26195,LC,Pygoplites diacanthus,165885,Stable,LC,ANGELFISH,165885,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-17303,LC,Apolemichthys arcuatus,165834,Stable,LC,ANGELFISH,165834,NA,iucn,0,0,NA,NA,NA,NA,0
Fis-27169,LC,Apolemichthys griffisi,165822,Stable,LC,ANGELFISH,165822,NA,iucn,0,0,NA,NA,NA,NA,0
