term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),0.4824,0.2028,2.3792,0.0192,AO,105,15,1
pressures,0.1926,0.1918,1.0041,0.3177,AO,105,15,1
resilience,0.6913,0.2448,2.8239,0.0057,AO,105,15,1
(Intercept),1.4459,0.4393,3.2915,0.0013,FIS,120,15,1
pressures,-0.0026,0.3979,-0.0065,0.9948,FIS,120,15,1
resilience,-0.6865,0.6092,-1.1268,0.2621,FIS,120,15,1
(Intercept),0.6314,0.5782,1.092,0.2792,SAL,63,9,1
pressures,0.1286,0.5396,0.2384,0.8124,SAL,63,9,1
resilience,0.5571,0.7351,0.7577,0.4516,SAL,63,9,1
(Intercept),1.0003,0.001,998.8942,0,CPP,105,15,1
pressures,0.0015,0.0014,1.0996,0.2741,CPP,105,15,1
resilience,-0.0014,0.0016,-0.8633,0.39,CPP,105,15,1
(Intercept),1.0002,2e-4,4073.7958,0,CSS,105,15,1
pressures,2e-4,3e-4,0.6981,0.4867,CSS,105,15,1
resilience,-5e-4,4e-4,-1.3159,0.1912,CSS,105,15,1
(Intercept),0.9965,0.0052,190.6487,0,CW,105,15,1
pressures,0.0129,0.0104,1.2447,0.2161,CW,105,15,1
resilience,-9e-4,0.0058,-0.1499,0.8811,CW,105,15,1
(Intercept),0.985,0.0435,22.6445,0,HAB,120,15,1
pressures,-0.0106,0.0383,-0.2772,0.7821,HAB,120,15,1
resilience,0.0218,0.0596,0.3664,0.7147,HAB,120,15,1
(Intercept),0.9998,6e-4,1556.151,0,SPP,120,15,1
pressures,-0.0014,0.002,-0.7034,0.4832,SPP,120,15,1
resilience,7e-4,0.0012,0.6151,0.5397,SPP,120,15,1
(Intercept),0.9969,0.0041,243.0646,0,ICO,120,15,1
pressures,-0.0014,0.0031,-0.4449,0.6572,ICO,120,15,1
resilience,0.0052,0.0056,0.9216,0.3586,ICO,120,15,1
(Intercept),2.0304,1.0035,2.0233,0.0457,LSP,105,15,1
pressures,-0.7055,1.2631,-0.5585,0.5777,LSP,105,15,1
resilience,-1.0094,1.2791,-0.7892,0.4318,LSP,105,15,1
(Intercept),1.1991,0.1489,8.0517,0,LEF,72,12,1
pressures,-0.1269,0.1321,-0.9603,0.3403,LEF,72,12,1
resilience,-0.1024,0.0463,-2.2105,0.0304,LEF,72,12,1
(Intercept),0.5733,0.1083,5.296,0,LEO,72,12,1
pressures,0.1522,0.0406,3.7443,4e-4,LEO,72,12,1
resilience,0.4245,0.1053,4.0299,1e-4,LEO,72,12,1
(Intercept),1.0603,0.3108,3.4114,0.0011,TR,75,15,1
pressures,-0.0588,0.5958,-0.0987,0.9216,TR,75,15,1
resilience,-0.0712,0.3155,-0.2256,0.8221,TR,75,15,1
(Intercept),0.5753,0.2544,2.2611,0.026,AO,98,14,2
pressures,0.0846,0.2191,0.3861,0.7003,AO,98,14,2
resilience,0.591,0.3162,1.8692,0.0647,AO,98,14,2
(Intercept),1.0604,0.8612,1.2312,0.2209,FIS,112,14,2
pressures,0.5167,0.7671,0.6735,0.5021,FIS,112,14,2
resilience,-0.2321,1.205,-0.1926,0.8476,FIS,112,14,2
(Intercept),1.043,0.733,1.4228,0.1606,SAL,56,8,2
pressures,0.2684,0.6698,0.4007,0.6903,SAL,56,8,2
resilience,-0.0095,0.9491,-0.01,0.992,SAL,56,8,2
(Intercept),1.0026,0.0023,426.7491,0,CPP,98,14,2
pressures,0.0045,0.003,1.4863,0.1405,CPP,98,14,2
