layer,target,target_element,dimension
po_chemical,AO,salmon,pressure
po_chemical,AO,fn_licenses,pressure
po_chemical,FIS,NA,pressure
po_chemical,HAB,soft_bottom,pressure
po_chemical,HAB,ebsa,pressure
po_chemical,ICO,NA,pressure
po_chemical,SAL,NA,pressure
po_chemical,SPP,NA,pressure
po_chemical_3nm,AO,shellfish_closures,pressure
po_chemical_3nm,AO,herring_spawn,pressure
po_chemical_3nm,CPP,saltmarsh,pressure
po_chemical_3nm,CSS,saltmarsh,pressure
po_chemical_3nm,CW,NA,pressure
po_chemical_3nm,HAB,saltmarsh,pressure
po_chemical_3nm,LSP,NA,pressure
po_chemical_3nm,MAR,NA,pressure
po_chemical_3nm,TR,NA,pressure
po_pathogen,AO,shellfish_closures,pressure
po_pathogen,CW,NA,pressure
po_pathogen,MAR,NA,pressure
po_pathogen,TR,NA,pressure
po_nutrient,AO,salmon,pressure
po_nutrient,AO,fn_licenses,pressure
po_nutrient,FIS,NA,pressure
po_nutrient,HAB,soft_bottom,pressure
po_nutrient,HAB,ebsa,pressure
po_nutrient,ICO,NA,pressure
po_nutrient,SAL,NA,pressure
po_nutrient,SPP,NA,pressure
po_nutrient_3nm,AO,shellfish_closures,pressure
po_nutrient_3nm,AO,herring_spawn,pressure
po_nutrient_3nm,CPP,saltmarsh,pressure
po_nutrient_3nm,CSS,saltmarsh,pressure
po_nutrient_3nm,CW,NA,pressure
po_nutrient_3nm,HAB,saltmarsh,pressure
po_nutrient_3nm,LSP,NA,pressure
po_nutrient_3nm,MAR,NA,pressure
po_nutrient_3nm,TR,NA,pressure
po_trash,CW,NA,pressure
po_trash,ICO,NA,pressure
po_trash,LSP,NA,pressure
po_trash,SPP,NA,pressure
po_trash,TR,NA,pressure
sp_alien,AO,salmon,pressure
sp_alien,AO,fn_licenses,pressure
sp_alien,AO,herring_spawn,pressure
sp_alien,CPP,saltmarsh,pressure
sp_alien,CSS,saltmarsh,pressure
sp_alien,FIS,NA,pressure
sp_alien,HAB,saltmarsh,pressure
sp_alien,HAB,soft_bottom,pressure
sp_alien,HAB,ebsa,pressure
sp_alien,ICO,NA,pressure
sp_alien,LSP,NA,pressure
sp_alien,MAR,NA,pressure
sp_alien,SAL,NA,pressure
sp_alien,SPP,NA,pressure
sp_genetic,AO,salmon,pressure
sp_genetic,AO,fn_licenses,pressure
sp_genetic,FIS,NA,pressure
sp_genetic,ICO,NA,pressure
sp_genetic,SAL,NA,pressure
sp_genetic,SPP,NA,pressure
sp_hatcheries,AO,salmon,pressure
sp_hatcheries,AO,fn_licenses,pressure
sp_hatcheries,ICO,NA,pressure
sp_hatcheries,MAR,NA,pressure
sp_hatcheries,SAL,NA,pressure
sp_hatcheries,SPP,NA,pressure
aq_mammals,ICO,NA,pressure
aq_mammals,SPP,NA,pressure
aq_mammals,TR,NA,pressure
aq_incidental,AO,fn_licenses,pressure
aq_incidental,AO,herring_spawn,pressure
aq_incidental,FIS,NA,pressure
aq_incidental,SPP,NA,pressure
aq_benthic,AO,shellfish_closures,pressure
aq_benthic,AO,fn_licenses,pressure
aq_benthic,FIS,NA,pressure
aq_benthic,HAB,soft_bottom,pressure
aq_benthic,HAB,ebsa,pressure
aq_benthic,LSP,NA,pressure
aq_benthic,MAR,NA,pressure
aq_benthic,SPP,NA,pressure
hd_subtidal_sb,AO,shellfish_closures,pressure
hd_subtidal_sb,AO,fn_licenses,pressure
hd_subtidal_sb,AO,herring_spawn,pressure
hd_subtidal_sb,FIS,NA,pressure
hd_subtidal_sb,HAB,soft_bottom,pressure
hd_subtidal_sb,HAB,ebsa,pressure
hd_subtidal_sb,ICO,NA,pressure
hd_subtidal_sb,SPP,NA,pressure
hd_intertidal,AO,shellfish_closures,pressure
hd_intertidal,AO,fn_licenses,pressure
hd_intertidal,AO,herring_spawn,pressure
hd_intertidal,CPP,coastal_forest,pressure
hd_intertidal,CPP,saltmarsh,pressure
hd_intertidal,CSS,coastal_forest,pressure
hd_intertidal,CSS,saltmarsh,pressure
hd_intertidal,FIS,NA,pressure
hd_intertidal,HAB,saltmarsh,pressure
hd_intertidal,ICO,NA,pressure
hd_intertidal,LSP,NA,pressure
hd_intertidal,SPP,NA,pressure
hd_intertidal,TR,NA,pressure
hd_logging,AO,shellfish_closures,pressure
hd_logging,AO,salmon,pressure
hd_logging,AO,fn_licenses,pressure
hd_logging,AO,herring_spawn,pressure
hd_logging,CPP,coastal_forest,pressure
hd_logging,CPP,saltmarsh,pressure
hd_logging,CSS,coastal_forest,pressure
hd_logging,CSS,saltmarsh,pressure
hd_logging,CW,NA,pressure
hd_logging,FIS,NA,pressure
hd_logging,HAB,saltmarsh,pressure
hd_logging,HAB,soft_bottom,pressure
hd_logging,HAB,ebsa,pressure
hd_logging,ICO,NA,pressure
hd_logging,LSP,NA,pressure
hd_logging,MAR,NA,pressure
hd_logging,SAL,NA,pressure
hd_logging,SPP,NA,pressure
hd_logging,TR,NA,pressure
hd_mining,AO,shellfish_closures,pressure
hd_mining,AO,salmon,pressure
hd_mining,CPP,coastal_forest,pressure
hd_mining,CPP,saltmarsh,pressure
hd_mining,CSS,coastal_forest,pressure
hd_mining,CSS,saltmarsh,pressure
hd_mining,CW,NA,pressure
hd_mining,HAB,saltmarsh,pressure
hd_mining,HAB,soft_bottom,pressure
hd_mining,HAB,ebsa,pressure
hd_mining,ICO,NA,pressure
hd_mining,LSP,NA,pressure
hd_mining,MAR,NA,pressure
hd_mining,SAL,NA,pressure
hd_mining,SPP,NA,pressure
hd_mining,TR,NA,pressure
fp_com_hb,AO,salmon,pressure
fp_com_hb,AO,fn_licenses,pressure
fp_com_hb,AO,herring_spawn,pressure
fp_com_hb,FIS,NA,pressure
fp_com_hb,HAB,soft_bottom,pressure
fp_com_hb,HAB,ebsa,pressure
fp_com_hb,ICO,NA,pressure
fp_com_hb,SAL,NA,pressure
fp_com_hb,SPP,NA,pressure
fp_com_lb,AO,salmon,pressure
fp_com_lb,AO,fn_licenses,pressure
fp_com_lb,FIS,NA,pressure
fp_com_lb,HAB,soft_bottom,pressure
fp_com_lb,HAB,ebsa,pressure
fp_com_lb,ICO,NA,pressure
fp_com_lb,SAL,NA,pressure
fp_com_lb,SPP,NA,pressure
fp_art_lb,AO,salmon,pressure
fp_art_lb,AO,fn_licenses,pressure
fp_art_lb,FIS,NA,pressure
fp_art_lb,HAB,soft_bottom,pressure
fp_art_lb,HAB,ebsa,pressure
fp_art_lb,SAL,NA,pressure
fp_art_lb,SPP,NA,pressure
cc_sst,AO,shellfish_closures,pressure
cc_sst,AO,salmon,pressure
cc_sst,AO,fn_licenses,pressure
cc_sst,AO,herring_spawn,pressure
cc_sst,FIS,NA,pressure
cc_sst,HAB,ebsa,pressure
cc_sst,ICO,NA,pressure
cc_sst,MAR,NA,pressure
cc_sst,SAL,NA,pressure
cc_sst,SPP,NA,pressure
cc_acid,AO,shellfish_closures,pressure
cc_acid,HAB,soft_bottom,pressure
cc_acid,HAB,ebsa,pressure
cc_acid,ICO,NA,pressure
cc_acid,MAR,NA,pressure
cc_acid,SPP,NA,pressure
cc_uv,ICO,NA,pressure
cc_uv,SPP,NA,pressure
cc_slr,AO,shellfish_closures,pressure
cc_slr,AO,herring_spawn,pressure
cc_slr,CPP,coastal_forest,pressure
cc_slr,CPP,saltmarsh,pressure
cc_slr,CSS,coastal_forest,pressure
cc_slr,CSS,saltmarsh,pressure
cc_slr,HAB,saltmarsh,pressure
cc_slr,LSP,NA,pressure
cc_slr,MAR,NA,pressure
cc_slr,SPP,NA,pressure
cc_slr,TR,NA,pressure
ss_cwbi_all,CPP,coastal_forest,pressure
ss_cwbi_all,CPP,saltmarsh,pressure
ss_cwbi_all,CSS,coastal_forest,pressure
ss_cwbi_all,CSS,saltmarsh,pressure
ss_cwbi_all,CW,NA,pressure
ss_cwbi_all,FIS,NA,pressure
ss_cwbi_all,HAB,saltmarsh,pressure
ss_cwbi_all,HAB,soft_bottom,pressure
ss_cwbi_all,HAB,ebsa,pressure
ss_cwbi_all,ICO,NA,pressure
ss_cwbi_all,LE,NA,pressure
ss_cwbi_all,LSP,NA,pressure
ss_cwbi_all,MAR,NA,pressure
ss_cwbi_all,SAL,NA,pressure
ss_cwbi_all,SPP,NA,pressure
ss_cwbi_all,TR,NA,pressure
ss_cwbi_fn,AO,shellfish_closures,pressure
ss_cwbi_fn,AO,salmon,pressure
ss_cwbi_fn,AO,fn_licenses,pressure
ss_cwbi_fn,AO,herring_spawn,pressure
po_water,CPP,saltmarsh,resilience
po_water,CSS,saltmarsh,resilience
po_water,CW,NA,resilience
po_water,HAB,saltmarsh,resilience
po_water,HAB,ebsa,resilience
po_water,HAB,soft_bottom,resilience
po_water,ICO,NA,resilience
po_water,SPP,NA,resilience
po_water,LSP,NA,resilience
po_water,MAR,NA,resilience
po_water,TR,NA,resilience
hd_mpa_coast,AO,shellfish_closures,resilience
hd_mpa_coast,AO,salmon,resilience
hd_mpa_coast,AO,fn_licenses,resilience
hd_mpa_coast,AO,herring_spawn,resilience
hd_mpa_coast,CPP,coastal_forest,resilience
hd_mpa_coast,CPP,saltmarsh,resilience
hd_mpa_coast,CSS,coastal_forest,resilience
hd_mpa_coast,CSS,saltmarsh,resilience
hd_mpa_coast,HAB,saltmarsh,resilience
hd_mpa_eez,FIS,NA,resilience
hd_mpa_eez,HAB,ebsa,resilience
hd_mpa_eez,HAB,soft_bottom,resilience
hd_mpa_eez,ICO,NA,resilience
hd_mpa_eez,SPP,NA,resilience
hd_mpa_eez,SAL,NA,resilience
hd_trawl_reduction,AO,shellfish_closures,resilience
hd_trawl_reduction,AO,salmon,resilience
hd_trawl_reduction,AO,fn_licenses,resilience
hd_trawl_reduction,AO,herring_spawn,resilience
hd_trawl_reduction,CPP,coastal_forest,resilience
hd_trawl_reduction,CPP,saltmarsh,resilience
hd_trawl_reduction,CSS,coastal_forest,resilience
hd_trawl_reduction,CSS,saltmarsh,resilience
hd_trawl_reduction,FIS,NA,resilience
hd_trawl_reduction,HAB,saltmarsh,resilience
hd_trawl_reduction,HAB,ebsa,resilience
hd_trawl_reduction,HAB,soft_bottom,resilience
hd_trawl_reduction,ICO,NA,resilience
hd_trawl_reduction,SPP,NA,resilience
hd_trawl_reduction,LSP,NA,resilience
hd_trawl_reduction,SAL,NA,resilience
aq_regulation,AO,shellfish_closures,resilience
aq_regulation,AO,salmon,resilience
aq_regulation,AO,herring_spawn,resilience
aq_regulation,CPP,saltmarsh,resilience
aq_regulation,CSS,saltmarsh,resilience
aq_regulation,CW,NA,resilience
aq_regulation,HAB,saltmarsh,resilience
aq_regulation,HAB,ebsa,resilience
aq_regulation,HAB,soft_bottom,resilience
aq_regulation,ICO,NA,resilience
aq_regulation,SPP,NA,resilience
aq_regulation,MAR,NA,resilience
aq_regulation,SAL,NA,resilience
fp_mpa_coast,AO,shellfish_closures,resilience
fp_mpa_coast,AO,salmon,resilience
fp_mpa_coast,AO,fn_licenses,resilience
fp_mpa_coast,AO,herring_spawn,resilience
fp_mpa_eez,FIS,NA,resilience
fp_mpa_eez,HAB,ebsa,resilience
fp_mpa_eez,HAB,soft_bottom,resilience
fp_mpa_eez,ICO,NA,resilience
fp_mpa_eez,SPP,NA,resilience
fp_mpa_eez,SAL,NA,resilience
fp_trawl_reduction,AO,shellfish_closures,resilience
fp_trawl_reduction,AO,salmon,resilience
fp_trawl_reduction,AO,fn_licenses,resilience
fp_trawl_reduction,AO,herring_spawn,resilience
fp_trawl_reduction,FIS,NA,resilience
fp_trawl_reduction,HAB,ebsa,resilience
fp_trawl_reduction,HAB,soft_bottom,resilience
fp_trawl_reduction,ICO,NA,resilience
fp_trawl_reduction,SPP,NA,resilience
fp_trawl_reduction,SAL,NA,resilience
fp_fish_officers,AO,shellfish_closures,resilience
fp_fish_officers,AO,salmon,resilience
fp_fish_officers,AO,fn_licenses,resilience
fp_fish_officers,AO,herring_spawn,resilience
fp_fish_officers,FIS,NA,resilience
fp_fish_officers,HAB,ebsa,resilience
fp_fish_officers,HAB,soft_bottom,resilience
fp_fish_officers,ICO,NA,resilience
fp_fish_officers,SPP,NA,resilience
fp_fish_officers,SAL,NA,resilience
species_diversity_3nm,AO,shellfish_closures,resilience
species_diversity_3nm,AO,salmon,resilience
species_diversity_3nm,AO,fn_licenses,resilience
species_diversity_3nm,AO,herring_spawn,resilience
species_diversity_3nm,HAB,saltmarsh,resilience
species_diversity_eez,FIS,NA,resilience
species_diversity_eez,HAB,ebsa,resilience
species_diversity_eez,HAB,soft_bottom,resilience
species_diversity_eez,ICO,NA,resilience
species_diversity_eez,SAL,NA,resilience
cwbi_all,CPP,coastal_forest,resilience
cwbi_all,CPP,saltmarsh,resilience
cwbi_all,CSS,coastal_forest,resilience
cwbi_all,CSS,saltmarsh,resilience
cwbi_all,CW,NA,resilience
cwbi_all,FIS,NA,resilience
cwbi_all,HAB,saltmarsh,resilience
cwbi_all,HAB,ebsa,resilience
cwbi_all,HAB,soft_bottom,resilience
cwbi_all,ICO,NA,resilience
cwbi_all,SPP,NA,resilience
cwbi_all,LE,NA,resilience
cwbi_all,LSP,NA,resilience
cwbi_all,MAR,NA,resilience
cwbi_all,SAL,NA,resilience
cwbi_all,TR,NA,resilience
cwbi_fn,AO,shellfish_closures,resilience
cwbi_fn,AO,salmon,resilience
cwbi_fn,AO,fn_licenses,resilience
cwbi_fn,AO,herring_spawn,resilience
ao_closures,AO,NA,status
ao_licenses,AO,NA,status
ao_licenses_fn_pop,AO,NA,status
ao_salmon,AO,NA,status
ao_spawn_hab_index,AO,NA,status
cp_cf_health,CPP,NA,status
cp_sm_health,CPP,NA,status
cs_cf_health,CSS,NA,status
cs_sm_health,CSS,NA,status
fis_ram_b_bmsy,FIS,NA,status
fis_ram_catch,FIS,NA,status
fis_ram_f_fmsy,FIS,NA,status
fis_stock_area,FIS,NA,status
fp_wildcaught_weight,FP,NA,status
hab_ebsa_health,HAB,NA,status
hab_sb_health,HAB,NA,status
hab_sm_health,HAB,NA,status
ico_spp_presence,ICO,NA,status
ico_spp_risk_score,ICO,NA,status
ico_spp_trend,ICO,NA,status
le_income,LIV,NA,status
le_unemployment,LIV,NA,status
lsp_prot_area_inland_ws,LSP,NA,status
lsp_prot_area_offshore3nm,LSP,NA,status
lsp_tot_area_inland_ws,LSP,NA,status
lsp_tot_area_offshore3nm,LSP,NA,status
mar_harvest_tonnes,MAR,NA,status
mar_potential,MAR,NA,status
mar_tenure_areas,MAR,NA,status
po_chemical_3nm,CW,NA,status
po_nutrient_3nm,CW,NA,status
po_pathogen,CW,NA,status
po_trash,CW,NA,status
rgn_areas,spatial,NA,status
rgn_labels,spatial,NA,status
sal_stock_status,SAL,NA,status
spp_pop_trends,SPP,NA,status
spp_range_areas,SPP,NA,status
spp_risk_scores,SPP,NA,status
tr_park_visits,TR,NA,status
tr_park_visits_all,TR,NA,status
tr_vis_ctr_visits,TR,NA,status
tr_vis_ctr_visits_all,TR,NA,status
