rgn_id,pop_cat,year,pop_in_pop_cat
1,5001–50 000,2001,37037
1,5001–50 000,2006,33122
1,5001–50 000,2011,32329
1,5001–50 000,2016,33118
1,First Nations,2001,10414
1,First Nations,2006,9784
1,First Nations,2011,10073
1,First Nations,2016,10529
1,Under 1000,2001,704
1,Under 1000,2006,611
1,Under 1000,2011,574
1,Under 1000,2016,508
2,First Nations,2001,3493
2,First Nations,2006,2484
2,First Nations,2011,2164
2,First Nations,2016,2341
2,Under 1000,2001,1442
2,Under 1000,2006,2328
2,Under 1000,2011,2206
2,Under 1000,2016,1988
3,First Nations,2001,4022
3,First Nations,2006,3439
3,First Nations,2011,3475
3,First Nations,2016,3625
4,1001–2000,2001,1126
4,2001–5000,2001,7395
4,2001–5000,2006,6445
4,2001–5000,2011,6513
4,2001–5000,2016,6549
4,5001–50 000,2001,15613
4,5001–50 000,2006,17017
4,5001–50 000,2011,17923
4,5001–50 000,2016,18796
4,First Nations,2001,7528
4,First Nations,2006,7320
4,First Nations,2011,6752
4,First Nations,2016,6421
4,Under 1000,2001,962
4,Under 1000,2006,1718
4,Under 1000,2011,1567
4,Under 1000,2016,1480
5,1001–2000,2001,4494
5,1001–2000,2006,4629
5,1001–2000,2011,4770
5,1001–2000,2016,4869
5,2001–5000,2001,4857
5,2001–5000,2006,4795
5,2001–5000,2011,4941
5,2001–5000,2016,4829
5,50 001–500 000,2001,163527
5,50 001–500 000,2006,171432
5,50 001–500 000,2011,174788
5,50 001–500 000,2016,183584
5,5001–50 000,2001,96225
5,5001–50 000,2006,102872
5,5001–50 000,2011,111165
5,5001–50 000,2016,120026
5,First Nations,2001,17787
5,First Nations,2006,18571
5,First Nations,2011,18950
5,First Nations,2016,19163
5,Under 1000,2001,824
5,Under 1000,2006,555
5,Under 1000,2011,441
5,Under 1000,2016,358
6,1001–2000,2001,7267
6,1001–2000,2006,6464
6,1001–2000,2011,2786
6,1001–2000,2016,2810
6,2001–5000,2001,21912
6,2001–5000,2006,28811
6,2001–5000,2011,29187
6,2001–5000,2016,30737
6,50 001–500 000,2001,1519893
6,50 001–500 000,2006,1626660
6,50 001–500 000,2011,1805444
6,50 001–500 000,2016,1474005
6,5001–50 000,2001,374321
6,5001–50 000,2006,397051
6,5001–50 000,2011,431040
6,5001–50 000,2016,402447
6,First Nations,2001,164348
6,First Nations,2006,175164
6,First Nations,2011,181165
6,First Nations,2016,192131
6,More than 500 000,2001,545671
6,More than 500 000,2006,578041
6,More than 500 000,2011,603502
6,More than 500 000,2016,1151049
6,Under 1000,2001,682
6,Under 1000,2006,676
6,Under 1000,2011,644
6,Under 1000,2016,645
8,First Nations,2001,1
8,First Nations,2006,1
8,First Nations,2011,1
8,First Nations,2016,1
