targets,layer,name,description,fld_value,units,path_in,path_in_exists,filename,path_out
AO,ao_closures,Shellfish closure days area-weighted by region as a proxy for access to shellfish gardens,NA,days_avg,NA,~/github/ohibc/prep/ao/v2017/output/ao_closures.csv,TRUE,ao_closures.csv,~/github/ohibc/calc_ohibc/layers/ao_closures.csv
AO,ao_licenses,Commercial fishing licenses total and proportion allocated to First Nations as a measure of access to commercial fisheries,NA,n_fn,NA,~/github/ohibc/prep/ao/v2017/output/ao_licenses.csv,TRUE,ao_licenses.csv,~/github/ohibc/calc_ohibc/layers/ao_licenses.csv
AO,ao_salmon,Salmon stock health as a proxy for access to salmon for FSC purposes,NA,days_avg,NA,~/github/ohibc/prep/ao/v2017/output/ao_salmon.csv,TRUE,ao_salmon.csv,~/github/ohibc/calc_ohibc/layers/ao_salmon.csv
AO,ao_spawn_hab_index,Herring spawn habitat index as a proxy for opportunity to collect herring spawn,NA,shi_tot,NA,~/github/ohibc/prep/ao/v2017/output/ao_spawn_hab_index.csv,TRUE,ao_spawn_hab_index.csv,~/github/ohibc/calc_ohibc/layers/ao_spawn_hab_index.csv
CP,cp_cf_health,Exposure-weighted coastal forest habitat condition,Current condition of coastal forest habitat relative to historical condition weighted by exposure,cf_expos_area_tot,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/cp_cf_exposure.csv,TRUE,cp_cf_health.csv,~/github/ohibc/calc_ohibc/layers/cp_cf_health.csv
CP,cp_sm_health,Exposure-weighted salt marsh habitat condition,Current condition of salt marsh habitat relative to historical condition weighted by exposure,sm_expos_area_tot,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/cp_sm_exposure.csv,TRUE,cp_sm_health.csv,~/github/ohibc/calc_ohibc/layers/cp_sm_health.csv
CW,cw_chemical_trend,Chemical pollution trend,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use",resilience_score,trend,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,cw_chemical_trend.csv,~/github/ohibc/calc_ohibc/layers/cw_chemical_trend.csv
CW,cw_nutrient_trend,Nutrient pollution trend,Modeled data based on fertilizer consumption as a proxy for nutrient pollution,resilience_score,trend,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,cw_nutrient_trend.csv,~/github/ohibc/calc_ohibc/layers/cw_nutrient_trend.csv
CW,cw_pathogen_trend,Pathogen pollution trend,Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution,resilience_score,trend,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,cw_pathogen_trend.csv,~/github/ohibc/calc_ohibc/layers/cw_pathogen_trend.csv
CW,cw_trash_trend,Plastic trash trends,Trends in trash estimated using improperly disposed of plastics,resilience_score,trend,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,cw_trash_trend.csv,~/github/ohibc/calc_ohibc/layers/cw_trash_trend.csv
CW pressure,po_chemicals_3nm,Coastal chemical pollution,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",chem_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_chemical_3nm.csv,TRUE,po_chemicals_3nm.csv,~/github/ohibc/calc_ohibc/layers/po_chemicals_3nm.csv
CW pressure,po_nutrients_3nm,Coastal nutrient pollution,Modeled data based on fertilizer consumption from the Food and Agricultural Organization,nutr_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_nutrient_3nm.csv,TRUE,po_nutrients_3nm.csv,~/github/ohibc/calc_ohibc/layers/po_nutrients_3nm.csv
CW pressure,po_pathogens,Pathogen pollution,population density without access to improved sanitation,path_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_pathogens.csv,TRUE,po_pathogens.csv,~/github/ohibc/calc_ohibc/layers/po_pathogens.csv
CW pressure,po_trash,Marine plastics,Global marine plastics,trash_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_trash.csv,TRUE,po_trash.csv,~/github/ohibc/calc_ohibc/layers/po_trash.csv
FIS,fis_ram_b_bmsy,B/Bmsy estimates obtained using RAM data,The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield,value,B/Bmsy,~/github/ohibc/prep/fis/v2017/output/ram_b_bmsy.csv,TRUE,fis_ram_b_bmsy.csv,~/github/ohibc/calc_ohibc/layers/fis_ram_b_bmsy.csv
FIS,fis_ram_catch,Catch estimates obtained using RAM data,Estimate of total annual catch for a given fishery,value,tonnes,~/github/ohibc/prep/fis/v2017/output/ram_catch.csv,TRUE,fis_ram_catch.csv,~/github/ohibc/calc_ohibc/layers/fis_ram_catch.csv
FIS,fis_ram_f_fmsy,F/Fmsy estimates obtained using RAM data,The ratio of fishery harvest relative to the fishery harvest at maximum sustainable yield,value,F/Fmsy,~/github/ohibc/prep/fis/v2017/output/ram_f_fmsy.csv,TRUE,fis_ram_f_fmsy.csv,~/github/ohibc/calc_ohibc/layers/fis_ram_f_fmsy.csv
FIS,fis_stock_area,Proportional area of stock within each OHIBC region,Spatialized stock area for weighting RAM-reported catch across OHIBC regions.,a_prop,proportion,~/github/ohibc/prep/fis/v2017/output/ram_stock_area.csv,TRUE,fis_stock_area.csv,~/github/ohibc/calc_ohibc/layers/fis_stock_area.csv
