"targets","layer","name","description","fld_value","units","filename","yr_span","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"AO","ao_closures","Shellfish closure days","Shellfish closure days area-weighted by region as a proxy for access to shellfish gardens","days_avg","area-weighted closure days","ao_closures.csv","2009:2015","rgn_id",,,"year","days_avg",,TRUE,2009,2015,19.107201309329,350.390445698345,FALSE,,,,5,FALSE
"AO","ao_licenses","FN Commercial fishing licenses","Commercial fishing licenses allocated to First Nations (as proportion of total licenses) as a measure of access to commercial fisheries","pct_fn","percent","ao_licenses.csv","1995:2016","rgn_id",,"n_fn","year","pct_fn",,TRUE,1995,2016,0,0.269398430688753,TRUE,"n_tot",,,5,FALSE
"AO","ao_licenses_fn_pop","FN Commercial fishing licenses","Commercial fishing licenses allocated to First Nations (proportion relative to FN percent population) as a measure of access to commercial fisheries","pct_fn_pop","percent","ao_licenses_fn_pop.csv",,"rgn_id",,"fn_pop",,"pct_fn_pop",,TRUE,,,0,0.6232,TRUE,"tot_pop",,,5,FALSE
"AO","ao_spawn_hab_index","Herring spawn habitat index as a proxy for opportunity to collect herring spawn",,"shi_tot",,"ao_spawn_hab_index.csv","1940:2016","rgn_id",,"rgn_name","year","shi_tot",,TRUE,1940,2016,0,10550986,FALSE,"rgn_code",,,5,FALSE
"CPP","cp_cf_health","Exposure-weighted coastal forest habitat condition","Current condition of coastal forest habitat relative to historical condition weighted by exposure","cf_expos_area_tot","proportion","cp_cf_health.csv","1990:2010","rgn_id",,"area_km2_tot","year","cf_expos_area_tot",,TRUE,1990,2010,6.38,95.09,FALSE,,,,5,FALSE
"CPP","cp_sm_health","Exposure-weighted saltmarsh habitat condition","Current condition of saltmarsh habitat relative to historical condition weighted by exposure","sm_expos_area_tot","proportion","cp_sm_health.csv","1990:2010","rgn_id",,"area_km2_tot","year","sm_expos_area_tot",,TRUE,1990,2010,0.1647,4.2779,FALSE,,,,5,FALSE
"CSS","cs_cf_health","Exposure-weighted coastal forest habitat condition","Current condition of coastal forest habitat relative to historical condition","cf_area_km2","proportion","cs_cf_health.csv","1990:2010","rgn_id",,"area_km2_tot","year","cf_area_km2",,TRUE,1990,2010,1038.55,12518.13,FALSE,,,,5,FALSE
"CSS","cs_sm_health","Exposure-weighted saltmarsh habitat condition","Current condition of saltmarsh habitat relative to historical condition","sm_area_km2","proportion","cs_sm_health.csv","1990:2010","rgn_id",,"area_km2_tot","year","sm_area_km2",,TRUE,1990,2010,0.43,13.1,FALSE,,,,5,FALSE
"CW pressure","po_chemical_3nm","Coastal chemical pollution","Modeled chemical pollution from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)","chem_pressure","scaled 0-1","po_chemical_3nm.csv","2002:2013","rgn_id",,,"year","chem_pressure",,TRUE,2002,2013,0.0756635774991103,0.339586422347276,TRUE,,,,5,FALSE
"CW pressure","po_nutrient_3nm","Coastal nutrient pollution","Modeled data based on fertilizer consumption from the Food and Agricultural Organization","nutr_pressure","scaled 0-1","po_nutrient_3nm.csv","2002:2013","rgn_id",,,"year","nutr_pressure",,TRUE,2002,2013,0.00148905369927177,0.0924320178638652,TRUE,,,,5,FALSE
"CW pressure","po_pathogen","Pathogen pollution","population density without access to improved sanitation","path_pressure","scaled 0-1","po_pathogen.csv","2001:2016","rgn_id",,,"year","path_pressure",,TRUE,2001,2016,0.000748845223656632,0.119223003456856,TRUE,,,,5,FALSE
"CW pressure","po_trash","Marine plastics","Global marine plastics","trash_pressure","scaled 0-1","po_trash.csv",,"rgn_id",,,,"trash_pressure",,TRUE,,,0.118451722877312,0.340343269779023,TRUE,,,,5,FALSE
"FIS","fis_dfo_catch","Catch estimates obtained using DFO data","Estimate of total annual catch for a given fishery","rgn_ass_catch_prop","tonnes","fis_dfo_catch.csv","2007:2015","rgn_id",,"rgn_name","year","rgn_ass_catch_prop",,TRUE,2007,2015,0,1,TRUE,"species,stockid,catch,rgn_catch",,1362,5,FALSE
"FIS","fis_ram_b_bmsy","B/Bmsy estimates obtained using RAM data","The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield","value","B/Bmsy","fis_ram_b_bmsy.csv","1927:2016",,,"stock_id","year","value",,TRUE,1927,2016,0.07185171,5.62,FALSE,"stock_name,param,sciname,ram_area_name",,,5,FALSE
"FIS","fis_ram_f_fmsy","F/Fmsy estimates obtained using RAM data","The ratio of fishery harvest relative to the fishery harvest at maximum sustainable yield","value","F/Fmsy","fis_ram_f_fmsy.csv","1940:2015",,,"stock_id","year","value",,TRUE,1940,2015,1.48e-07,3.23,FALSE,"stock_name,param,sciname,ram_area_name",,,5,FALSE
"FIS","fis_rgn_catch_summary","Proportional area of stock within each OHIBC region","Spatialized stock area for weighting RAM-reported catch across OHIBC regions.","ass_catch_prop","proportion","fis_rgn_catch_summary.csv","2007:2015","rgn_id",,"rgn_name","year","ass_catch_prop",,TRUE,2007,2015,0,0.998743914747931,TRUE,"rgn_catch,unass_catch,unass_catch_prop",,,5,FALSE
"HAB","hab_ebsa_health","EBSA habitat condition","Current condition of EBSA habitat based on trawled area","trawled_area","trawled area","hab_ebsa_health.csv","2005:2015","rgn_id",,"total_ebsa_area","year","trawled_area",,TRUE,2005,2015,0,958.5,FALSE,,,,5,FALSE
"HAB","hab_sb_health","Soft Bottom habitat condition","Current condition of soft bottom habitat based on trawl effort","mean_hr_area","proportion","hab_sb_health.csv","2005:2015","rgn_id",,"sum_trawl_hr_area","year","mean_hr_area",,TRUE,2005,2015,0,28.7086325872284,FALSE,"total_sb_area,max_hr_area",,,5,FALSE
"HAB","hab_sm_health","Saltmarsh habitat condition","Current condition of saltmarsh habitat relative to historical condition","sm_area_km2","proportion","hab_sm_health.csv","1990:2010","rgn_id",,"area_km2_tot","year","sm_area_km2",,TRUE,1990,2010,0.43,13.1,FALSE,,,,5,FALSE
"ICO","ico_spp_presence","Region ID","List of iconic species and the regions in which they are found according to IUCN or Aquamaps","rgn_id","ICO spp presence within OHIBC regions","ico_spp_presence.csv",,"rgn_id",,"iucn_sid",,"rgn_id",,TRUE,,,1,8,FALSE,"am_sid,sciname,comname",,72,5,FALSE
"ICO","ico_spp_risk_score","IUCN or BCSEE extinction risk score","IUCN or BCSEE scored extinction risk category for iconic species per assessment year","risk_score","IUCN or BCSEE risk category score","ico_spp_risk_score.csv","1965:2017",,,"sciname","year","risk_score",,TRUE,1965,2017,0,1,TRUE,"comname,iucn_sid,am_sid,risk_source,cat_ts",,,5,FALSE
"ICO","ico_spp_trend","IUCN and COSEWIC trend","IUCN text field of population trend OR COSEWIC species health time series trend","iucn_pop_trend","IUCN and COSEWIC trend","ico_spp_trend.csv",,,,"sciname",,,"iucn_pop_trend",TRUE,,,,,FALSE,"comname,iucn_sid,am_sid,cosewic_trend",,1,5,
"LSP","lsp_prot_area_inland_ws","Inland coastal protected areas","Protected areas located 1 km inland","a_prot_inland","km2","lsp_prot_area_inland_ws.csv","1980:2016","rgn_id",,,"year","a_prot_inland",,TRUE,1980,2016,0,4823.75,FALSE,,,,5,FALSE
"LSP","lsp_prot_area_offshore3nm","Offshore coastal protected areas","Protected areas located 3nm offshore","a_prot_3nm","km2","lsp_prot_area_offshore3nm.csv","1980:2016","rgn_id",,,"year","a_prot_3nm",,TRUE,1980,2016,0.75,4758,FALSE,,,,5,FALSE
