" ","score","status","future","trend","pressures","resilience"
"Index",74.99,,78.66,,,
"Food Provision",54.18,48.88,59.47,0.02,,
". Fisheries",59.85,54,65.7,0.02,14.24,75.86
". Mariculture",0.03,0.03,0.04,0,12,71.81
"Artisanal Fishing Opportunity",83.35,75.27,91.44,0,11.63,76.67
"Natural Products",29.99,28.2,31.79,-0.15,11.17,79.33
"Carbon Storage",54.81,50.16,59.47,0,10.94,67.2
"Coastal Protection",96.21,92.41,100,-0.05,20.49,67.2
"Tourism & Recreation",100,100,100,0,20.04,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.41,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",45.76,42.41,49.1,-0.04,,
". Iconic Species",66.16,61.88,70.45,-0.11,13.99,77.52
". Lasting Special Places",25.35,22.95,27.76,0.02,15.7,75.19
"Clean Waters",95.71,91.42,100,0,25.13,66.1
"Biodiversity",89.92,84.53,95.31,-0.1,,
". Habitats",92.59,85.17,100,-0.02,11.79,78.43
". Species",87.26,83.9,90.62,-0.18,15.64,75.96
