" ","score","status","future","trend","pressures","resilience"
"Index",72.33,,76.51,,,
"Food Provision",54.18,48.88,59.48,0.02,,
". Fisheries",59.85,54,65.71,0.02,14.22,75.86
". Mariculture",0.08,0.07,0.08,0,12,71.81
"Artisanal Fishing Opportunity",83.36,75.27,91.45,0,11.6,76.67
"Natural Products",29.99,28.2,31.79,-0.15,11.16,79.33
"Carbon Storage",54.82,50.16,59.48,0,10.85,67.2
"Coastal Protection",96.21,92.41,100,-0.05,20.49,67.2
"Tourism & Recreation",73.3,68.13,78.48,0,20.04,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.41,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",45.76,42.41,49.11,-0.04,,
". Iconic Species",66.17,61.88,70.46,-0.11,13.92,77.52
". Lasting Special Places",25.36,22.95,27.76,0.02,15.61,75.19
"Clean Waters",95.71,91.42,100,0,25.13,66.1
"Biodiversity",89.93,84.53,95.32,-0.1,,
". Habitats",92.59,85.17,100,-0.02,11.76,78.43
". Species",87.26,83.9,90.63,-0.18,15.59,75.96
