" ","score","status","future","trend","pressures","resilience"
"Index",67.66,,71.52,,,
"Food Provision",54.2,48.89,59.5,0.02,,
". Fisheries",59.85,54,65.71,0.02,14.21,75.86
". Mariculture",0.21,0.19,0.23,0,12,71.81
"Artisanal Fishing Opportunity",83.36,75.27,91.45,0,11.59,76.67
"Natural Products",29.99,28.2,31.79,-0.15,11.16,79.33
"Carbon Storage",54.82,50.16,59.49,0,10.81,67.2
"Coastal Protection",96.21,92.41,100,-0.05,20.49,67.2
"Tourism & Recreation",26.62,24.74,28.5,0,20.04,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.4,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",45.76,42.41,49.12,-0.04,,
". Iconic Species",66.17,61.88,70.47,-0.11,13.89,77.52
". Lasting Special Places",25.36,22.95,27.77,0.02,15.57,75.19
"Clean Waters",95.71,91.42,100,0,25.13,66.1
"Biodiversity",89.93,84.53,95.32,-0.1,,
". Habitats",92.59,85.17,100,-0.02,11.75,78.43
". Species",87.27,83.9,90.64,-0.18,15.57,75.96
