rgn_id,gfma_id,n_cells_rgn,n_gfma_tot,n_gfma_rgn
1,NA,17486,2148469,958
1,4,17486,6473,5078
2,3,46041,6749,6529
1,3,17486,6749,3
2,35,46041,20574,3565
2,4,46041,6473,914
7,35,315882,20574,1285
2,1,46041,3999,3972
2,NA,46041,2148469,546
7,31,315882,45911,35916
2,31,46041,45911,8433
7,NA,315882,2148469,24916
1,5,17486,2602,2343
1,6,17486,7341,6325
2,5,46041,2602,96
2,6,46041,7341,245
2,2,46041,10389,9176
8,NA,3211,2148469,26
8,6,3211,7341,21
7,34,315882,29216,25687
3,6,20528,7341,25
3,NA,20528,2148469,850
1,7,17486,7859,2347
3,7,20528,7859,2379
1,2,17486,10389,432
8,7,3211,7859,2495
3,8,20528,58968,12473
2,34,46041,29216,3494
7,8,315882,58968,36752
8,2,3211,10389,574
2,8,46041,58968,8472
8,8,3211,58968,95
3,2,20528,10389,1
7,11,315882,54274,40328
4,NA,13719,2148469,664
4,8,13719,58968,220
3,9,20528,382,178
2,11,46041,54274,599
4,9,13719,382,204
3,11,20528,54274,4622
4,11,13719,54274,4745
4,12,13719,3538,2921
7,27,315882,106526,74095
4,13,13719,1437,954
4,27,13719,106526,4007
6,15,8142,650,589
6,NA,8142,2148469,330
6,13,8142,1437,315
5,26,28153,9494,3881
6,16,8142,1422,1318
5,NA,28153,2148469,262
4,26,13719,9494,4
5,25,28153,7251,6227
5,27,28153,106526,3
6,14,8142,1506,1503
7,26,315882,9494,5512
6,28,8142,424,395
5,24,28153,143069,6988
6,17,8142,1412,1402
6,29,8142,1603,1532
7,25,315882,7251,907
7,24,315882,143069,65123
5,23,28153,17000,7814
6,18,8142,701,650
5,21,28153,7570,1290
6,19,8142,900,108
5,19,28153,900,715
5,20,28153,997,973
7,23,315882,17000,5361
