iucn_sid,am_sid,risk_score,risk_source,rgn_id,spp_pct_area,sciname
233,Fis-29588,0.8,bc,1,0.88889,Acipenser medirostris
233,Fis-29588,0.8,bc,2,0.68004,Acipenser medirostris
233,Fis-29588,0.8,bc,3,0.84508,Acipenser medirostris
233,Fis-29588,0.8,bc,4,0.88143,Acipenser medirostris
233,Fis-29588,0.8,bc,5,0.60369,Acipenser medirostris
233,Fis-29588,0.8,bc,6,1,Acipenser medirostris
233,Fis-29588,0.8,bc,7,0.00758,Acipenser medirostris
233,Fis-29588,0.8,bc,8,0.57256,Acipenser medirostris
234,Fis-29594,0.7,bc,1,0.98862,Acipenser transmontanus
234,Fis-29594,0.7,bc,2,0.71985,Acipenser transmontanus
234,Fis-29594,0.7,bc,3,0.87728,Acipenser transmontanus
234,Fis-29594,0.7,bc,4,0.82578,Acipenser transmontanus
234,Fis-29594,0.7,bc,5,0.65646,Acipenser transmontanus
234,Fis-29594,0.7,bc,6,0.96348,Acipenser transmontanus
234,Fis-29594,0.7,bc,7,0.00758,Acipenser transmontanus
234,Fis-29594,0.7,bc,8,0.96438,Acipenser transmontanus
2474,ITS-Mam-180524,0.2,bc,1,1,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,2,1,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,3,0.99723,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,4,0.97998,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,5,1,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,6,0.78071,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,7,1,Balaenoptera acutorostrata
2474,ITS-Mam-180524,0.2,bc,8,1,Balaenoptera acutorostrata
2475,ITS-Mam-180526,1,bc,1,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,2,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,3,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,4,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,5,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,6,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,7,1,Balaenoptera borealis
2475,ITS-Mam-180526,1,bc,8,1,Balaenoptera borealis
2477,ITS-Mam-180528,0.8,bc,1,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,2,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,3,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,4,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,5,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,6,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,7,1,Balaenoptera musculus
2477,ITS-Mam-180528,0.8,bc,8,1,Balaenoptera musculus
2478,ITS-Mam-180527,0.6,bc,1,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,2,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,3,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,4,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,5,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,6,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,7,1,Balaenoptera physalus
2478,ITS-Mam-180527,0.6,bc,8,1,Balaenoptera physalus
2763,ITS-Mam-180496,0.4,iucn,1,1,Berardius bairdii
2763,ITS-Mam-180496,0.4,iucn,2,1,Berardius bairdii
2763,ITS-Mam-180496,0.4,iucn,3,1,Berardius bairdii
