am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,spp_group,spatial_source,cat_code,cat_score,pop_trend,trend_score
ITS-Mam-180524,2474,2474,NA,Balaenoptera acutorostrata,MARINE_MAMMALS,iucn,LC,0,stable,0
ITS-Mam-180526,2475,2475,NA,Balaenoptera borealis,MARINE_MAMMALS,iucn,EN,0.6,unknown,NA
ITS-Mam-180528,2477,2477,NA,Balaenoptera musculus,MARINE_MAMMALS,iucn,EN,0.6,increasing,0.5
ITS-Mam-180527,2478,2478,NA,Balaenoptera physalus,MARINE_MAMMALS,iucn,EN,0.6,unknown,NA
Fis-55409,2636,2636,NA,Bathyraja abyssicola,CHONDRICHTHYES,iucn,DD,NA,NA,NA
ITS-Mam-180496,2763,2763,NA,Berardius bairdii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180627,3590,3590,NA,Callorhinus ursinus,MARINE_MAMMALS,iucn,VU,0.4,decreasing,-0.5
Fis-23071,3855,3855,NA,Carcharodon carcharias,CHONDRICHTHYES,iucn,VU,0.4,unknown,NA
Rep-2666,3897,3897,NA,Caretta caretta,REPTILES_marine,iucn,VU,0.4,decreasing,-0.5
Fis-22747,4292,4292,NA,Cetorhinus maximus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180438,6336,6336,NA,Delphinus delphis,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180547,7750,7750,NA,Enhydra lutris,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
Rep-5181,8005,8005,NA,Eretmochelys imbricata,REPTILES_marine,iucn,CR,0.8,decreasing,-0.5
ITS-Mam-180521,8097,8097,NA,Eschrichtius robustus,MARINE_MAMMALS,iucn,LC,0,stable,0
ITS-Mam-180625,8239,8239,NA,Eumetopias jubatus,MARINE_MAMMALS,iucn,NT,0.2,increasing,0.5
ITS-Mam-180466,9249,9249,NA,Globicephala macrorhynchus,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180457,9461,9461,NA,Grampus griseus,MARINE_MAMMALS,iucn,LC,0,unknown,NA
Fis-23157,10030,10030,NA,Hexanchus griseus,CHONDRICHTHYES,iucn,NT,0.2,unknown,NA
ITS-Mam-180491,11047,11047,NA,Kogia breviceps,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180444,11145,11145,NA,Lagenorhynchus obliquidens,MARINE_MAMMALS,iucn,LC,0,unknown,NA
Rep-6936,11534,11534,NA,Lepidochelys olivacea,REPTILES_marine,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180454,12125,12125,NA,Lissodelphis borealis,MARINE_MAMMALS,iucn,LC,0,unknown,NA
NA,12302,12302,NA,Lontra canadensis,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
ITS-Mam-180530,13006,13006,NA,Megaptera novaeangliae,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180512,13243,13243,NA,Mesoplodon carlhubbsi,MARINE_MAMMALS,iucn,DD,NA,NA,NA
