year,rgn_id,med_adj_income
1996,1,78617.05
1997,1,77183.26
1998,1,75749.47
1999,1,74315.68
2000,1,72881.89
2001,1,71448.1
2002,1,70379.87
2003,1,69311.65
2004,1,68243.42
2005,1,67175.19
2006,1,66106.96
2007,1,65441.72
2008,1,64776.48
2009,1,64111.24
2010,1,63445.99
2011,1,62780.75
2012,1,65923.42
2013,1,69066.09
2014,1,72208.76
2015,1,75351.43
2016,1,78494.09
1996,2,72643.12
1997,2,71224.94
1998,2,69806.76
1999,2,68388.58
2000,2,66970.39
2001,2,65552.21
2002,2,63140.45
2003,2,60728.69
2004,2,58316.93
2005,2,55905.17
2006,2,53493.41
2007,2,55433.6
2008,2,57373.79
2009,2,59313.98
2010,2,61254.17
2011,2,63194.36
2012,2,62918.37
2013,2,62642.39
2014,2,62366.41
2015,2,62090.43
2016,2,61814.44
2001,3,58575.1
2002,3,58509.35
2003,3,58443.61
2004,3,58377.86
2005,3,58312.12
2006,3,58246.37
2007,3,60202.77
2008,3,62159.17
2009,3,64115.57
2010,3,66071.96
2011,3,68028.36
2012,3,64883.44
2013,3,61738.52
2014,3,58593.6
2015,3,55448.69
2016,3,52303.77
1996,4,74970.24
1997,4,72729.35
1998,4,70488.47
1999,4,68247.58
2000,4,66006.69
2001,4,63765.81
2002,4,62943.06
2003,4,62120.32
2004,4,61297.58
2005,4,60474.84
2006,4,59652.1
2007,4,59970.66
2008,4,60289.22
2009,4,60607.78
2010,4,60926.33
2011,4,61244.89
2012,4,61653.72
2013,4,62062.55
2014,4,62471.37
2015,4,62880.2
2016,4,63289.02
1996,5,63060.8
1997,5,62598.62
1998,5,62136.44
1999,5,61674.25
2000,5,61212.07
2001,5,60749.89
2002,5,61324.83
2003,5,61899.78
2004,5,62474.73
2005,5,63049.67
2006,5,63624.62
2007,5,64079.6
2008,5,64534.58
2009,5,64989.56
2010,5,65444.55
2011,5,65899.53
2012,5,66663.53
2013,5,67427.54
2014,5,68191.55
2015,5,68955.55
2016,5,69719.56
1996,6,65680
1997,6,65607.62
1998,6,65535.23
1999,6,65462.84
2000,6,65390.46
2001,6,65318.07
2002,6,65361.16
2003,6,65404.25
2004,6,65447.34
2005,6,65490.44
2006,6,65533.53
2007,6,66005.53
2008,6,66477.54
2009,6,66949.54
2010,6,67421.54
2011,6,67893.55
2012,6,68889.52
2013,6,69885.5
2014,6,70881.47
2015,6,71877.45
2016,6,72873.42
