year,rgn_id,median_income
1996,1,49607.88
1996,2,46868
1996,3,36258.45
1996,4,45536.11
1996,5,41349.37
1996,6,43286.99
1996,8,51030
1997,1,49635.568
1997,2,46540.2
1997,3,36278.013999999996
1997,4,45646.758
1997,5,42160.658
1997,6,44392.208
1997,8,51242.2
1998,1,49663.256
1998,2,46212.4
1998,3,36297.577999999994
1998,4,45757.406
1998,5,42971.946
1998,6,45497.426
1998,8,51454.4
1999,1,49690.943999999996
1999,2,45884.6
1999,3,36317.142
1999,4,45868.054
1999,5,43783.234
1999,6,46602.644
1999,8,51666.6
2000,1,49718.632
2000,2,45556.8
2000,3,36336.706
2000,4,45978.702
2000,5,44594.522
2000,6,47707.862
2000,8,51878.8
2001,1,49746.32
2001,2,45229
2001,3,36356.27
2001,4,46089.35
2001,5,45405.81
2001,6,48813.08
2001,8,52091
2002,1,49581.902
2002,2,45383.6
2002,3,36252.036
2002,4,46670.172
2002,5,46772.954
2002,6,49912.028
2002,8,51761
2003,1,49417.484000000004
2003,2,45538.2
2003,3,36147.801999999996
2003,4,47250.994
2003,5,48140.098
2003,6,51010.976
2003,8,51431
2004,1,49253.066
2004,2,45692.8
2004,3,36043.568
2004,4,47831.816
2004,5,49507.242
2004,6,52109.924
2004,8,51101
2005,1,49088.648
2005,2,45847.4
2005,3,35939.333999999995
2005,4,48412.638
2005,5,50874.386
2005,6,53208.872
2005,8,50771
2006,1,48924.23
2006,2,46002
2006,3,35835.1
2006,4,48993.46
2006,5,52241.53
2006,6,54307.82
2006,8,50441
2007,1,49743.942
2007,2,46694
2007,3,37058.724
2007,4,50370.157999999996
2007,5,53707.782
2007,6,55883.98
2007,8,51327
2008,1,50563.654
2008,2,47386
2008,3,38282.348
2008,4,51746.856
2008,5,55174.034
2008,6,57460.14
2008,8,52213
2009,1,51383.366
2009,2,48078
2009,3,39505.972
2009,4,53123.554
2009,5,56640.286
2009,6,59036.3
2009,8,53099
2010,1,52203.078
2010,2,48770
2010,3,40729.596
2010,4,54500.252
2010,5,58106.538
2010,6,60612.46000000001
2010,8,53985
2011,1,53022.79
2011,2,49462
2011,3,41953.22
2011,4,55876.95
2011,5,59572.79
2011,6,62188.62
2011,8,54871
