year,rgn_id,mean_unempl
2001,1,20.68
2002,1,20.24
2003,1,19.8
2004,1,19.36
2005,1,18.92
2006,1,18.48
2007,1,17.138
2008,1,15.796
2009,1,14.454
2010,1,13.111999999999998
2011,1,11.77
2001,2,10.93
2002,2,12.386
2003,2,13.842
2004,2,15.298
2005,2,16.754
2006,2,18.21
2007,2,17.19
2008,2,16.17
2009,2,15.15
2010,2,14.129999999999999
2011,2,13.11
2001,3,20.41
2002,3,19.868
2003,3,19.326
2004,3,18.784
2005,3,18.242
2006,3,17.7
2007,3,17.354
2008,3,17.008
2009,3,16.662
2010,3,16.316
2011,3,15.97
2001,4,18.15
2002,4,17.305999999999997
2003,4,16.462
2004,4,15.617999999999999
2005,4,14.774
2006,4,13.93
2007,4,14.582
2008,4,15.234
2009,4,15.886000000000001
2010,4,16.538
2011,4,17.19
2001,5,12.73
2002,5,11.756
2003,5,10.782
2004,5,9.808
2005,5,8.834
2006,5,7.86
2007,5,8.342
2008,5,8.824
2009,5,9.306
2010,5,9.788
2011,5,10.27
2001,6,10.01
2002,6,9.4
2003,6,8.79
2004,6,8.18
2005,6,7.57
2006,6,6.96
2007,6,7.426
2008,6,7.8919999999999995
2009,6,8.357999999999999
2010,6,8.824
2011,6,9.29
