csd_id,csd_name,year,med_income,unempl_rate,cpi,adj_med_income
5901003,Elkford,1996,65745,5,67.8425424933049,96908.21950914958
5901003,ELKFORD,2001,65430,6.6,76.16822429906541,85901.96319018406
5901003,Elkford (DM),2006,74707,4,84.96884735202492,87922.81209899175
5901003,Elkford (DM),2011,110546,4.2,93.38006230529595,118382.87239366138
5901003,Elkford (DM),2016,110379,5.8,100,110379
5901006,Sparwood,1996,44176,16.1,67.8425424933049,65115.48414383135
5901006,SPARWOOD,2001,55557,10.1,76.16822429906541,72939.86503067485
5901006,Sparwood (DM),2006,65139,5.4,84.96884735202492,76662.2144821265
5901006,Sparwood (DM),2011,85778,5.3,93.38006230529595,91859.00917431193
5901006,Sparwood (DM),2016,103538,6.4,100,103538
5901012,Fernie,1996,45340,10.7,67.8425424933049,66831.22172857012
5901012,FERNIE,2001,46634,9.8,76.16822429906541,61225.00613496933
5901012,Fernie (CY),2006,48082,5.8,84.96884735202492,56587.79835013749
5901012,Fernie (CY),2011,80358,3.7,93.38006230529595,86054.77231025854
5901012,Fernie (CY),2016,90112,7.2,100,90112
5901015,"East Kootenay, Subd. C",1996,40720,13.8,67.8425424933049,60021.33543862759
5901017,EAST KOOTENAY A,2001,52556,10.9,76.16822429906541,68999.9018404908
5901017,East Kootenay A (RDA),2006,60217,2.2,84.96884735202492,70869.50320806599
5901017,East Kootenay A (RDA),2011,65184,9.6,93.38006230529595,69805.05087572978
5901017,East Kootenay A (RDA),2016,98901,6.4,100,98901
5901019,EAST KOOTENAY B,2001,41875,12.4,76.16822429906541,54976.99386503068
5901019,East Kootenay B (RDA),2006,48766,8.1,84.96884735202492,57392.79926672777
5901019,East Kootenay B (RDA),2011,69176,5.5,93.38006230529595,74080.05337781484
5901019,East Kootenay B (RDA),2016,78387,7,100,78387
5901022,Cranbrook,1996,36497,11.2,67.8425424933049,53796.62768918446
5901022,CRANBROOK,2001,42873,10.7,76.16822429906541,56287.25153374234
5901022,Cranbrook (CY),2006,46862,5.3,84.96884735202492,55151.97800183318
5901022,Cranbrook (CY),2011,57700,7.2,93.38006230529595,61790.49207673061
5901022,Cranbrook (CY),2016,67942,7.8,100,67942
5901028,Kimberley,1996,36442,13.1,67.8425424933049,53715.55761430419
5901028,KIMBERLEY,2001,41087,10.3,76.16822429906541,53942.441717791415
5901028,Kimberley (CY),2006,43252,6.8,84.96884735202492,50903.36205316224
5901028,Kimberley (CY),2011,57940,9.2,93.38006230529595,62047.50625521268
5901028,Kimberley (CY),2016,67072,9.1,100,67072
5901033,"East Kootenay, Subd. B",1996,46060,11.9,67.8425424933049,67892.5027088209
5901035,EAST KOOTENAY C,2001,51194,9.1,76.16822429906541,67211.754601227
5901035,East Kootenay C (RDA),2006,62452,4.3,84.96884735202492,73499.8790100825
5901035,East Kootenay C (RDA),2011,80663,6.9,93.38006230529595,86381.39449541284
5901035,East Kootenay C (RDA),2016,86688,6.9,100,86688
5901037,EAST KOOTENAY E,2001,49812,7.5,76.16822429906541,65397.34969325154
