csd_id,csd_name,year,field,value
5901003,    Elkford,1996,unempl_rate,5
5901003,    Elkford,1996,med_income,65745
5901006,    Sparwood,1996,unempl_rate,16.1
5901006,    Sparwood,1996,med_income,44176
5901012,    Fernie,1996,unempl_rate,10.7
5901012,    Fernie,1996,med_income,45340
5901015,"    East Kootenay, Subd. C",1996,unempl_rate,13.8
5901015,"    East Kootenay, Subd. C",1996,med_income,40720
5901022,    Cranbrook,1996,unempl_rate,11.2
5901022,    Cranbrook,1996,med_income,36497
5901028,    Kimberley,1996,unempl_rate,13.1
5901028,    Kimberley,1996,med_income,36442
5901033,"    East Kootenay, Subd. B",1996,unempl_rate,11.9
5901033,"    East Kootenay, Subd. B",1996,med_income,46060
5901039,    Invermere,1996,unempl_rate,8.3
5901039,    Invermere,1996,med_income,40752
5901040,    Radium Hot Springs,1996,unempl_rate,3.4
5901040,    Radium Hot Springs,1996,med_income,34814
5901044,"    East Kootenay, Subd. A",1996,unempl_rate,12
5901044,"    East Kootenay, Subd. A",1996,med_income,44432
5901801,    Tobacco Plains 2,1996,unempl_rate,22.2
5901801,    Tobacco Plains 2,1996,med_income,0
5901803,    Kootenay 1,1996,unempl_rate,35.7
5901803,    Kootenay 1,1996,med_income,0
5901804,    Columbia Lake 3,1996,unempl_rate,25
5901804,    Columbia Lake 3,1996,med_income,0
5901806,    Shuswap,1996,unempl_rate,14.3
5901806,    Shuswap,1996,med_income,0
5903004,    Creston,1996,unempl_rate,7.1
5903004,    Creston,1996,med_income,28675
5903008,"    Central Kootenay, Subd. C",1996,unempl_rate,11.6
5903008,"    Central Kootenay, Subd. C",1996,med_income,29475
5903011,    Salmo,1996,unempl_rate,20.8
5903011,    Salmo,1996,med_income,25091
5903015,    Nelson,1996,unempl_rate,11.4
5903015,    Nelson,1996,med_income,32293
5903019,    Slocan,1996,unempl_rate,32
5903019,    Slocan,1996,med_income,18690
5903023,    Kaslo,1996,unempl_rate,8.4
5903023,    Kaslo,1996,med_income,33234
5903027,    Silverton,1996,unempl_rate,10.3
5903027,    Silverton,1996,med_income,0
5903032,    New Denver,1996,unempl_rate,7.8
5903032,    New Denver,1996,med_income,22360
5903037,"    Central Kootenay, Subd. B",1996,unempl_rate,11.6
5903037,"    Central Kootenay, Subd. B",1996,med_income,33853
5903045,    Castlegar,1996,unempl_rate,10.9
5903045,    Castlegar,1996,med_income,40321
5903050,    Nakusp,1996,unempl_rate,14.3
5903050,    Nakusp,1996,med_income,31623
5903054,"    Central Kootenay, Subd. A",1996,unempl_rate,13.3
5903054,"    Central Kootenay, Subd. A",1996,med_income,38852
5903807,    Creston 1,1996,unempl_rate,18.2
5903807,    Creston 1,1996,med_income,0
5905005,    Fruitvale,1996,unempl_rate,7.4
5905005,    Fruitvale,1996,med_income,45251
5905009,    Montrose,1996,unempl_rate,3.7
5905009,    Montrose,1996,med_income,60165
5905014,    Trail,1996,unempl_rate,12.2
5905014,    Trail,1996,med_income,30397
5905018,    Warfield,1996,unempl_rate,7.3
5905018,    Warfield,1996,med_income,44958
5905023,    Rossland,1996,unempl_rate,6.2
5905023,    Rossland,1996,med_income,53143
5905028,"    Kootenay Boundary, Subd. A",1996,unempl_rate,11.1
5905028,"    Kootenay Boundary, Subd. A",1996,med_income,48324
5905032,    Grand Forks,1996,unempl_rate,9.1
5905032,    Grand Forks,1996,med_income,32628
5905037,    Midway,1996,unempl_rate,15.2
5905037,    Midway,1996,med_income,33960
5905042,    Greenwood,1996,unempl_rate,23.8
5905042,    Greenwood,1996,med_income,22037
