csd_id,csd_name,topic,characteristic,total,year
5901003,ELKFORD,Labour Force Indicators,Unemployment rate,6.6,2001
5901003,ELKFORD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",65430,2001
5901006,SPARWOOD,Labour Force Indicators,Unemployment rate,10.1,2001
5901006,SPARWOOD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55557,2001
5901012,FERNIE,Labour Force Indicators,Unemployment rate,9.8,2001
5901012,FERNIE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46634,2001
5901017,EAST KOOTENAY A,Labour Force Indicators,Unemployment rate,10.9,2001
5901017,EAST KOOTENAY A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",52556,2001
5901019,EAST KOOTENAY B,Labour Force Indicators,Unemployment rate,12.4,2001
5901019,EAST KOOTENAY B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41875,2001
5901022,CRANBROOK,Labour Force Indicators,Unemployment rate,10.7,2001
5901022,CRANBROOK,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42873,2001
5901028,KIMBERLEY,Labour Force Indicators,Unemployment rate,10.3,2001
5901028,KIMBERLEY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41087,2001
5901035,EAST KOOTENAY C,Labour Force Indicators,Unemployment rate,9.1,2001
5901035,EAST KOOTENAY C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51194,2001
5901037,EAST KOOTENAY E,Labour Force Indicators,Unemployment rate,7.5,2001
5901037,EAST KOOTENAY E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49812,2001
5901039,INVERMERE,Labour Force Indicators,Unemployment rate,4.2,2001
5901039,INVERMERE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",48324,2001
5901040,RADIUM HOT SPRINGS,Labour Force Indicators,Unemployment rate,3.1,2001
5901040,RADIUM HOT SPRINGS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",52151,2001
5901046,EAST KOOTENAY F,Labour Force Indicators,Unemployment rate,9.7,2001
5901046,EAST KOOTENAY F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",48953,2001
5901048,EAST KOOTENAY G,Labour Force Indicators,Unemployment rate,6.3,2001
5901048,EAST KOOTENAY G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41948,2001
5901801,TOBACCO PLAINS 2,Labour Force Indicators,Unemployment rate,0,2001
5901801,TOBACCO PLAINS 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5901802,ISIDORE'S RANCH 4,Labour Force Indicators,Unemployment rate,NA,2001
5901802,ISIDORE'S RANCH 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5901803,KOOTENAY 1,Labour Force Indicators,Unemployment rate,35.7,2001
5901803,KOOTENAY 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5901804,COLUMBIA LAKE 3,Labour Force Indicators,Unemployment rate,11.1,2001
5901804,COLUMBIA LAKE 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5901805,CASSIMAYOOKS (MAYOOK) 5,Labour Force Indicators,Unemployment rate,NA,2001
5901805,CASSIMAYOOKS (MAYOOK) 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5901806,SHUSWAP,Labour Force Indicators,Unemployment rate,28.6,2001
5901806,SHUSWAP,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5901807,BUMMERS FLAT 6,Labour Force Indicators,Unemployment rate,NA,2001
5901807,BUMMERS FLAT 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5903004,CRESTON,Labour Force Indicators,Unemployment rate,9.9,2001
5903004,CRESTON,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32970,2001
5903010,CENTRAL KOOTENAY A,Labour Force Indicators,Unemployment rate,9,2001
5903010,CENTRAL KOOTENAY A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",28634,2001
5903011,SALMO,Labour Force Indicators,Unemployment rate,15.5,2001
5903011,SALMO,Selected Household Characteristics,"Median household income, 2000 ($) - All households",29923,2001
5903013,CENTRAL KOOTENAY B,Labour Force Indicators,Unemployment rate,9.3,2001
5903013,CENTRAL KOOTENAY B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31216,2001
5903015,NELSON,Labour Force Indicators,Unemployment rate,9,2001
5903015,NELSON,Selected Household Characteristics,"Median household income, 2000 ($) - All households",38559,2001
5903017,CENTRAL KOOTENAY C,Labour Force Indicators,Unemployment rate,9,2001
5903017,CENTRAL KOOTENAY C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",36967,2001
5903019,SLOCAN,Labour Force Indicators,Unemployment rate,10.8,2001
5903019,SLOCAN,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31363,2001
5903023,KASLO,Labour Force Indicators,Unemployment rate,13.1,2001
5903023,KASLO,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32392,2001
5903027,SILVERTON,Labour Force Indicators,Unemployment rate,19.2,2001
5903027,SILVERTON,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5903032,NEW DENVER,Labour Force Indicators,Unemployment rate,15.2,2001
5903032,NEW DENVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",24760,2001
5903039,CENTRAL KOOTENAY D,Labour Force Indicators,Unemployment rate,20.9,2001
5903039,CENTRAL KOOTENAY D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",27662,2001
5903041,CENTRAL KOOTENAY E,Labour Force Indicators,Unemployment rate,14.2,2001
5903041,CENTRAL KOOTENAY E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37992,2001
5903043,CENTRAL KOOTENAY F,Labour Force Indicators,Unemployment rate,8.8,2001
5903043,CENTRAL KOOTENAY F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55536,2001
5903045,CASTLEGAR,Labour Force Indicators,Unemployment rate,11.2,2001
5903045,CASTLEGAR,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44511,2001
5903047,CENTRAL KOOTENAY G,Labour Force Indicators,Unemployment rate,14.1,2001
5903047,CENTRAL KOOTENAY G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",36173,2001
5903050,NAKUSP,Labour Force Indicators,Unemployment rate,20.7,2001
5903050,NAKUSP,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37033,2001
5903052,CENTRAL KOOTENAY H,Labour Force Indicators,Unemployment rate,10.9,2001
5903052,CENTRAL KOOTENAY H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32869,2001
5903056,CENTRAL KOOTENAY I,Labour Force Indicators,Unemployment rate,11.7,2001
5903056,CENTRAL KOOTENAY I,Selected Household Characteristics,"Median household income, 2000 ($) - All households",45599,2001
5903058,CENTRAL KOOTENAY J,Labour Force Indicators,Unemployment rate,12.6,2001
5903058,CENTRAL KOOTENAY J,Selected Household Characteristics,"Median household income, 2000 ($) - All households",46816,2001
5903060,CENTRAL KOOTENAY K,Labour Force Indicators,Unemployment rate,19.1,2001
5903060,CENTRAL KOOTENAY K,Selected Household Characteristics,"Median household income, 2000 ($) - All households",33624,2001
5903807,CRESTON 1,Labour Force Indicators,Unemployment rate,18.2,2001
5903807,CRESTON 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5905005,FRUITVALE,Labour Force Indicators,Unemployment rate,6.7,2001
5905005,FRUITVALE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49902,2001
5905009,MONTROSE,Labour Force Indicators,Unemployment rate,16.3,2001
5905009,MONTROSE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51014,2001
5905014,TRAIL,Labour Force Indicators,Unemployment rate,12.5,2001
5905014,TRAIL,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37314,2001
5905018,WARFIELD,Labour Force Indicators,Unemployment rate,5,2001
5905018,WARFIELD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",59312,2001
5905023,ROSSLAND,Labour Force Indicators,Unemployment rate,8.5,2001
5905023,ROSSLAND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51056,2001
5905026,KOOTENAY BOUNDARY A,Labour Force Indicators,Unemployment rate,11.4,2001
5905026,KOOTENAY BOUNDARY A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",57005,2001
5905030,KOOTENAY BOUNDARY B,Labour Force Indicators,Unemployment rate,7.1,2001
5905030,KOOTENAY BOUNDARY B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",54072,2001
5905032,GRAND FORKS,Labour Force Indicators,Unemployment rate,7.2,2001
5905032,GRAND FORKS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32761,2001
5905037,MIDWAY,Labour Force Indicators,Unemployment rate,3.8,2001
