"rgn_id","habitat","extent_rank"
1,"saltmarsh",1320
1,"seagrass",3.493
1,"seaice_shoreline",2800227.27272727
2,"saltmarsh",1320
2,"seagrass",3.493
2,"seaice_shoreline",2800227.27272727
3,"saltmarsh",1320
3,"seagrass",3.493
3,"seaice_shoreline",2800227.27272727
4,"saltmarsh",1320
4,"seagrass",3.493
4,"seaice_shoreline",2800227.27272727
5,"saltmarsh",1320
5,"seagrass",3.493
5,"seaice_shoreline",2800227.27272727
6,"saltmarsh",1320
6,"seagrass",3.493
6,"seaice_shoreline",2800227.27272727
7,"saltmarsh",1320
7,"seagrass",3.493
7,"seaice_shoreline",2800227.27272727
8,"saltmarsh",1320
8,"seagrass",3.493
8,"seaice_shoreline",2800227.27272727
