layer,dir_prep,filename,ingest,name_data_fld,name,units,description,date,prep_script,target,target_element,dimension
ao_closures,ohibc:prep/ao/v2017/output,ao_closures.csv,TRUE,days_avg,Shellfish closure days,area-weighted closure days,Shellfish closure days area-weighted by region as a proxy for access to shellfish gardens,Mon Aug 14 13:32:13 2017 -0700,ohibc:prep/ao/v2017/ao_closures_prep.rmd,AO,NA,status
ao_licenses,ohibc:prep/ao/v2017/output,ao_licenses.csv,TRUE,pct_fn,FN Commercial fishing licenses,percent,Commercial fishing licenses allocated to First Nations (as proportion of total licenses) as a measure of access to commercial fisheries,Mon Aug 14 13:59:25 2017 -0700,ohibc:prep/ao/v2017/ao_licenses_prep.rmd,AO,NA,status
ao_licenses_fn_pop,ohibc:prep/ao/v2017/output,ao_licenses_fn_pop.csv,TRUE,pct_fn_pop,FN Commercial fishing licenses,percent,Commercial fishing licenses allocated to First Nations (proportion relative to FN percent population) as a measure of access to commercial fisheries,Mon Aug 14 15:44:00 2017 -0700,ohibc:prep/ao/v2017/ao_licenses_prep.rmd,AO,NA,status
ao_salmon,ohibc:prep/ao/v2017/output,ao_salmon.csv,TRUE,stock_status,Salmon stock health,stock status,Salmon stock health as a proxy for access to salmon for FSC purposes,NA,NA,AO,NA,status
ao_spawn_hab_index,ohibc:prep/ao/v2017/output,ao_spawn_hab_index.csv,TRUE,shi_tot,Herring spawn habitat index as a proxy for opportunity to collect herring spawn,NA,NA,Tue Apr 18 15:28:14 2017 -0700,ohibc:prep/ao/v2017/ao_herringspawn_prep.rmd,AO,NA,status
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,AO,shellfish_closures,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,AO,fn_licenses,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,FIS,NA,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,HAB,soft_bottom,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,HAB,ebsa,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,LSP,NA,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,MAR,NA,pressure
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic,Aquaculture benthic pressures,scaled 0-1,Rescaled harvest-weighted benthic impacts due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,SPP,NA,pressure
aq_incidental,ohibc:prep/mar/v2017/output,prs_aq_incidental.csv,TRUE,prs_incidental,Aquaculture incidental harvest,scaled 0-1,Rescaled harvest-weighted incidental take of fish species due to aquaculture,Wed Sep 6 16:52:42 2017 -0700,ohibc:prep/mar/v2017/data_prep_aq_prs_res.Rmd,AO,fn_licenses,pressure
