"run_id","run_tag","run_date","file","type","commit_url","commit_author","commit_date","uncommitted_changes","sys_info","ses_info","base_pkgs","attached_pkgs"
1,"standard run","Thu Nov  5 14:45:19 2015","/home/ohara/github/ohibc/prep/regions/wdpa_bc_bcalb.shp","input","no version control info found",NA,NA,NA,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: RColorBrewer_1.1-2, ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
1,"standard run","Thu Nov  5 14:45:19 2015","/home/ohara/github/ohibc/prep/regions/ohibc_offshore_3nm.shp","input","https://github.com/OHI-Science/ohibc/commit/b4848d164d7ab5393da401425b57d0a540866c1f","Casey O'Hara <ohara@nceas.ucsb.edu>","  Wed Oct 28 15:07:36 2015 -0700",FALSE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: RColorBrewer_1.1-2, ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
1,"standard run","Thu Nov  5 14:45:19 2015","/home/ohara/github/ohibc/prep/regions/ohibc_inland_1km.shp","input","https://github.com/OHI-Science/ohibc/commit/b4848d164d7ab5393da401425b57d0a540866c1f","Casey O'Hara <ohara@nceas.ucsb.edu>","  Wed Oct 28 15:07:36 2015 -0700",FALSE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: RColorBrewer_1.1-2, ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
1,"standard run","Thu Nov  5 14:45:19 2015","~/github/ohibc/prep/lsp/data/status.csv","output","output file: not yet committed",NA,NA,NA,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: RColorBrewer_1.1-2, ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
1,"standard run","Thu Nov  5 14:45:19 2015","~/github/ohibc/prep/lsp/data_prep_lsp.Rmd","script","https://github.com/OHI-Science/ohibc/commit/050ba8f181f1a46f864780da17869dd146c8a62d","Casey O'Hara <ohara@nceas.ucsb.edu>","  Thu Nov 5 13:51:36 2015 -0800",TRUE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: RColorBrewer_1.1-2, ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
2,"standard run","Thu Nov  5 15:18:37 2015","/home/ohara/github/ohibc/prep/regions/wdpa_bc_bcalb.shp","input","no version control info found",NA,NA,NA,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
2,"standard run","Thu Nov  5 15:18:37 2015","/home/ohara/github/ohibc/prep/regions/ohibc_offshore_3nm.shp","input","https://github.com/OHI-Science/ohibc/commit/b4848d164d7ab5393da401425b57d0a540866c1f","Casey O'Hara <ohara@nceas.ucsb.edu>","  Wed Oct 28 15:07:36 2015 -0700",FALSE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
2,"standard run","Thu Nov  5 15:18:37 2015","/home/ohara/github/ohibc/prep/regions/ohibc_inland_1km.shp","input","https://github.com/OHI-Science/ohibc/commit/b4848d164d7ab5393da401425b57d0a540866c1f","Casey O'Hara <ohara@nceas.ucsb.edu>","  Wed Oct 28 15:07:36 2015 -0700",FALSE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
2,"standard run","Thu Nov  5 15:18:37 2015","~/github/ohibc/prep/lsp/data/status.csv","output","output file: not yet committed",NA,NA,NA,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
2,"standard run","Thu Nov  5 15:18:37 2015","~/github/ohibc/prep/lsp/data_prep_lsp.Rmd","script","https://github.com/OHI-Science/ohibc/commit/050ba8f181f1a46f864780da17869dd146c8a62d","Casey O'Hara <ohara@nceas.ucsb.edu>","  Thu Nov 5 13:51:36 2015 -0800",TRUE,"System: Linux, Release: 3.2.0-88-generic. Machine: x86_64. User: ohara.","R version: R version 3.2.2 (2015-08-14), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu precise (12.04.5 LTS).","Attached base packages: stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: ggplot2_1.0.1, readr_0.1.1, stringr_1.0.0, tidyr_0.2.0, dplyr_0.4.1, cleangeo_0.1, raster_2.3-40, rgdal_1.0-6, rgeos_0.3-11, maptools_0.8-36, sp_1.1-1"
