term,estimate,std.error,statistic,p.value,goal,n_obs,years,r_sq,fn
(Intercept),83.48738676124955,25.4770729011701,3.2769614894580443,0.0014970906516075851,AO,96,16,0.5782158693268993,TRUE
cwb_score,-41.80443126330372,44.408374698014015,-0.9413636852864433,0.34906667240138045,AO,96,16,0.5782158693268993,TRUE
rgn_nameHaida Gwaii,11.332239136570326,4.312375013589201,2.6278417579315474,0.010119590152338402,AO,96,16,0.5782158693268993,TRUE
rgn_nameNorth Coast,21.929895410174186,2.5778414994730134,8.50707672083691,3.9279664216069785e-13,AO,96,16,0.5782158693268993,TRUE
rgn_nameNorth Vancouver Island,14.675627661038106,3.1646564080032507,4.6373526124113225,1.2046791720553425e-5,AO,96,16,0.5782158693268993,TRUE
rgn_nameStrait of Georgia,10.762253713886125,5.317363363930133,2.023983124209815,0.04597051120665453,AO,96,16,0.5782158693268993,TRUE
rgn_nameWest Vancouver Island,22.62147742489025,3.8037026825571796,5.9472254570859695,5.258560605368871e-8,AO,96,16,0.5782158693268993,TRUE
(Intercept),90.08782680660363,19.473441189965463,4.626189379051572,1.2581417252252032e-5,AO,96,16,0.5855465753588835,FALSE
cwb_score,-47.870958089018856,30.422384936611117,-1.5735438950221703,0.11914128352486153,AO,96,16,0.5855465753588835,FALSE
rgn_nameHaida Gwaii,11.014512399165032,3.044456614016288,3.6178910707597636,4.924451163201635e-4,AO,96,16,0.5855465753588835,FALSE
rgn_nameNorth Coast,29.875893005704455,4.990402192539155,5.98667038307455,4.425334021554451e-8,AO,96,16,0.5855465753588835,FALSE
rgn_nameNorth Vancouver Island,19.810848530669148,5.0953721134332435,3.888008194424228,1.9437483176569764e-4,AO,96,16,0.5855465753588835,FALSE
rgn_nameStrait of Georgia,15.49837151787215,6.30907445280339,2.456520624984155,0.015969894949401663,AO,96,16,0.5855465753588835,FALSE
rgn_nameWest Vancouver Island,29.64980322696454,6.675632204326286,4.441497422184127,2.5593447738278884e-5,AO,96,16,0.5855465753588835,FALSE
(Intercept),85.44203191774814,4.1250570373186735,20.71293345637865,8.417827158150642e-36,BD,96,16,0.8599898918042196,TRUE
cwb_score,12.141330024886027,7.190271789641654,1.6885773417323244,0.09480148307556438,BD,96,16,0.8599898918042196,TRUE
rgn_nameHaida Gwaii,-0.49950727075857776,0.6982274991467465,-0.7153932942615259,0.4762386595131901,BD,96,16,0.8599898918042196,TRUE
rgn_nameNorth Coast,-0.08162384863667263,0.4173848094615647,-0.19556018040514972,0.8454002191371455,BD,96,16,0.8599898918042196,TRUE
rgn_nameNorth Vancouver Island,0.008400831081692628,0.5123974891923274,0.01639514489997704,0.9869558512266394,BD,96,16,0.8599898918042196,TRUE
rgn_nameStrait of Georgia,-7.333549524030976,0.8609476940089572,-8.517996592664872,3.729257787377338e-13,BD,96,16,0.8599898918042196,TRUE
rgn_nameWest Vancouver Island,1.7523085021650073,0.6158670809404397,2.8452706052890533,0.005506230024693399,BD,96,16,0.8599898918042196,TRUE
(Intercept),78.06808039328406,2.849417875881054,27.397905043725824,3.761693388142494e-45,BD,96,16,0.8876402111968614,FALSE
cwb_score,22.45902839221724,4.451503286947712,5.045268293537946,2.375522375007853e-6,BD,96,16,0.8876402111968614,FALSE
rgn_nameHaida Gwaii,-0.9589374362701605,0.4454748913506079,-2.152618373984709,0.03405442262679701,BD,96,16,0.8876402111968614,FALSE
rgn_nameNorth Coast,-3.6307709647406146,0.7302120399030662,-4.972214598409786,3.1933564934695737e-6,BD,96,16,0.8876402111968614,FALSE
rgn_nameNorth Vancouver Island,-2.7576883164128074,0.7455715835044079,-3.6987572721734554,3.7444941606254976e-4,BD,96,16,0.8876402111968614,FALSE
rgn_nameStrait of Georgia,-10.358163690135536,0.923164496234286,-11.22027951940082,1.006088045930283e-18,BD,96,16,0.8876402111968614,FALSE
rgn_nameWest Vancouver Island,-2.048475797231695,0.9768004304044784,-2.0971282704937506,0.03881867649628613,BD,96,16,0.8876402111968614,FALSE
(Intercept),89.197989435728,0.8031886008486748,111.05484980922108,3.0451242084348333e-97,CW,96,16,0.9943896382797394,TRUE
cwb_score,-3.828923932973845,1.4000156328014988,-2.7349151275632426,0.007529663719506797,CW,96,16,0.9943896382797394,TRUE
rgn_nameHaida Gwaii,4.230151758438711,0.1359516639503912,31.115115736886416,1.3135682305245014e-49,CW,96,16,0.9943896382797394,TRUE
