term,estimate,std.error,statistic,p.value,goal,n_obs,years
(Intercept),-0.07634213769344618,0.04036705836097224,-1.8911989328222993,0.07394444549982673,TR,25,5
trend,-1.363094254371961,0.48482749274706055,-2.81150362709134,0.011140809655384595,TR,25,5
factor(year)2008,-0.013654424264949547,0.057087641407193204,-0.2391835418029558,0.8135243696527792,TR,25,5
factor(year)2009,0.05724597018706141,0.05708764140719317,1.0027734335482337,0.32857099238721743,TR,25,5
factor(year)2010,0.15686504199035772,0.05708764140719316,2.7477933598880897,0.012796031447754276,TR,25,5
factor(year)2011,-0.04149744156196928,0.08442543794833311,-0.49152770267374846,0.6286833947429806,TR,25,5
(Intercept),-0.07634213769344618,0.04036705836097224,-1.8911989328222993,0.07394444549982673,TR,25,5
trend,-1.363094254371961,0.48482749274706055,-2.81150362709134,0.011140809655384595,TR,25,5
factor(year)2008,-0.013654424264949547,0.057087641407193204,-0.2391835418029558,0.8135243696527792,TR,25,5
factor(year)2009,0.05724597018706141,0.05708764140719317,1.0027734335482337,0.32857099238721743,TR,25,5
factor(year)2010,0.15686504199035772,0.05708764140719316,2.7477933598880897,0.012796031447754276,TR,25,5
factor(year)2011,-0.04149744156196928,0.08442543794833311,-0.49152770267374846,0.6286833947429806,TR,25,5
