goal,yr_lag,r_squared,(Intercept),pressures,res_ecol,res_nonreg,res_reg,res_soc,trend
AO,1,0.1136,-0.22875 (0.9772),-1.15064* (0.4936),0.6093 (1.1669),NA,0.0224 (0.1042),0.06057 (0.2714),-0.30242* (0.0941)
AO,2,0.1117,-0.57175 (1.0575),-1.16416* (0.5386),0.88849 (1.2577),NA,0.01229 (0.1155),0.23673 (0.3006),-0.2446* (0.0998)
AO,3,0.2789,-0.78438 (1.0528),-1.75585* (0.5382),1.29272 (1.244),NA,0.06493 (0.1184),0.24714 (0.3072),-0.3558** (0.0984)
AO,4,0.3101,-0.445 (1.1772),-2.01721* (0.6259),0.84875 (1.3868),NA,0.18414 (0.1388),0.31582 (0.3514),-0.43441** (0.1088)
AO,5,0.3697,-0.72092 (1.0851),-1.85982* (0.6018),1.07325 (1.2689),NA,0.11211 (0.1414),0.42701 (0.3338),-0.45436*** (0.0972)
AO,6,0.522,-0.93848 (1.2427),-1.86039* (0.7351),1.12583 (1.4312),NA,0.18832 (0.1773),0.62229 (0.3996),-0.76645*** (0.1103)
CPP,1,0.7785,-0.00027 (6e-04),-0.00124 (0.0012),NA,0.00065 (8e-04),0.00017 (5e-04),NA,0.18575*** (0.0122)
CPP,2,0.7506,-0.00067 (0.0014),-0.00298 (0.0025),NA,0.00158 (0.0017),4e-04 (0.001),NA,0.35539*** (0.0264)
CPP,3,0.7155,-0.00124 (0.0023),-0.00529 (0.0043),NA,0.0029 (0.0029),7e-04 (0.0017),NA,0.51001*** (0.0438)
CPP,4,0.6802,-0.00178 (0.0034),-0.00693 (0.0064),NA,0.00399 (0.0043),0.00091 (0.0026),NA,0.63955*** (0.0639)
CPP,5,0.6583,-0.00205 (0.0046),-0.00676 (0.0087),NA,0.00432 (0.006),0.00082 (0.0036),NA,0.74827*** (0.085)
CPP,6,0.674,-0.00216 (0.0057),-0.00543 (0.0106),NA,0.00434 (0.0078),0.00033 (0.0048),NA,0.86715*** (0.1033)
CSS,1,0.7704,1e-05 (2e-04),-0.00017 (3e-04),NA,2e-05 (2e-04),2e-05 (1e-04),NA,0.14127*** (0.0094)
CSS,2,0.762,-2e-05 (3e-04),-5e-04 (6e-04),NA,0.00014 (4e-04),6e-05 (2e-04),NA,0.2746*** (0.0195)
CSS,3,0.7531,-0.00013 (5e-04),-0.00106 (9e-04),NA,0.00042 (7e-04),0.00013 (4e-04),NA,0.40284*** (0.0308)
CSS,4,0.7425,-0.00025 (8e-04),-0.00161 (0.0013),NA,0.00073 (0.001),0.00019 (6e-04),NA,0.51802*** (0.0432)
CSS,5,0.7462,-0.00032 (0.001),-0.0019 (0.0017),NA,0.00093 (0.0013),0.00016 (8e-04),NA,0.62166*** (0.0549)
CSS,6,0.7813,-0.00032 (0.0012),-0.00182 (0.002),NA,0.00102 (0.0016),0 (0.001),NA,0.72332*** (0.0625)
CW,1,0.0948,-0.00549 (0.0077),0.01839 (0.0113),NA,0.00307 (0.0048),-0.00416 (0.0077),NA,-0.29187* (0.0871)
CW,2,0.1196,-0.00565 (0.0088),0.02631* (0.0127),NA,0.00307 (0.0054),-0.00799 (0.0094),NA,-0.3501* (0.1028)
CW,3,0.075,-0.00275 (0.01),0.02629. (0.0138),NA,0.00111 (0.006),-0.01057 (0.0112),NA,-0.30723* (0.116)
CW,4,0.104,0.00273 (0.0103),0.02309. (0.0128),NA,-0.00069 (0.0057),-0.01602 (0.0128),NA,-0.31518* (0.1044)
