geo_code,csd_name,characteristic,income_type,year,value
5909014,Fraser Valley A,Total - Household type including census family structure,Median total income of households ($),2016,31552
5909016,Fraser Valley B,Total - Household type including census family structure,Median total income of households ($),2016,45824
5909020,Chilliwack,Total - Household type including census family structure,Median total income of households ($),2016,67800
5909027,Harrison Hot Springs,Total - Household type including census family structure,Median total income of households ($),2016,56875
5909032,Kent,Total - Household type including census family structure,Median total income of households ($),2016,62272
5909034,Fraser Valley D,Total - Household type including census family structure,Median total income of households ($),2016,92160
5909035,Fraser Valley H,Total - Household type including census family structure,Median total income of households ($),2016,61525
5909036,Fraser Valley E,Total - Household type including census family structure,Median total income of households ($),2016,55744
5909048,Fraser Valley C,Total - Household type including census family structure,Median total income of households ($),2016,61824
5909052,Abbotsford,Total - Household type including census family structure,Median total income of households ($),2016,72511
5909056,Mission,Total - Household type including census family structure,Median total income of households ($),2016,78159
5909060,Fraser Valley F,Total - Household type including census family structure,Median total income of households ($),2016,63680
5909062,Fraser Valley G,Total - Household type including census family structure,Median total income of households ($),2016,56192
5909807,Ohamil 1,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909821,Kwawkwawapilt 6,Total - Household type including census family structure,Median total income of households ($),2016,35968
5909824,Skwah 4,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909826,Skway 5,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909827,Soowahlie 14,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909830,Tzeachten 13,Total - Household type including census family structure,Median total income of households ($),2016,55782
5909831,Yakweakwioose 12,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909832,Seabird Island,Total - Household type including census family structure,Median total income of households ($),2016,36352
5909837,Cheam 1,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909839,Chehalis 5,Total - Household type including census family structure,Median total income of households ($),2016,51328
5909842,Douglas 8,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909845,Skookumchuck 4,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909875,Q'alatkú7em,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909877,Upper Sumas 6,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909878,Matsqui Main 2,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909879,Holachten 8,Total - Household type including census family structure,Median total income of households ($),2016,38784
5909880,Lakahahmen 11,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909881,Skweahm 10,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909882,Squawkum Creek 3,Total - Household type including census family structure,Median total income of households ($),2016,NA
5909884,Skowkale,Total - Household type including census family structure,Median total income of households ($),2016,52864
5909885,Squiaala,Total - Household type including census family structure,Median total income of households ($),2016,NA
5915001,Langley,Total - Household type including census family structure,Median total income of households ($),2016,90594
5915002,Langley,Total - Household type including census family structure,Median total income of households ($),2016,59452
5915004,Surrey,Total - Household type including census family structure,Median total income of households ($),2016,77494
5915007,White Rock,Total - Household type including census family structure,Median total income of households ($),2016,62344
5915011,Delta,Total - Household type including census family structure,Median total income of households ($),2016,92300
5915015,Richmond,Total - Household type including census family structure,Median total income of households ($),2016,65241
5915020,Greater Vancouver A,Total - Household type including census family structure,Median total income of households ($),2016,46322
5915022,Vancouver,Total - Household type including census family structure,Median total income of households ($),2016,65327
5915025,Burnaby,Total - Household type including census family structure,Median total income of households ($),2016,64737
5915029,New Westminster,Total - Household type including census family structure,Median total income of households ($),2016,64695
5915034,Coquitlam,Total - Household type including census family structure,Median total income of households ($),2016,74383
5915036,Belcarra,Total - Household type including census family structure,Median total income of households ($),2016,128256
