geo_code,csd_name,topic,characteristic,total,year
5901003,ELKFORD,Income in 2000,Median total income of persons 15 years of age and over ($),39986,2001
5901003,ELKFORD,Labour Force Indicators,Employment rate,63.5,2001
5901003,ELKFORD,Labour Force Indicators,Unemployment rate,6.6,2001
5901006,SPARWOOD,Income in 2000,Median total income of persons 15 years of age and over ($),23613,2001
5901006,SPARWOOD,Labour Force Indicators,Employment rate,62.5,2001
5901006,SPARWOOD,Labour Force Indicators,Unemployment rate,10.1,2001
5901012,FERNIE,Income in 2000,Median total income of persons 15 years of age and over ($),20277,2001
5901012,FERNIE,Labour Force Indicators,Employment rate,63.7,2001
5901012,FERNIE,Labour Force Indicators,Unemployment rate,9.8,2001
5901017,EAST KOOTENAY A,Income in 2000,Median total income of persons 15 years of age and over ($),23975,2001
5901017,EAST KOOTENAY A,Labour Force Indicators,Employment rate,65.1,2001
5901017,EAST KOOTENAY A,Labour Force Indicators,Unemployment rate,10.9,2001
5901019,EAST KOOTENAY B,Income in 2000,Median total income of persons 15 years of age and over ($),17632,2001
5901019,EAST KOOTENAY B,Labour Force Indicators,Employment rate,55.6,2001
5901019,EAST KOOTENAY B,Labour Force Indicators,Unemployment rate,12.4,2001
5901022,CRANBROOK,Income in 2000,Median total income of persons 15 years of age and over ($),20532,2001
5901022,CRANBROOK,Labour Force Indicators,Employment rate,56.9,2001
5901022,CRANBROOK,Labour Force Indicators,Unemployment rate,10.7,2001
5901028,KIMBERLEY,Income in 2000,Median total income of persons 15 years of age and over ($),23449,2001
5901028,KIMBERLEY,Labour Force Indicators,Employment rate,54.1,2001
5901028,KIMBERLEY,Labour Force Indicators,Unemployment rate,10.3,2001
5901035,EAST KOOTENAY C,Income in 2000,Median total income of persons 15 years of age and over ($),22775,2001
5901035,EAST KOOTENAY C,Labour Force Indicators,Employment rate,62,2001
5901035,EAST KOOTENAY C,Labour Force Indicators,Unemployment rate,9.1,2001
5901037,EAST KOOTENAY E,Income in 2000,Median total income of persons 15 years of age and over ($),22490,2001
5901037,EAST KOOTENAY E,Labour Force Indicators,Employment rate,62.3,2001
5901037,EAST KOOTENAY E,Labour Force Indicators,Unemployment rate,7.5,2001
