layer,target,target_element,dimension
po_chemical,AO,salmon,pressure
po_chemical,AO,fn_licenses,pressure
po_chemical,FIS,NA,pressure
po_chemical,SPP,NA,pressure
po_chemical_3nm,AO,shellfish_closures,pressure
po_chemical_3nm,AO,herring_spawn,pressure
po_chemical_3nm,CP,salt_marsh,pressure
po_chemical_3nm,CS,coastal_forest,pressure
po_chemical_3nm,CS,salt_marsh,pressure
po_chemical_3nm,CW,NA,pressure
po_chemical_3nm,HAB,salt_marsh,pressure
po_chemical_3nm,HAB,soft_bottom,pressure
po_chemical_3nm,HAB,ebsa,pressure
po_chemical_3nm,ICO,NA,pressure
po_chemical_3nm,LSP,NA,pressure
po_chemical_3nm,MAR,NA,pressure
po_chemical_3nm,TR,NA,pressure
po_pathogen,AO,shellfish_closures,pressure
po_pathogen,AO,herring_spawn,pressure
po_pathogen,CW,NA,pressure
po_pathogen,MAR,NA,pressure
po_pathogen,TR,NA,pressure
po_nutrient,AO,salmon,pressure
po_nutrient,AO,fn_licenses,pressure
po_nutrient,FIS,NA,pressure
po_nutrient,SPP,NA,pressure
po_nutrient_3nm,AO,shellfish_closures,pressure
po_nutrient_3nm,AO,herring_spawn,pressure
po_nutrient_3nm,CP,salt_marsh,pressure
po_nutrient_3nm,CS,coastal_forest,pressure
po_nutrient_3nm,CS,salt_marsh,pressure
po_nutrient_3nm,CW,NA,pressure
po_nutrient_3nm,HAB,salt_marsh,pressure
po_nutrient_3nm,HAB,soft_bottom,pressure
po_nutrient_3nm,HAB,ebsa,pressure
po_nutrient_3nm,ICO,NA,pressure
po_nutrient_3nm,LSP,NA,pressure
po_nutrient_3nm,MAR,NA,pressure
po_nutrient_3nm,TR,NA,pressure
po_trash,CW,NA,pressure
po_trash,ICO,NA,pressure
po_trash,LSP,NA,pressure
po_trash,SPP,NA,pressure
po_trash,TR,NA,pressure
sp_alien,AO,salmon,pressure
sp_alien,AO,fn_licenses,pressure
sp_alien,CP,salt_marsh,pressure
sp_alien,CS,salt_marsh,pressure
sp_alien,FIS,NA,pressure
sp_alien,HAB,salt_marsh,pressure
sp_alien,HAB,soft_bottom,pressure
sp_alien,HAB,ebsa,pressure
sp_alien,ICO,NA,pressure
sp_alien,LSP,NA,pressure
sp_alien,SPP,NA,pressure
sp_genetic,AO,salmon,pressure
sp_genetic,AO,fn_licenses,pressure
sp_genetic,FIS,NA,pressure
sp_genetic,SPP,NA,pressure
sp_hatcheries,AO,salmon,pressure
hd_subtidal_sb,AO,salmon,pressure
hd_subtidal_sb,AO,fn_licenses,pressure
hd_subtidal_sb,FIS,NA,pressure
hd_subtidal_sb,HAB,soft_bottom,pressure
hd_subtidal_sb,HAB,ebsa,pressure
hd_subtidal_sb,SPP,NA,pressure
hd_intertidal,AO,salmon,pressure
hd_intertidal,AO,fn_licenses,pressure
hd_intertidal,CP,coastal_forest,pressure
hd_intertidal,CP,salt_marsh,pressure
hd_intertidal,CS,coastal_forest,pressure
hd_intertidal,CS,salt_marsh,pressure
hd_intertidal,FIS,NA,pressure
hd_intertidal,HAB,salt_marsh,pressure
hd_intertidal,ICO,NA,pressure
hd_intertidal,LSP,NA,pressure
hd_intertidal,SPP,NA,pressure
hd_logging,CP,coastal_forest,pressure
hd_logging,CP,salt_marsh,pressure
hd_logging,CS,coastal_forest,pressure
hd_logging,CS,salt_marsh,pressure
hd_logging,CW,NA,pressure
hd_logging,HAB,salt_marsh,pressure
hd_logging,LSP,NA,pressure
hd_logging,TR,NA,pressure
hd_mining,CP,coastal_forest,pressure
hd_mining,CP,salt_marsh,pressure
hd_mining,CS,coastal_forest,pressure
hd_mining,CS,salt_marsh,pressure
hd_mining,CW,NA,pressure
hd_mining,HAB,salt_marsh,pressure
hd_mining,HAB,soft_bottom,pressure
hd_mining,LSP,NA,pressure
hd_mining,TR,NA,pressure
fp_com_hb,AO,salmon,pressure
fp_com_hb,AO,fn_licenses,pressure
fp_com_hb,AO,herring_spawn,pressure
fp_com_hb,FIS,NA,pressure
fp_com_hb,HAB,soft_bottom,pressure
fp_com_hb,ICO,NA,pressure
fp_com_hb,SPP,NA,pressure
fp_com_lb,AO,salmon,pressure
fp_com_lb,AO,fn_licenses,pressure
fp_com_lb,FIS,NA,pressure
fp_com_lb,HAB,soft_bottom,pressure
fp_com_lb,SPP,NA,pressure
fp_art_lb,AO,salmon,pressure
fp_art_lb,AO,fn_licenses,pressure
fp_art_lb,FIS,NA,pressure
fp_art_lb,HAB,soft_bottom,pressure
fp_art_lb,SPP,NA,pressure
fp_art_hb,AO,salmon,pressure
fp_art_hb,AO,fn_licenses,pressure
fp_art_hb,FIS,NA,pressure
fp_art_hb,ICO,NA,pressure
fp_art_hb,SPP,NA,pressure
fp_targetharvest,ICO,NA,pressure
fp_targetharvest,SPP,NA,pressure
cc_sst,AO,shellfish_closures,pressure
cc_sst,AO,salmon,pressure
cc_sst,AO,fn_licenses,pressure
cc_sst,AO,herring_spawn,pressure
cc_sst,FIS,NA,pressure
cc_sst,ICO,NA,pressure
cc_sst,MAR,NA,pressure
cc_sst,SPP,NA,pressure
cc_acid,AO,shellfish_closures,pressure
cc_acid,ICO,NA,pressure
cc_acid,MAR,NA,pressure
cc_acid,SPP,NA,pressure
cc_uv,SPP,NA,pressure
cc_slr,AO,shellfish_closures,pressure
cc_slr,AO,herring_spawn,pressure
cc_slr,CP,coastal_forest,pressure
cc_slr,CP,salt_marsh,pressure
cc_slr,CS,coastal_forest,pressure
cc_slr,CS,salt_marsh,pressure
cc_slr,HAB,salt_marsh,pressure
cc_slr,LSP,NA,pressure
cc_slr,MAR,NA,pressure
cc_slr,TR,NA,pressure
ss_cwbi_all,CP,coastal_forest,pressure
ss_cwbi_all,CP,salt_marsh,pressure
ss_cwbi_all,CS,coastal_forest,pressure
ss_cwbi_all,CS,salt_marsh,pressure
ss_cwbi_all,CW,NA,pressure
ss_cwbi_all,ECO,NA,pressure
ss_cwbi_all,FIS,NA,pressure
ss_cwbi_all,HAB,salt_marsh,pressure
ss_cwbi_all,HAB,soft_bottom,pressure
ss_cwbi_all,HAB,ebsa,pressure
ss_cwbi_all,ICO,NA,pressure
ss_cwbi_all,LSP,NA,pressure
ss_cwbi_all,MAR,NA,pressure
ss_cwbi_all,SPP,NA,pressure
ss_cwbi_all,TR,NA,pressure
ss_cwbi_fn,AO,shellfish_closures,pressure
ss_cwbi_fn,AO,salmon,pressure
ss_cwbi_fn,AO,fn_licenses,pressure
ss_cwbi_fn,AO,herring_spawn,pressure
po_water,CP,salt_marsh,resilience
po_water,CS,salt_marsh,resilience
po_water,CW,NA,resilience
po_water,HAB,salt_marsh,resilience
po_water,HAB,ebsa,resilience
po_water,HAB,soft_bottom,resilience
po_water,ICO,NA,resilience
po_water,SPP,NA,resilience
po_water,LSP,NA,resilience
po_water,MAR,NA,resilience
po_water,TR,NA,resilience
hd_mpa_coast,AO,shellfish_closures,resilience
hd_mpa_coast,AO,salmon,resilience
hd_mpa_coast,AO,fn_licenses,resilience
hd_mpa_coast,AO,herring_spawn,resilience
hd_mpa_coast,CP,coastal_forest,resilience
hd_mpa_coast,CP,salt_marsh,resilience
hd_mpa_coast,CS,coastal_forest,resilience
hd_mpa_coast,CS,salt_marsh,resilience
hd_mpa_coast,HAB,coastal_forest,resilience
hd_mpa_coast,HAB,salt_marsh,resilience
hd_mpa_eez,FIS,NA,resilience
hd_mpa_eez,HAB,ebsa,resilience
hd_mpa_eez,HAB,soft_bottom,resilience
hd_mpa_eez,ICO,NA,resilience
hd_mpa_eez,SPP,NA,resilience
hd_habitat,AO,shellfish_closures,resilience
hd_habitat,AO,salmon,resilience
hd_habitat,AO,fn_licenses,resilience
hd_habitat,AO,herring_spawn,resilience
hd_habitat,CP,coastal_forest,resilience
hd_habitat,CP,salt_marsh,resilience
hd_habitat,CS,coastal_forest,resilience
hd_habitat,CS,salt_marsh,resilience
hd_habitat,FIS,NA,resilience
hd_habitat,HAB,coastal_forest,resilience
hd_habitat,HAB,salt_marsh,resilience
hd_habitat,HAB,ebsa,resilience
hd_habitat,HAB,soft_bottom,resilience
hd_habitat,ICO,NA,resilience
hd_habitat,SPP,NA,resilience
hd_habitat,LSP,NA,resilience
fp_mpa_coast,AO,shellfish_closures,resilience
fp_mpa_coast,AO,salmon,resilience
fp_mpa_coast,AO,fn_licenses,resilience
fp_mpa_coast,AO,herring_spawn,resilience
fp_mpa_eez,FIS,NA,resilience
fp_mpa_eez,HAB,ebsa,resilience
fp_mpa_eez,HAB,soft_bottom,resilience
fp_mpa_eez,ICO,NA,resilience
fp_mpa_eez,SPP,NA,resilience
fp_habitat,AO,shellfish_closures,resilience
fp_habitat,AO,salmon,resilience
fp_habitat,AO,fn_licenses,resilience
fp_habitat,AO,herring_spawn,resilience
fp_habitat,FIS,NA,resilience
fp_habitat,HAB,ebsa,resilience
fp_habitat,HAB,soft_bottom,resilience
fp_habitat,ICO,NA,resilience
fp_habitat,SPP,NA,resilience
fp_mora,AO,shellfish_closures,resilience
fp_mora,AO,salmon,resilience
fp_mora,AO,fn_licenses,resilience
fp_mora,AO,herring_spawn,resilience
fp_mora,FIS,NA,resilience
fp_mora,HAB,ebsa,resilience
fp_mora,HAB,soft_bottom,resilience
fp_mora,ICO,NA,resilience
fp_mora,SPP,NA,resilience
fp_mora_artisanal,FIS,NA,resilience
fp_mora_artisanal,ICO,NA,resilience
fp_mora_artisanal,SPP,NA,resilience
g_tourism,HAB,coastal_forest,resilience
g_tourism,HAB,salt_marsh,resilience
g_tourism,HAB,ebsa,resilience
g_tourism,HAB,soft_bottom,resilience
g_tourism,SPP,NA,resilience
g_mariculture,HAB,coastal_forest,resilience
g_mariculture,HAB,salt_marsh,resilience
g_mariculture,HAB,ebsa,resilience
g_mariculture,HAB,soft_bottom,resilience
g_mariculture,SPP,NA,resilience
g_mariculture,MAR,NA,resilience
g_msi_gov,MAR,NA,resilience
g_cites,ICO,NA,resilience
g_cites,SPP,NA,resilience
species_diversity_3nm,AO,shellfish_closures,resilience
species_diversity_3nm,AO,salmon,resilience
species_diversity_3nm,AO,fn_licenses,resilience
species_diversity_3nm,AO,herring_spawn,resilience
species_diversity_3nm,HAB,coastal_forest,resilience
species_diversity_3nm,HAB,salt_marsh,resilience
species_diversity_eez,FIS,NA,resilience
species_diversity_eez,HAB,ebsa,resilience
species_diversity_eez,HAB,soft_bottom,resilience
species_diversity_eez,ICO,NA,resilience
cwbi_all,CP,coastal_forest,resilience
cwbi_all,CP,salt_marsh,resilience
cwbi_all,CS,coastal_forest,resilience
cwbi_all,CS,salt_marsh,resilience
cwbi_all,CW,NA,resilience
cwbi_all,ECO,NA,resilience
cwbi_all,FIS,NA,resilience
cwbi_all,HAB,coastal_forest,resilience
cwbi_all,HAB,salt_marsh,resilience
cwbi_all,HAB,ebsa,resilience
cwbi_all,HAB,soft_bottom,resilience
cwbi_all,ICO,NA,resilience
cwbi_all,SPP,NA,resilience
cwbi_all,LIV,NA,resilience
cwbi_all,LSP,NA,resilience
cwbi_all,MAR,NA,resilience
cwbi_all,TR,NA,resilience
cwbi_fn,AO,shellfish_closures,resilience
cwbi_fn,AO,salmon,resilience
cwbi_fn,AO,fn_licenses,resilience
cwbi_fn,AO,herring_spawn,resilience
ao_closures,AO,NA,status
ao_licenses,AO,NA,status
ao_licenses_fn_pop,AO,NA,status
ao_salmon,AO,NA,status
ao_spawn_hab_index,AO,NA,status
cp_cf_health,CP,NA,status
cp_sm_health,CP,NA,status
fis_ram_b_bmsy,FIS,NA,status
fis_ram_f_fmsy,FIS,NA,status
fis_ram_catch,FIS,NA,status
fis_stock_area,FIS,NA,status
fp_wildcaught_weight,FP,NA,status
hab_cf_health,CS,NA,status
hab_cf_health,CP,NA,status
hab_ebsa_health,HAB,NA,status
hab_sb_health,HAB,NA,status
hab_sm_health,HAB,NA,status
hab_sm_health,CS,NA,status
hab_sm_health,CP,NA,status
ico_spp_risk_score,ICO,NA,status
ico_spp_trend,ICO,NA,status
ico_spp_presence,ICO,NA,status
liv_income,LIV,NA,status
liv_unemployment,LIV,NA,status
lsp_prot_area_inland_ws,LSP,NA,status
lsp_prot_area_offshore3nm,LSP,NA,status
lsp_tot_area_inland_ws,LSP,NA,status
lsp_tot_area_offshore3nm,LSP,NA,status
mar_harvest_tonnes,MAR,NA,status
mar_tenure_areas,MAR,NA,status
mar_potential,MAR,NA,status
po_chemical_3nm,CW,NA,status
po_nutrient_3nm,CW,NA,status
po_pathogen,CW,NA,status
po_trash,CW,NA,status
rgn_areas,spatial,NA,status
rgn_labels,spatial,NA,status
spp_risk_scores,SPP,NA,status
spp_pop_trends,SPP,NA,status
spp_range_areas,SPP,NA,status
tr_vis_ctr_visits,TR,NA,status
tr_vis_ctr_visits_all,TR,NA,status
tr_park_visits,TR,NA,status
tr_park_visits_all,TR,NA,status
