layer,dir_prep,fn_data,ingest,name_data_fld,targets,name,units,description
ao_closures,ohibc:prep/ao/v2017/output,ao_closures.csv,TRUE,days_avg,AO,Shellfish closure days area-weighted by region as a proxy for access to shellfish gardens,,
ao_licenses,ohibc:prep/ao/v2017/output,ao_licenses.csv,TRUE,n_fn,AO,Commercial fishing licenses total and proportion allocated to First Nations as a measure of access to commercial fisheries,,
ao_salmon,ohibc:prep/ao/v2017/output,ao_salmon.csv,TRUE,days_avg,AO,Salmon stock health as a proxy for access to salmon for FSC purposes,,
ao_spawn_hab_index,ohibc:prep/ao/v2017/output,ao_spawn_hab_index.csv,TRUE,shi_tot,AO,Herring spawn habitat index as a proxy for opportunity to collect herring spawn,,
cc_acid,ohibc:calc_ohibc/master/dummy_layers,cc_acid_gl2016.csv,TRUE,pressure_score,pressure,Ocean acidification,scaled 0-1,Ocean acidification pressure scaled using biological thresholds
cc_slr,ohibc:calc_ohibc/master/dummy_layers,cc_slr_gl2016.csv,TRUE,pressure_score,pressure,Sea level rise,scaled 0-1,Sea level rise pressure
cc_sst,ohibc:calc_ohibc/master/dummy_layers,cc_sst_gl2016.csv,TRUE,pressure_score,pressure,Sea surface temperature anomolies,scaled 0-1,Sea surface temperature anomolies
cc_uv,ohibc:calc_ohibc/master/dummy_layers,cc_uv_gl2016.csv,TRUE,pressure_score,pressure,UV radiation pressure,scaled 0-1,Modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.
cp_cf_health,ohibc:prep/hab_cs_cp/v2017/output,cp_cf_exposure.csv,TRUE,cf_expos_area_tot,CP,Exposure-weighted coastal forest habitat condition,proportion,Current condition of coastal forest habitat relative to historical condition weighted by exposure
cp_sm_health,ohibc:prep/hab_cs_cp/v2017/output,cp_sm_exposure.csv,TRUE,sm_expos_area_tot,CP,Exposure-weighted salt marsh habitat condition,proportion,Current condition of salt marsh habitat relative to historical condition weighted by exposure
cw_chemical_trend,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,CW,Chemical pollution trend,trend,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use"
cw_nutrient_trend,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,CW,Nutrient pollution trend,trend,Modeled data based on fertilizer consumption as a proxy for nutrient pollution
cw_pathogen_trend,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,CW,Pathogen pollution trend,trend,Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution
cw_trash_trend,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,CW,Plastic trash trends,trend,Trends in trash estimated using improperly disposed of plastics
element_wts_cp_km2_x_protection,ohibc:calc_ohibc/master/dummy_layers,element_wts_cp_km2_x_protection_gl2016.csv,TRUE,extent_rank,pressure resilience,Coastal protection weights,extent*rank,"Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass"
element_wts_cs_km2_x_storage,ohibc:calc_ohibc/master/dummy_layers,element_wts_cs_km2_x_storage_gl2016.csv,TRUE,extent_rank,pressure resilience,Carbon storage weights,extent*storage,"Habitat extent multiplied by carbon storage capacity for:  mangrove (offshore and inland 1km), saltmarsh, and sea ice"
element_wts_hab_pres_abs,ohibc:calc_ohibc/master/dummy_layers,element_wts_hab_pres_abs_gl2016.csv,TRUE,boolean,pressure resilience,Habitat weights,boolean,List of habitats in each region
fis_ram_b_bmsy,ohibc:prep/fis/v2017/output,ram_b_bmsy.csv,TRUE,value,FIS,B/Bmsy estimates obtained using RAM data,B/Bmsy,The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield
fis_ram_f_fmsy,ohibc:prep/fis/v2017/output,ram_f_fmsy.csv,TRUE,value,FIS,F/Fmsy estimates obtained using RAM data,F/Fmsy,The ratio of fishery harvest relative to the fishery harvest at maximum sustainable yield
fis_ram_catch,ohibc:prep/fis/v2017/output,ram_catch.csv,TRUE,value,FIS,Catch estimates obtained using RAM data,tonnes,Estimate of total annual catch for a given fishery
fis_stock_wt_dfo,ohibc:prep/fis/v2017/output,rgn_stock_wt_dfo.csv,TRUE,catch_wt,FIS,Catch weighting of RAM stocks between OHIBC regions per DFO data,proportion,Spatialized catch weighting of total catch of RAM stock across OHIBC regions according to DFO-reported catch
fis_stock_wt_saup,ohibc:prep/fis/v2017/output,rgn_stock_wt_saup.csv,TRUE,catch_wt,FIS,Catch weighting of RAM stocks between OHIBC regions per SAUP data,proportion,Spatialized catch weighting of total catch of RAM stock across OHIBC regions according to SAUP-reported catch
fis_stock_wt_src,ohibc:prep/fis/v2017/raw,ram_dfo_saup_lookup.csv,TRUE,priority,FIS,Lookup table of RAM stock to spatial distribution data,NA,Lookup table of RAM stock to preferred spatial data source (DFO data or SAUP data)
fp_art_hb,ohibc:calc_ohibc/master/dummy_layers,fp_art_hb_gl2016placeholder.csv,TRUE,pressure_score,pressure,High bycatch due to artisanal fishing,scaled 0-1,The presence of destructive artisanal blast and poison (cyanide) fishing.
fp_art_lb,ohibc:calc_ohibc/master/dummy_layers,fp_art_lb_gl2016.csv,TRUE,pressure_score,pressure,Low bycatch due to artisanal fishing,scaled 0-1,"Extent of artisanal fishing (including: artisanal, subsistence, and recreational catch)"
fp_com_hb,ohibc:calc_ohibc/master/dummy_layers,fp_com_hb_gl2016.csv,TRUE,pressure_score,pressure,High bycatch due to commercial fishing,scaled 0-1,Modeled destructive commercial fishing practices by 5 gear types and scaled by Net Primary Productivity
fp_com_lb,ohibc:calc_ohibc/master/dummy_layers,fp_com_lb_gl2016.csv,TRUE,pressure_score,pressure,Low bycatch due to commercial fishing,scaled 0-1,Modeled destructive commercial fishing practices by 2 gear types and scaled by Net Primary Productivity
fp_habitat,ohibc:calc_ohibc/master/dummy_layers,fp_habitat_gl2016.csv,TRUE,resilience_score,resilience,Management and protection of habitat to preserve biodiversity (fisheries),scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions
fp_mora,ohibc:calc_ohibc/master/dummy_layers,fp_mora_gl2016.csv,TRUE,value,resilience,Commercial fishing management,scaled 0-1,Regulations and management of commerical fishing
fp_mora_artisanal,ohibc:calc_ohibc/master/dummy_layers,fp_mora_artisanal_gl2016.csv,TRUE,value,resilience,Artisanal fisheries management effectiveness and opportunity,scaled 0-1,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector
fp_mpa_coast,ohibc:calc_ohibc/master/dummy_layers,fp_mpa_coast_gl2016.csv,TRUE,resilience_score,resilience,Coastal protected marine areas to protect fishery resources,scaled 0-1,Protected marine areas within 3nm of coastline (lasting special places goal calculated for coastal zone)
fp_mpa_eez,ohibc:calc_ohibc/master/dummy_layers,fp_mpa_eez_gl2016.csv,TRUE,resilience_score,resilience,EEZ protected marine areas to protect fishery resources,scaled 0-1,Protected marine areas within EEZ to protect fishery resource (lasting special places goal results)
fp_targetharvest,ohibc:calc_ohibc/master/dummy_layers,fp_targetharvest_gl2016.csv,TRUE,pressure_score,pressure,Targeted harvest of cetaceans and marine turtles,scaled 0-1,Targeted harvest of cetaceans and marine turtles
fp_wildcaught_weight,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,FP,Food provision weights,proportion,Proportion of wild caught fisheries to mariculture
g_cites,ohibc:calc_ohibc/master/dummy_layers,g_cites_gl2016.csv,TRUE,resilience_score,resilience,CITES signatories,scaled 0-1,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories
g_mariculture,ohibc:calc_ohibc/master/dummy_layers,g_mariculture_gl2016.csv,TRUE,resilience_score,resilience,Management of mariculture practices to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: mariculture related questions
g_msi_gov,ohibc:calc_ohibc/master/dummy_layers,g_msi_gov_gl2016.csv,TRUE,resilience_score,resilience,Mariculture Sustainability Index,scaled 0-1,Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)
g_tourism,ohibc:calc_ohibc/master/dummy_layers,g_tourism_gl2016.csv,TRUE,resilience_score,resilience,Management of tourism to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions
hab_cf_health,ohibc:prep/hab_cs_cp/v2017/output,hab_cf_area.csv,TRUE,cf_area_km2,HAB CS,Coastal forest habitat condition,proportion,Current condition of coastal forest habitat relative to historical condition
hab_ebsa_health,ohibc:prep/hab_cs_cp/v2017/output,hab_ebsa_trawl.csv,TRUE,trawled_area,HAB CP CS,EBSA habitat condition,trawled area,Current condition of EBSA habitat based on trawled area
hab_extent,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,HAB CP CS,Habitat extent,km2,"Area of habitats: mangrove, saltmarsh, seagrass, soft-bottom, seaice, coral"
hab_sb_health,ohibc:prep/hab_cs_cp/v2017/output,hab_soft_btm_trawl.csv,TRUE,mean_hr_area,HAB CP CS,Soft Bottom habitat condition,proportion,Current condition of soft bottom habitat based on trawl effort
hab_sm_health,ohibc:prep/hab_cs_cp/v2017/output,hab_sm_area.csv,TRUE,sm_area_km2,HAB CS,Salt marsh habitat condition,proportion,Current condition of salt marsh habitat relative to historical condition
hab_trend,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,HAB CP CS,Habitat condition trend,trend,Estimated change in habitat condition during most recent 5 years
hd_habitat,ohibc:calc_ohibc/master/dummy_layers,hd_habitat_gl2016.csv,TRUE,resilience_score,pressure,Management and protection of habitat to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions
hd_intertidal,ohibc:calc_ohibc/master/dummy_layers,hd_intertidal_gl2016.csv,FALSE,pressure_score,pressure,Intertidal habitat destruction,scaled 0-1,Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction
hd_mpa_coast,ohibc:calc_ohibc/master/dummy_layers,hd_mpa_coast_gl2016.csv,TRUE,resilience_score,resilience,Coastal protected marine areas to protect against habitat destruction,scaled 0-1,Protected marine areas within 3nm of coastline (lasting special places goal status score)
hd_mpa_eez,ohibc:calc_ohibc/master/dummy_layers,hd_mpa_eez_gl2016.csv,TRUE,resilience_score,resilience,Protected marine areas within EEZ to protect against habitat destruction,scaled 0-1,Protected marine areas within EEZ (lasting special places status score for entire EEZ)
