am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score
Fis-116901,155077,am,Lycenchelys monstrosa,0,NA,NA
Fis-120470,154969,am,Kuronezumia bubonis,0,NA,NA
Fis-123736,170341,iucn,Thunnus orientalis,0.4,NA,-0.5
Fis-126093,15148566,am,Conocara salmoneum,0,NA,NA
Fis-13152,13462250,am,Guentherus altivela,0,NA,NA
Fis-131582,196058,am,Myxine hubbsi,0,NA,NA
Fis-131850,161452,am,Amblyraja badia,0,NA,NA
Fis-131852,63119,am,Amblyraja hyperborea,0,NA,NA
Fis-132165,60469264,am,Bassozetus levistomatus,0,NA,NA
Fis-133251,170306,iucn,Scomber colias,0,NA,0
Fis-136946,194997,am,Arctozenus risso,0,NA,NA
Fis-139531,42830260,am,Dolopichthys allector,0,NA,NA
Fis-139713,60482562,am,Phyllorhinichthys micractis,0,NA,NA
Fis-139729,190485,am,Melanolagus bericoides,0,NA,NA
Fis-143777,155009,am,Pseudobathylagus milleri,0,NA,NA
Fis-149461,155320,am,Nannobrachium gibbsi,0,NA,NA
Fis-150167,60483137,am,Regalecus russelii,0,NA,NA
Fis-156254,NA,am,Oncorhynchus clarkii,0.2,0.2,NA
Fis-168166,60482374,am,Pentherichthys atratus,0,NA,NA
Fis-20033,161731,am,Pteroplatytrygon violacea,0,NA,NA
Fis-21631,170352,iucn,Sarda chiliensis,0,NA,-0.5
Fis-22747,4292,am,Cetorhinus maximus,0.4,NA,-0.5
Fis-22777,170310,iucn,Katsuwonus pelamis,0,NA,0
Fis-22832,21856,iucn,Thunnus alalunga,0.2,NA,-0.5
Fis-22836,21859,iucn,Thunnus obesus,0.4,NA,-0.5
Fis-22897,155030,am,Macroramphosus scolopax,0,NA,NA
Fis-22908,183411,am,Merluccius productus,0,NA,NA
Fis-22915,NA,am,Oncorhynchus gorbuscha,0,0,NA
Fis-22916,NA,am,Oncorhynchus keta,0,0,NA
Fis-22917,NA,am,Oncorhynchus kisutch,0.2,0.2,NA
Fis-22919,NA,am,Oncorhynchus mykiss,0,0,NA
Fis-22920,135301,am,Oncorhynchus nerka,0.2,0.2,0
Fis-22921,NA,am,Oncorhynchus tshawytscha,0.2,0.2,NA
Fis-22922,202413,am,Osmerus mordax,0,NA,NA
Fis-22963,202415,am,Thaleichthys pacificus,0.5,0.5,NA
Fis-22970,183729,am,Trachurus symmetricus,0,NA,NA
Fis-23071,3855,am,Carcharodon carcharias,0.4,NA,NA
Fis-23129,39378,am,Galeocerdo cuvier,0.2,NA,NA
Fis-23135,154755,am,Genyonemus lineatus,0.2,NA,-0.5
Fis-23157,10030,am,Hexanchus griseus,0.2,NA,NA
Fis-23192,190452,am,Naucrates ductor,0,NA,0
Fis-23215,183337,am,Peprilus simillimus,0,NA,NA
Fis-23222,39381,am,Prionace glauca,0.2,NA,NA
Fis-23277,39388,am,Sphyrna zygaena,0.4,NA,-0.5
Fis-23454,190133,am,Cyclothone microdon,0,NA,0
Fis-23454,194902,am,Cyclothone microdon,0,NA,NA
Fis-23484,198615,am,Electrona risso,0,NA,NA
Fis-23580,195038,am,Lampris guttatus,0,NA,NA
Fis-23605,190425,am,Lobianchia gemellarii,0,NA,NA
Fis-23637,198628,am,Microstoma microstoma,0,NA,NA
Fis-23639,190422,am,Mola mola,0.4,NA,-0.5
Fis-23759,198651,am,Remora remora,0,NA,0
Fis-23888,198758,am,Vinciguerria attenuata,0,NA,NA
Fis-23893,190346,am,Zu cristatus,0,NA,NA
