am_sid,am_category,reviewed,sciname,name_verified,iucn_sid,iucn_category,popn_trend,parent_sid,subpop_sid,popn_category,info_source,spp_group,id_no,iucn_subpop,presence,spatial_source,category_score,trend_score,status_gl,status_pr,status_gl_score,status_pr_score,iucn_score
Fis-22975,NA,1,Ablennes hians,TRUE,13486514,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-28205,LC,null,Abudefduf concolor,TRUE,183483,LC,Unknown,NA,NA,LC,iucn,DAMSELFISH,183483,NA,1,iucn,0,NA,NA,NA,NA,NA,0
Fis-136667,LC,null,Abudefduf declivifrons,TRUE,183460,LC,Unknown,NA,NA,LC,iucn,DAMSELFISH,183460,NA,1,iucn,0,NA,NA,NA,NA,NA,0
Fis-28218,NA,1,Abudefduf luridus,TRUE,188419,LC,Unknown,NA,NA,LC,iucn,DAMSELFISH,188419,NA,1,iucn,0,NA,NA,NA,NA,NA,0
Fis-23318,NA,1,Abudefduf saxatilis,TRUE,188581,LC,Stable,NA,NA,LC,iucn,DAMSELFISH,188581,NA,1,iucn,0,0,NA,NA,NA,NA,0
Fis-23319,NA,null,Abudefduf taurus,TRUE,188434,LC,Stable,NA,NA,LC,iucn,DAMSELFISH,188434,NA,1,iucn,0,0,NA,NA,NA,NA,0
Fis-26922,LC,1,Abudefduf troschelii,TRUE,183397,LC,Unknown,NA,NA,LC,iucn,DAMSELFISH,183397,NA,1,iucn,0,NA,NA,NA,NA,NA,0
Fis-50764,NA,1,Abyssobrotula galatheae,TRUE,60469175,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-24397,NA,null,Acanthemblemaria aspera,TRUE,46104116,LC,Stable,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,0,NA,NA,NA,NA,0
Fis-113559,LC,null,Acanthemblemaria balanorum,TRUE,183400,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-58221,VU,null,Acanthemblemaria castroi,TRUE,183873,VU,Unknown,NA,NA,VU,iucn,NA,NA,NA,NA,am,0.4,NA,NA,NA,NA,NA,0.4
Fis-113560,LC,null,Acanthemblemaria crockeri,TRUE,183505,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-113577,LC,null,Acanthemblemaria exilispinus,TRUE,183629,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-113583,LC,null,Acanthemblemaria hancocki,TRUE,183841,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-113583,LC,null,Acanthemblemaria hancocki,TRUE,183219,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-113588,LC,null,Acanthemblemaria macrospilus,TRUE,183219,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-49730,NA,null,Acanthemblemaria maria,TRUE,47141570,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-49731,NA,null,Acanthemblemaria spinosa,TRUE,47141736,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-29237,LC,null,Acanthistius ocellatus,TRUE,155326,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-131546,NA,null,Acanthochaenus luetkenii,TRUE,190341,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
Fis-26619,LC,null,Acantholabrus palloni,TRUE,186106,LC,Unknown,NA,NA,LC,iucn,WRASSE,186106,NA,1,iucn,0,NA,NA,NA,NA,NA,0
Fis-33095,NA,null,Acanthonus armatus,TRUE,190201,LC,Unknown,NA,NA,LC,iucn,NA,NA,NA,NA,am,0,NA,NA,NA,NA,NA,0
