am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score,cat_ts,cat_txt,cat_ts_score,year
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1965.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1966.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1967.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1968.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1969.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1970.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1971.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1972.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1973.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1974.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1975.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1976.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1977.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1978.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1979.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1980.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1981.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1982.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1983.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1984.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1985.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1986.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1987.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1988.0
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0.0,VU,Vulnerable,0.4,1989.0
