layer,category,subcategory
po_chemical,ecological,pollution
po_chemical_3nm,ecological,pollution
po_pathogen,ecological,pollution
po_nutrient,ecological,pollution
po_nutrient_3nm,ecological,pollution
po_trash,ecological,pollution
sp_alien,ecological,alien_species
sp_genetic,ecological,alien_species
sp_hatcheries,ecological,alien_species
hd_subtidal_sb,ecological,habitat_destruction
hd_intertidal,ecological,habitat_destruction
hd_logging,ecological,habitat_destruction
hd_mining,ecological,habitat_destruction
fp_com_hb,ecological,fishing_pressure
fp_com_lb,ecological,fishing_pressure
fp_art_lb,ecological,fishing_pressure
cc_sst,ecological,climate_change
cc_acid,ecological,climate_change
cc_uv,ecological,climate_change
cc_slr,ecological,climate_change
ss_cwbi_all,social,social
ss_cwbi_fn,social,social
