year,rgn_id,non_fn_mean_unempl
1996,1,12.54
1997,1,12.872
1998,1,13.203999999999999
1999,1,13.536
2000,1,13.867999999999999
2001,1,14.2
2002,1,13.556
2003,1,12.911999999999999
2004,1,12.268
2005,1,11.624
2006,1,10.98
2007,1,10.946
2008,1,10.912
2009,1,10.878
2010,1,10.844000000000001
2011,1,10.81
2012,1,10.908000000000001
2013,1,11.006
2014,1,11.104000000000001
2015,1,11.202
2016,1,11.3
1996,2,6.97
1997,2,7.279999999999999
1998,2,7.59
1999,2,7.8999999999999995
2000,2,8.209999999999999
2001,2,8.52
2002,2,8.682
2003,2,8.844
2004,2,9.006
2005,2,9.168
2006,2,9.33
2007,2,8.942
2008,2,8.554
2009,2,8.166
2010,2,7.778
2011,2,7.39
2012,2,7.287999999999999
2013,2,7.186
2014,2,7.084
2015,2,6.982
2016,2,6.88
2001,3,10.96
2002,3,11.842
2003,3,12.724
2004,3,13.606
2005,3,14.488
2006,3,15.37
2007,3,13.042
2008,3,10.713999999999999
2009,3,8.386
2010,3,6.058
2011,3,3.73
2012,3,3.9619999999999997
2013,3,4.194
2014,3,4.426
2015,3,4.6579999999999995
2016,3,4.89
1996,4,10
1997,4,10.262
1998,4,10.524000000000001
1999,4,10.786
2000,4,11.048
2001,4,11.31
2002,4,10.834
2003,4,10.358
2004,4,9.882
2005,4,9.405999999999999
2006,4,8.93
2007,4,8.994
2008,4,9.058
2009,4,9.122
2010,4,9.186
2011,4,9.25
2012,4,9.368
2013,4,9.486
2014,4,9.604
2015,4,9.722
2016,4,9.84
1996,5,8.34
1997,5,8.204
1998,5,8.068
1999,5,7.932
2000,5,7.796
2001,5,7.66
2002,5,7.0760000000000005
2003,5,6.492
2004,5,5.908
2005,5,5.324
2006,5,4.74
2007,5,5.08
2008,5,5.42
2009,5,5.76
2010,5,6.1000000000000005
2011,5,6.44
2012,5,6.36
2013,5,6.28
2014,5,6.2
2015,5,6.12
2016,5,6.04
1996,6,8.85
1997,6,8.604
1998,6,8.358
1999,6,8.112
2000,6,7.866
2001,6,7.62
2002,6,7.21
2003,6,6.8
2004,6,6.390000000000001
2005,6,5.98
2006,6,5.57
2007,6,5.908
2008,6,6.246
2009,6,6.584
2010,6,6.922
2011,6,7.26
2012,6,7.014
2013,6,6.768
2014,6,6.522
2015,6,6.276
2016,6,6.03
