year,rgn_id,non_fn_pop
2001,1,37741
2002,1,43686
2003,1,49631
2004,1,55576
2005,1,61521
2006,1,67466
2007,1,86301.8
2008,1,105137.6
2009,1,123973.4
2010,1,142809.2
2011,1,161645
2012,1,136041.2
2013,1,110437.4
2014,1,84833.6
2015,1,59229.79999999999
2016,1,33626
2001,2,1442
2002,2,2084.8
2003,2,2727.6000000000004
2004,2,3370.3999999999996
2005,2,4013.2000000000003
2006,2,4656
2007,2,4389.2
2008,2,4122.4
2009,2,3855.6
2010,2,3588.8
2011,2,3322
2012,2,3055.2
2013,2,2788.4
2014,2,2521.6
2015,2,2254.7999999999997
2016,2,1988
2001,4,25096
2002,4,30080.6
2003,4,35065.2
2004,4,40049.8
2005,4,45034.4
2006,4,50019
2007,4,65149.8
2008,4,80280.6
2009,4,95411.4
2010,4,110542.20000000001
2011,4,125673
2012,4,105903.4
2013,4,86133.79999999999
2014,4,66364.20000000001
2015,4,46594.59999999999
2016,4,26825
2001,5,269927
2002,5,329543.8
2003,5,389160.6
2004,5,448777.4
2005,5,508394.2
2006,5,568011
2007,5,745327.8
2008,5,922644.6000000001
2009,5,1099961.4
2010,5,1277278.2000000002
2011,5,1454595
2012,5,1226409.2
2013,5,998223.3999999999
2014,5,770037.6
2015,5,541851.7999999999
2016,5,313666
2001,6,2469746
2002,6,3030878
2003,6,3592010
2004,6,4153142
2005,6,4714274
2006,6,5275406
2007,6,7087156.8
2008,6,8898907.6
2009,6,10710658.399999999
2010,6,12522409.2
2011,6,14334160
2012,6,12079666.6
2013,6,9825173.2
2014,6,7570679.8
2015,6,5316186.4
2016,6,3061693
