year,rgn_id,fn_mean_unempl
2001,1,39.55
2002,1,40.153999999999996
2003,1,40.757999999999996
2004,1,41.362
2005,1,41.966
2006,1,42.57
2007,1,39.542
2008,1,36.513999999999996
2009,1,33.486000000000004
2010,1,30.458
2011,1,27.43
2012,1,27.08
2013,1,26.73
2014,1,26.38
2015,1,26.03
2016,1,25.68
2001,2,19.4
2002,2,20.299999999999997
2003,2,21.2
2004,2,22.099999999999998
2005,2,23
2006,2,23.9
2007,2,21.526
2008,2,19.151999999999997
2009,2,16.778
2010,2,14.403999999999998
2011,2,12.03
2012,2,12.516
2013,2,13.002
2014,2,13.488
2015,2,13.974
2016,2,14.46
2001,3,26.17
2002,3,24.756
2003,3,23.342000000000002
2004,3,21.928
2005,3,20.514000000000003
2006,3,19.1
2007,3,18.716
2008,3,18.332
2009,3,17.948
2010,3,17.564
2011,3,17.18
2012,3,17.584
2013,3,17.988
2014,3,18.392
2015,3,18.796
2016,3,19.2
2001,4,28.64
2002,4,28.248
2003,4,27.856
2004,4,27.464
2005,4,27.072
2006,4,26.68
2007,4,25.714
2008,4,24.748
2009,4,23.782
2010,4,22.816000000000003
2011,4,21.85
2012,4,21.404
2013,4,20.958000000000002
2014,4,20.512
2015,4,20.066000000000003
2016,4,19.62
2001,5,17.06
2002,5,16.872
2003,5,16.684
2004,5,16.496
2005,5,16.308
2006,5,16.12
2007,5,17.042
2008,5,17.964000000000002
2009,5,18.886
2010,5,19.808
2011,5,20.73
2012,5,19.566
2013,5,18.402
2014,5,17.238
2015,5,16.073999999999998
2016,5,14.91
2001,6,18.33
2002,6,18.034
2003,6,17.738
2004,6,17.442
2005,6,17.146
2006,6,16.85
2007,6,17.400000000000002
2008,6,17.950000000000003
2009,6,18.5
2010,6,19.05
2011,6,19.6
2012,6,18.556
2013,6,17.512
2014,6,16.468
2015,6,15.424
2016,6,14.38
