year,rgn_id,med_adj_income
1996,1,36370.44
1997,1,36601.36
1998,1,36832.27
1999,1,37063.18
2000,1,37294.1
2001,1,37525.01
2002,1,36322.47
2003,1,35119.94
2004,1,33917.4
2005,1,32714.86
2006,1,31512.33
2007,1,33021.76
2008,1,34531.19
2009,1,36040.62
2010,1,37550.05
2011,1,39059.48
2012,1,40741.05
2013,1,42422.63
2014,1,44104.2
2015,1,45785.77
2016,1,47467.34
1996,2,45345.94
1997,2,44914.47
1998,2,44483.01
1999,2,44051.54
2000,2,43620.08
2001,2,43188.61
2002,2,42109.74
2003,2,41030.87
2004,2,39952
2005,2,38873.13
2006,2,37794.26
2007,2,36906.31
2008,2,36018.36
2009,2,35130.41
2010,2,34242.46
2011,2,33354.51
2012,2,34922.71
2013,2,36490.9
2014,2,38059.1
2015,2,39627.3
2016,2,41195.5
1996,3,40489.82
1997,3,40761.51
1998,3,41033.2
1999,3,41304.88
2000,3,41576.57
2001,3,41848.26
2002,3,40930.11
2003,3,40011.97
2004,3,39093.83
2005,3,38175.69
2006,3,37257.54
2007,3,36701.1
2008,3,36144.66
2009,3,35588.22
2010,3,35031.79
2011,3,34475.35
2012,3,37533.07
2013,3,40590.8
2014,3,43648.52
2015,3,46706.25
2016,3,49763.97
1996,4,31919.06
1997,4,33707.09
1998,4,35495.13
1999,4,37283.17
2000,4,39071.21
2001,4,40859.25
2002,4,39767.41
2003,4,38675.57
2004,4,37583.74
2005,4,36491.9
2006,4,35400.06
2007,4,35798.91
2008,4,36197.76
2009,4,36596.6
2010,4,36995.45
2011,4,37394.29
2012,4,39338.51
2013,4,41282.73
2014,4,43226.95
2015,4,45171.17
2016,4,47115.39
1996,5,46846.88
1997,5,46147.57
1998,5,45448.27
1999,5,44748.96
2000,5,44049.66
2001,5,43350.35
2002,5,41779.35
2003,5,40208.35
2004,5,38637.36
2005,5,37066.36
2006,5,35495.36
2007,5,38086.72
2008,5,40678.08
2009,5,43269.43
2010,5,45860.79
2011,5,48452.15
2012,5,47472.19
2013,5,46492.23
2014,5,45512.27
2015,5,44532.31
2016,5,43552.35
1996,6,44974.12
1997,6,45724.37
1998,6,46474.61
1999,6,47224.86
2000,6,47975.11
2001,6,48725.36
2002,6,47755.14
2003,6,46784.93
2004,6,45814.71
2005,6,44844.5
2006,6,43874.29
2007,6,43931.14
2008,6,43987.99
2009,6,44044.84
2010,6,44101.69
2011,6,44158.54
2012,6,45312.21
2013,6,46465.88
2014,6,47619.55
2015,6,48773.23
2016,6,49926.9
