year,rgn_id,fn_pop
2001,1,10414
2002,1,10288
2003,1,10162
2004,1,10036
2005,1,9910
2006,1,9784
2007,1,9446.8
2008,1,9109.6
2009,1,8772.4
2010,1,8435.2
2011,1,8098
2001,2,3493
2002,2,3291.2
2003,2,3089.4
2004,2,2887.6
2005,2,2685.8
2006,2,2484
2007,2,2251.8
2008,2,2019.6
2009,2,1787.4
2010,2,1555.1999999999998
2011,2,1323
2001,3,4022
2002,3,3905.4
2003,3,3788.8
2004,3,3672.2
2005,3,3555.6
2006,3,3439
2007,3,3307.8
2008,3,3176.6
2009,3,3045.4
2010,3,2914.2
2011,3,2783
2001,4,7528
2002,4,7486.4
2003,4,7444.8
2004,4,7403.2
2005,4,7361.6
2006,4,7320
2007,4,7000.6
2008,4,6681.2
2009,4,6361.8
2010,4,6042.4
2011,4,5723
2001,5,17787
2002,5,17943.8
2003,5,18100.6
2004,5,18257.4
2005,5,18414.2
2006,5,18571
2007,5,18074.2
2008,5,17577.4
2009,5,17080.6
2010,5,16583.8
2011,5,16087
2001,6,164348
2002,6,166511.2
2003,6,168674.4
2004,6,170837.6
2005,6,173000.8
2006,6,175164
2007,6,174495.4
2008,6,173826.8
2009,6,173158.2
2010,6,172489.6
2011,6,171821
