lic_area,desc,lic_area_orig,desc_orig
BC COAST WIDE All British Columbia coastal areas.,areas 1 to 142,BC COAST WIDE All British Columbia coastal areas.,All British Columbia coastal areas.
BC COAST WIDE,areas 1 to 142,BC COAST WIDE All British Columbia coastal areas.,All British Columbia coastal areas.
NA,NA,NA,NA
BC Interior,"DFO Organizational area established in 2001. Includes that portion of management areas 29 above the Sawmill Creek confluence with the Fraser River, and the watersheds which drain into this area portion.",BC Interior,"DFO Organizational area established in 2001. Includes that portion of management areas 29 above the Sawmill Creek confluence with the Fraser River, and the watersheds which drain into this area portion."
CLAM AREA A,North Coast - Subarea 1-5 and that portion of Subarea 102-1 inside a line drawn from Rose Point south to Fife Point.,CLAM AREA A,North Coast - Subarea 1-5 and that portion of Subarea 102-1 inside a line drawn from Rose Point south to Fife Point.
CLAM AREA B,Johnstone Strait - Area 13 and all intertidal zones surrounding Cortes Island and Twin Islands in Subareas 15-3 and 15-5.,CLAM AREA B,Johnstone Strait - Area 13 and all intertidal zones surrounding Cortes Island and Twin Islands in Subareas 15-3 and 15-5.
CLAM AREA C,"Sunshine Coast - Areas 15 (excluding intertidal zones surrounding Cortes Island and Twin Islands), Area 16 (excluding Subareas 16-19 and 16-20), Area 28 and Subarea 29-1.",CLAM AREA C,"Sunshine Coast - Areas 15 (excluding intertidal zones surrounding Cortes Island and Twin Islands), Area 16 (excluding Subareas 16-19 and 16-20), Area 28 and Subarea 29-1."
CLAM AREA D,Upper Strait of Georgia - Area 14 and Subareas 16-19 and 16-20.,CLAM AREA D,Upper Strait of Georgia - Area 14 and Subareas 16-19 and 16-20.
CLAM AREA E,"Lower Strait of Georgia - Areas 17, 18, 19, 20 and Subareas 29-4 and 29-5.",CLAM AREA E,"Lower Strait of Georgia - Areas 17, 18, 19, 20 and Subareas 29-4 and 29-5."
CLAM AREA F,West Coast of Vancouver Island - Areas 23 to 27.,CLAM AREA F,West Coast of Vancouver Island - Areas 23 to 27.
