rgn_name,rgn_id,assessid,stockid,area_km2,a_prop
West Vancouver Island,5,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,22419.614,0.17767
Strait of Georgia,6,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,8024.813,0.0636
North Coast,1,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,16869.771,0.13369
Haida Gwaii,2,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,40254.033,0.31901
Central Coast,3,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,20205.284,0.16013
North Vancouver Island,4,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,12617.02,0.09999
Aristazabal Island,8,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,3181.527,0.02521
Pacific Offshore,7,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,2611.813,0.0207
West Vancouver Island,5,DFO-EULAPCOASTFRDU-1900-2012-WATSON,EULAPCOASTFRDU,704.163,0.30129
Strait of Georgia,6,DFO-EULAPCOASTFRDU-1900-2012-WATSON,EULAPCOASTFRDU,1632.973,0.69871
Central Coast,3,DFO-HERRCC-1951-2015-WATSON,HERRCC,3304.069,0.92544
Aristazabal Island,8,DFO-HERRCC-1951-2015-WATSON,HERRCC,266.186,0.07456
North Coast,1,DFO-HERRPRD-1951-2015-WATSON,HERRPRD,5172.044,1
Haida Gwaii,2,DFO-HERRQCI-1951-2015-WATSON,HERRQCI,1520.403,1
West Vancouver Island,5,DFO-HERRSOG-1951-2015-WATSON,HERRSOG,1413.171,0.11482
Strait of Georgia,6,DFO-HERRSOG-1951-2015-WATSON,HERRSOG,7282.666,0.59171
North Vancouver Island,4,DFO-HERRSOG-1951-2015-WATSON,HERRSOG,3611.964,0.29347
West Vancouver Island,5,DFO-HERRWCVANI-1951-2015-WATSON,HERRWCVANI,25845.526,0.14573
North Vancouver Island,4,DFO-HERRWCVANI-1951-2015-WATSON,HERRWCVANI,3817.328,0.02152
Pacific Offshore,7,DFO-HERRWCVANI-1951-2015-WATSON,HERRWCVANI,147691.781,0.83275
West Vancouver Island,5,DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD,BIGSKA3CD,25845.526,0.14573
North Vancouver Island,4,DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD,BIGSKA3CD,3817.328,0.02152
Pacific Offshore,7,DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD,BIGSKA3CD,147691.781,0.83275
West Vancouver Island,5,DFO-PAC-BIGSKA4B-1996-2011-OSGOOD,BIGSKA4B,1413.171,0.11482
Strait of Georgia,6,DFO-PAC-BIGSKA4B-1996-2011-OSGOOD,BIGSKA4B,7282.666,0.59171
North Vancouver Island,4,DFO-PAC-BIGSKA4B-1996-2011-OSGOOD,BIGSKA4B,3611.964,0.29347
Haida Gwaii,2,DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,8688.437,0.08005
Central Coast,3,DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,17283.416,0.15924
North Vancouver Island,4,DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,5317.24,0.04899
Aristazabal Island,8,DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,83.206,7.7e-4
Pacific Offshore,7,DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,77166.98,0.71096
North Coast,1,DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,16289.563,0.1152
Haida Gwaii,2,DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,36463.267,0.25786
Central Coast,3,DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,2218.376,0.01569
Aristazabal Island,8,DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,3063.401,0.02166
Pacific Offshore,7,DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,83371.474,0.58959
West Vancouver Island,5,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,22419.614,0.17767
Strait of Georgia,6,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,8024.813,0.0636
North Coast,1,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,16869.771,0.13369
Haida Gwaii,2,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,40254.033,0.31901
Central Coast,3,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,20205.284,0.16013
North Vancouver Island,4,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,12617.02,0.09999
Aristazabal Island,8,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,3181.527,0.02521
Pacific Offshore,7,DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,2611.813,0.0207
North Coast,1,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,16289.563,0.1152
Haida Gwaii,2,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,36463.267,0.25786
Central Coast,3,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,2218.376,0.01569
Aristazabal Island,8,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,3063.401,0.02166
Pacific Offshore,7,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,83371.474,0.58959
West Vancouver Island,5,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,1413.171,0.11482
Strait of Georgia,6,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,7282.666,0.59171
North Vancouver Island,4,DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,3611.964,0.29347
West Vancouver Island,5,DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD,LNOSESKA3CD,25845.526,0.14573
North Vancouver Island,4,DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD,LNOSESKA3CD,3817.328,0.02152
Pacific Offshore,7,DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD,LNOSESKA3CD,147691.781,0.83275
West Vancouver Island,5,DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD,LNOSESKA4B,1413.171,0.11482
Strait of Georgia,6,DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD,LNOSESKA4B,7282.666,0.59171
North Vancouver Island,4,DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD,LNOSESKA4B,3611.964,0.29347
Haida Gwaii,2,DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,LNOSESKA5AB,8688.437,0.08005
Central Coast,3,DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,LNOSESKA5AB,17283.416,0.15924
North Vancouver Island,4,DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,LNOSESKA5AB,5317.24,0.04899
Aristazabal Island,8,DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,LNOSESKA5AB,83.206,7.7e-4
Pacific Offshore,7,DFO-PAC-LNOSESKA5AB-1954-2012-OSGOOD,LNOSESKA5AB,77166.98,0.71096
North Coast,1,DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,LNOSESKA5CDE,16289.563,0.1152
Haida Gwaii,2,DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,LNOSESKA5CDE,36463.267,0.25786
Central Coast,3,DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,LNOSESKA5CDE,2218.376,0.01569
Aristazabal Island,8,DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,LNOSESKA5CDE,3063.401,0.02166
Pacific Offshore,7,DFO-PAC-LNOSESKA5CDE-1954-2011-OSGOOD,LNOSESKA5CDE,83371.474,0.58959
Haida Gwaii,2,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,8688.437,0.08005
Central Coast,3,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,17283.416,0.15924
North Vancouver Island,4,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,5317.24,0.04899
Aristazabal Island,8,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,83.206,7.7e-4
Pacific Offshore,7,DFO-PAC-PCOD5AB-1945-2014-OSGOOD,PCOD5AB,77166.98,0.71096
North Coast,1,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,16289.563,0.1152
Haida Gwaii,2,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,36463.267,0.25786
Central Coast,3,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,2218.376,0.01569
Aristazabal Island,8,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,3063.401,0.02166
Pacific Offshore,7,DFO-PAC-PCODHS-1944-2014-OSGOOD,PCODHS,83371.474,0.58959
West Vancouver Island,5,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,25845.526,0.14573
North Vancouver Island,4,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,3817.328,0.02152
