year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_avg
1998,90.9,91.0,91.1,91.0,91.3,91.4,91.4,91.4,91.2,91.6,91.6,91.3,91.3
1999,91.5,91.6,92.0,92.5,92.7,92.9,93.1,93.3,93.6,93.7,93.6,93.7,92.9
2000,93.5,94.1,94.8,94.5,94.9,95.5,95.8,95.7,96.1,96.3,96.6,96.7,95.4
2001,96.3,96.8,97.1,97.8,98.6,98.7,98.4,98.4,98.6,98.1,97.2,97.4,97.8
2002,97.6,98.2,98.9,99.5,99.7,99.9,100.5,100.9,100.9,101.2,101.5,101.1,100.0
2003,102.0,102.8,103.1,102.4,102.5,102.5,102.6,102.9,103.1,102.8,103.1,103.2,102.8
2004,103.3,103.5,103.9,104.1,105.0,105.1,105.0,104.8,105.0,105.2,105.6,105.4,104.7
2005,105.3,105.7,106.3,106.6,106.7,106.9,107.1,107.5,108.4,107.9,107.7,107.6,107.0
2006,108.2,108.0,108.6,109.2,109.7,109.5,109.6,109.8,109.2,109.0,109.2,109.4,109.1
2007,109.4,110.2,111.1,111.6,112.1,111.9,112.0,111.7,111.9,111.6,111.9,112.0,111.5
2008,111.8,112.2,112.6,113.5,114.6,115.4,115.8,115.6,115.7,114.5,114.1,113.3,114.1
2009,113.0,113.8,114.0,113.9,114.7,115.1,114.7,114.7,114.7,114.6,115.2,114.8,114.4
2010,115.1,115.6,115.6,116.0,116.3,116.2,116.8,116.7,116.9,117.4,117.5,117.5,116.5
2011,117.8,118.1,119.4,119.8,120.6,119.8,120.0,120.3,120.6,120.8,120.9,120.2,119.9
2012,120.7,121.2,121.7,122.2,122.1,121.6,121.5,121.8,122.0,122.2,121.9,121.2,121.7
2013,121.3,122.7,122.9,122.7,123.0,123.0,123.1,123.1,123.3,123.0,123.0,122.7,122.8
2014,123.1,124.1,124.8,125.2,125.8,125.9,125.7,125.7,125.8,125.9,125.4,124.5,125.2
2015,124.3,125.4,126.3,126.2,126.9,127.2,127.3,127.3,127.1,127.2,127.1,126.5,126.6
2016,126.8,127.1,127.9,128.3,128.8,129.1,128.9,128.7,128.8,129.1,128.6,128.4,128.4
