ecoregion_code,n_spp,pressure_sum,ecoregion
20002,1,0.9085602964160697,North and East Iceland
20003,1,0.520020955762976,East Greenland Shelf
20004,1,0.520020955762976,West Greenland Shelf
20005,2,1.270020955762976,Northern Grand Banks - Southern Labrador
20006,1,0.520020955762976,Northern Labrador
20008,1,0.9085602964160697,Hudson Complex
20012,3,1.6035533905932737,Beaufort Sea - continental coast and shelf
20013,1,0.75,Chukchi Sea
20018,1,0.5723571212766659,North and East Barents Sea
20019,1,0.8660254037844386,White Sea
20020,3,2.14970603733275,South and West Iceland
20021,11,7.264008280978654,Faroe Plateau
20022,11,8.653445888401802,Southern Norway
20023,3,2.2746179436768355,Northern Norway and Finnmark
20024,46,32.69463000216516,Baltic Sea
20025,77,52.346010834413526,North Sea
20026,51,35.150504241070045,Celtic Seas
20027,43,30.388866582641644,South European Atlantic Shelf
20028,9,6.143740143516029,Saharan Upwelling
20029,21,13.434397192826005,Azores Canaries Madeira
20030,38,28.435491899292014,Adriatic Sea
20037,8,5.292793092086732,Gulf of St. Lawrence - Eastern Scotian Shelf
20038,6,4.111535369186439,Southern Grand Banks - South Newfoundland
20039,11,7.691313615354539,Scotian Shelf
20041,50,29.420007031176958,Virginian
20043,31,19.11733263743951,Northern Gulf of Mexico
20044,23,14.537972651505843,Black Sea
20045,2,1.4085602964160697,Sea of Okhotsk
20047,2,0.7937005259840997,Oyashio Current
20048,8,4.186035037673195,Northeastern Honshu
20049,10,5.140249605453157,Sea of Japan
20050,8,3.856280010815638,Yellow Sea
20051,19,10.708059069484161,Central Kuroshio Current
20052,11,5.571304134077953,East China Sea
20053,4,1.9168712187550259,Aleutian Islands
20054,17,10.951051900338397,Gulf of Alaska
20060,12,6.92504894806066,Cortezian
20061,12,7.150869132490628,Magdalena Transition
20062,5,1.9616928037769368,Bermuda
20063,5,2.699056158579906,Bahamian
20064,10,5.863887113649341,Eastern Caribbean
20065,14,8.476433147628182,Greater Antilles
20066,16,9.831234066207369,Southern Caribbean
20067,12,7.496865051605983,Southwestern Caribbean
20068,9,5.910650360889771,Western Caribbean
20069,11,6.3695526523768375,Southern Gulf of Mexico
20070,45,25.25936546117156,Floridian
20071,4,2.511526017024165,Guianan
20072,3,1.214115783170126,Amazonia
20073,1,0.3535533905932738,Sao Pedro and Sao Paulo Islands
20074,4,2.148242587085646,Fernando de Naronha and Atoll das Rocas
20075,7,3.656737101201522,Northeastern Brazil
20076,6,3.0425444391694785,Eastern Brazil
20079,1,0.6299605249474366,Cape Verde
20082,4,2.7809241493947496,Gulf of Guinea Upwelling
20083,3,2.2809241493947496,Gulf of Guinea Central
20084,2,1.3978389335003225,Gulf of Guinea Islands
20087,7,3.4896299839135274,Northern and Central Red Sea
20088,4,2.352292600163143,Southern Red Sea
20089,2,1.6509636244473131,Gulf of Aden
20090,3,1.5828944677925585,Arabian (Persian) Gulf
20091,3,1.808995727764367,Gulf of Oman
20092,4,2.0912295533527328,Western Arabian Sea
20093,3,1.9009636244473131,Central Somali Coast
20094,5,2.9582096306047707,Northern Monsoon Current Coast
20095,5,2.9737243993093028,East African Coral Coast
20096,2,1.5637456449682938,Seychelles
20097,1,0.6551853485522241,Cargados Carajos/Tromelin Island
20098,4,2.2306671607758806,Mascarene Islands
20099,2,1.2223320752157063,Southeast Madagascar
20100,2,1.2223320752157063,Western & Northern Madagascar
20101,3,1.5758854658089803,Bight of Sofala/Swamp Coast
20102,2,0.9835139155407104,Delagoa
20103,7,3.2839196551277694,Western India
20104,8,4.228647834968015,South India and Sri Lanka
20105,2,1.0754818122236567,Maldives
20106,2,1.0754818122236567,Chagos
20107,6,2.6531660227443585,Eastern India
20108,3,1.6478389335003225,Northern Bay of Bengal
