Species.ID,Ecol.Imp.Score,Ecol.Imp.Docu,Ecol.Imp.Sources,Ecol.Imp.Text,Scope.Score,Scope.Docu,Scope.Distribution,Scope.Sources,Scope.Text,Inv.Potl.Score,Inv.Potl.Docu,Inv.Potl.Established,Inv.Potl.Sources,Inv.Potl.Text,Mgt.Diff.Score,Mgt.Diff.Docu,Mgt.Diff.Sources,Mgt.Diff.Text
283,3,COMP PR/RE,"Ref006, Ref073","Detrimental habitat modification and effects on fishing industry.
B. schlosseri can overgrow other attached, filter-feeding organisms and compete with them for food. It is a nuisance fouler on boat hulls and equipment, and can overgrow and compete with cultured oysters and mussels and increase processing costs for these shellfish.",4,COMP PR/RE,Regionally pervasive,Ref006,Found in ecoregions across the world.,1,RE,No,Ref073,"A fouling organism requiring assisted transport to expand alien range. Oyster aquaculture, hull fouling, most common forms of transport. Ballast unlikely because larvae spend less than a day in plankton before settling, but colonies possibly carried on bits of floating debris in ballast. Eckman (1953) suggested bicoastal appearances may be due to transoceanic drift on seaweed.",3,PR,Ref035,"May be removed, but eradication unlikely."
284,1,COMP PR/RE,"Ref006, Ref009","Fouling of ship's bottoms and other substratum - nuisance, Fouling organism; ecological impact thus far unstudied, but spatial competition with native species is likely. It is the source of a novel chemical, bryostatin, which has been shown been effective against leukemia.",4,COMP PR/RE,Locally patchy,"Ref006, Ref009",Pervasive in North America and Eastern Asia,1,COMP PR/RE,No,Ref073,"A fouling organism requiring assisted transport to expand alien range. (Aquaculture, ships hulls). Coronate larvae typically spend less than 10 hours in plankton before settling, through transport as tiny colonies attached to floating material in ballast tanks is possible)",3,PR,Ref254,Some success with copper antifouling and control painting surfaces.
285,3,COMP PR/RE,"Ref006, Ref002","Preys upon and dominates native species; also has visible negative effects on habitat and fisheries. The crab is able to crush mussels and shows a clear potential to negatively threaten mussel farms.
The voracious predator in some locations of its introduced range, has caused the decline of other crab and bivalve species.",4,COMP PR/RE,Regionally pervasive,Ref006,Found in long stretches across ecoregions,4,COMP PR/RE,No,Ref213,"Research data strongly suggest that the introductions to Oregon, Washington and British Columbia occurred through larval transport via strong ocean currents associated with an unusually large El Nino event in 1997 and 1998. In addition, spatial data on captured European green crabs in Willapa Bay and Grays Harbor suggest that Coriolis forces may have influenced larval transport by deflecting planktonic European green crab larvae to the south entrance of each bay mouth.",3,COMP PR/RE,"Ref070, Ref213","Numerous management techniques suggested, including restrictions and more stringent shellfish importation regulations. Requires significant ongoing management."
286,4,COMP PR/RE,Ref006,Negative affects on aquaculture and native species; destruction of habitat; fouling,4,COMP PR/RE,Regionally patchy,Ref006,Found in a variety of ecoregions all over the world.,1,RE,No,Ref030,A fouling organism requiring assisted transport to expand alien range.,2,RE,Ref070,Antifoulants (TBT and novel modern coatings) and copper compounds.
287,3,COMP PR/RE,Ref006,Extremely successful competitors in native populations; can cause economic damage as a result,4,COMP PR/RE,Regionally pervasive,"Ref006, Ref663",,3,COMP PR/RE,No,"Ref006, Ref663","The fertilization of spawned eggs in open waters is followed by pelagic development of larvae, accompanied by dispersal sometimes far from the mother population. A fouling organism transported on ships hulls to expand alien range. Larvae transported in ballast water.",4,COMP PR/RE,"Ref006, Ref663",No known effective eradication in marine waters.
288,3,COMP PR/RE,"Ref006, Ref005","Fouling of pipes; causes changes in species compositions.
Smith et al. (2002) described  C. caspia as a 'benthic colonial predator' that preys upon chronomids and other larval insects. The ecological impacts of C. caspia, however, have not yet been thoroughly studied. Uncolonized substrate introduced to C. caspia and subsequently colonizied had different realtive abundances of other invertebrates as compared to substrates not colonized by C. caspia (Ruiz et al. 1999). Other studies have suggested that C. caspia may contribute to a restructuring of benthic and pelagic freshwater communities (Folino 1999).",4,COMP PR/RE,Regionally pervasive,Ref006,,1,COMP PR/RE,No,Ref005,"An organism requiring assisted transport to expand alien range. A common aquairum species - released into Lake Erie (Mills et al. 1993). Ballast water in Washington (Ruiz and Hines 1997).
May reproduce asexually by budding to establish firm presence in introduced regions. Fragmentation of the colony may be an important factor in dispersal. Rafting on floating debris as dormant stages or reproductive adults, together with their potentially long life span may have allowed hydroids to disperse over a wide area in the long term.",4,COMP PR/RE,"Ref005, Ref006, Ref090",No known controls in marine/freshwater environments once established. Preyed upon by nudibranchs.
289,3,COMP PR/RE,"Ref006, Ref002","Fouling; degradation of native habitat; domination over native species.
It has been documented destroying habitat and causing eutrophication of the water bodies it invades.
Causes fouling of cooling water systems and is a major problem in power stations.",4,COMP PR/RE,Regionally pervasive,Ref006,,4,RE,No,"Ref037, Ref012, Ref002","Intentional introductions for aquaculture.
Genetic evidence shows that spatfall in the River Teign originated from French stock (Child, Papageorgiou & Beaumont 1995), although it is unclear whether this was from adult specimens discarded at English sites or from larvae that crossed from the French side of the channel. Should the latter be the case, it would appear that, under favourable conditions for larval development, Crassostrea gigas has the capacity to spread substantial distances.
C. gigas is well known for its tendency to colonize areas of coastline many kilometers away from its parent organisms. Spat have been documented spreading up to 1,300 km on ocean currents.",4,COMP PR/RE,"Ref006, Ref002",No physical or biological controls are feasible which would not also harm other components of marine ecosystems.
290,2,COMP PR/RE,"Ref006, Ref073",One of the most competitive fouling organisms in ports and harbours.,4,COMP PR/RE,Regionally pervasive,Ref006,,1,COMP PR/RE,No,Ref073,A fouling organism requiring assisted transport to expand alien range.,4,,Ref073,No known effective eradication controls. Hull cleaning aids in prevention of spread.
291,1,COMP PR/RE,Ref006,Fouling,4,COMP PR/RE,Regionally pervasive,Ref006,,1,RE,No,Ref006,A fouling organism requiring assisted transport to expand alien range.,U,,,
292,2,COMP PR/RE,"Ref006, Ref257","Outcompetes native species; changes tube building consolidates sediments, thereby altering the habitat for other organisms. 
Has become abundant in Port Phillip Bay, Australia and are contributing to long-term and probably irreversible changes to the ecology of Port Phillip Bay. Densities exceed 2000/sq. m in Portland Harbour.",3,COMP PR/RE,Regionally pervasive,Ref006,,1,RE,No,Ref256,"A fouling organism requiring assisted transport to expand alien range. However, there is some concern that tidal flushing may also be responsible for localized spreading of this invasive from introduced sites in alien habitats.",4,PR,Ref257,"Considered long term and probably irreversible changes to the ecology of Port Phillip Bay, Victoria, Australia. No known predators."
