Species.ID,SPECIES.NAME,Higher.taxa,Genus,Species,Common.name,System.FTM,System.FrLandMar,Entry.info,Database.source,Database.scope,Ecos.services,Ag.pest
963,Dasya baillouviana,Algae,Dasya,Baillouviana,"Macroalgae, Red algae (Rhodophyta)",MR,Marine,RG (08/25/07),Ref218,Invasive,No,
964,Aglaothamnion halliae,Algae,Aglaothamnion,halliae,"Red alga, Rhodophyta",MR,Marine,RG (08/25/07),Ref218,Invasive,No,
965,Chattonella aff verruculosa,Algae,Chattonella,verruculosa,(aka Verrucophora fascima),MR,Marine,RG (08/25/07,Ref218,Invasive Native,No,
966,Crepidula onyx,Invertebrate - Mollusc,Crepidula,onyx,slipper limpet,MR,Marine,RG (08/26/07),Ref567,Invasive,No,
967,Didemnum vexillum,Ascidian,Didemnum,vexillum,"sea squirt, tunicate",MR,Marine,RG (08/27/07),Ref073,Invasive,No,No
968,Ammothea hilgendorfi,Invertebrate - Arthropod - Other,Ammothea,hilgendorfi,sea spider,MR,Marine,RG (08/28/07),Ref572,Invasive,No,
969,Caulerpa racemosa var. cylindracea,Plant,Caulerpa,recemosa var cylindracea,"Sea-grape, green algae",MR,Marine,RG (08/10/07),Ref509,Invasive,No,
970,Siganus rivulatus,Vertebrate - fish,Siganus,rivulatus,"rabbitfish, Marbled spinefoot",MR,Marine,RG (08/10/07),Ref509,Invasive,No,
971,Brachidontes pharaonis,Invertebrate - Mollusc,Brachidontes,pharaonis,Pharaonic mussel,MR,Marine,RG (08/10/07),Ref509,Invasive,No,
972,Cellana rota,Invertebrate - Mollusc,Cellana,rota,"Erythrean limpet, Wheel limpet",MR,Marine,RG (08/10/07),Ref509,Invasive,No,
973,Upeneus moluccensis,Vertebrate - fish,Upeneus,moluccensis,Goldband goatfish,MR,Marine,RG (08/10/07),Ref509,Invasive,No,
974,Aphanius dispar dispar,Vertebrate - fish,Aphanius,dispar dispar,"Erythrean killifish, Toothcarp","FW, MR","Marine, Freshwater",RG (08/10/07,Ref509,Invasive,No,No
975,Anadara demiri,Invertebrate - Mollusc,Anadara,demiri,arcid clam,MR,Marine,RG (08/10/07),Ref516,Alien,No,No
976,Amathina tricarinata,Invertebrate - Mollusc,Amathina,tricarinata,pyramidellacean limpet,MR,Marine,RG (08/10/07),Ref517,Alien,No,Yes
977,Cardites akabana,Invertebrate - Mollusc,Cardites,akabana,,MR,Marine,RG (08/10/07),Ref517,Alien,No,No
978,Scomberomorus commerson,Vertebrate - fish,Scomberomorus,commerson,"Narrow-barred Spanish mackerel, barred Spanish mackerel",MR,Marine,RG (08/10/07),Ref509,Invasive,No,No
979,Callionymus filamentosus,Vertebrate - fish,Callionymus,filamentosus,Blotchfin dragonet,MR,Marine,RG (08/10/07),Ref509,Invasive,No,No
980,Hydroides ezoensis,Invertebrate - Annelid,Hydroides,ezoensis,a tubeworm,MR,Marine,RG (08/28/07),Ref012,Non-Native,No,No
981,Pileolaria berkeleyana,Invertebrate - Annelid,Pileolaria,rosepigmentata,a tubeworm (aka P. berkeleyana),MR,Marine,RG (08/28/07),Ref012,Non-Native,No,No
982,Limaria orientalis,Invertebrate - Mollusc,Limaria,orientalis,a file shell,MR,Marine,RG (09/02/07),Ref585,Invasive,No,No
983,Botryllus violaceus,Tunicate,Botryllus,violaceus,Golden Star tunicate,MR,Marine,RG (09/02/07),Ref588,Invasive,No,No
984,Macrocystis integrifolia,Algae,Macrocystis,integrifolia,"Giant Sea Kelp, brown algae",MR,Marine,RG (09/02/07),Ref229,Non-Indigenous,Yes,No
985,Trochammina hadai,Protozoa,Trochammina,hadai,Foraminiferan,MR,Marine,RG (09/02/07),Ref229,Non-Indigenous,No,No
986,Jassa marmorata,Invertebrate - Arthropod - Crustacean,Jassa,marmorata,Tube dwelling amphipod,MR,Marine,RG (09/02/07),Ref229,Non-Indigenous,No,No
987,Heteromastus filiformis,Invertebrate - Annelid,Heteromastus,filiformis,Capitellid worm,MR,Marine,RG (09/02/07),Ref229,Non-Indigenous,No,No
988,Microspongium globosum,Algae,Microspongium,globosum,"Brown Alga, Phaeophyta",MR,Marine,RG (09/02/07),Ref229,Non-Indigenous,No,No
989,Busycotypus canaliculatus,Invertebrate - Mollusc,Busycotypus,canaliculatus,Channeled whelk,MR,Marine,RG (09/02/07),Ref073,Exotic/Alien,No,Yes
990,Codium webbiana,Algae,Codium,webbiana,Caulerpa sp.,MR,Marine,RG (09/02/07),Ref593,Non-Indigenous,No,No
991,Clavelina oblonga,Ascidian,Clavelina,oblonga,Ascidian,MR,Marine,RG (09/03/07),Ref593,Non-Indigenous,No,No
992,Distaplia corolla,Ascidian,Distaplia,corolla,Ascidian,MR,Marine,RG (09/03/07),Ref593,Non-Indigenous,No,No
993,Spirorbis marioni,Invertebrate - Annelid,Spirorbis,marioni,fouling serpulid worm,MR,Marine,RG (09/03/07),Ref593,Non-Indigenous,No,No
994,Saurida undosquamis,Vertebrate - fish,Saurida,undosquamis,"Brushtooth lizardfish, Grey saury (aka S. grandisquamis - FishBase); En - Brushtooth lizardfish, Fr - Anoli à grandes écailles, Sp - Lagarto escamoso",MR,Marine,RG (09/15/07),Ref509,Invasive,No,No
995,Herbstia condyliata,Invertebrate - Arthropod - Crustacean,Herbstia,condyliata,decapod spider crab,MR,Marine,RG (08/10/07),Ref509,Invasive,No,No
996,Acrothamnion preissii,Plant,Acrothamnion,preissii,"Rhodophyta, red algae",MR,Marine,RG (08/11/07),Ref519,Invasive,No,Yes
997,Antithamnion nipponicum,Plant,Antithamnion,nipponicum,"Rhodophyta, a red algae",MR,Marine,RG (08/11/07),Ref519,Invasive,No,No
3,Myriophyllum spicatum L.,Plant,Myriophyllum,spicatum L.,Eurasian Watermilfoil - spiked water-milfoil; myriophylle en épi,"FW, MR","Marine, Freshwater",RG (12/8/05),Ref001,Invasive,,No
10,Asterias amurensis,Invertebrate - Echinoderms,Asterias,amurensis,"Flatbottom seastar, Japanese Seastar, Japanese starfish, Nordpazifischer Seestern (German), North Pacific seastar, northern Pacific seastar, Purple-orange seastar",MR,Marine,JM (4/29/05),Ref002,Invasive,,
27,Perna viridis,Invertebrate - Mollusc,Perna,viridis,"Asian Green Mussel, Green mussel, Green lipped mussel, Philippine green mussel, sea mussel",MR,Marine,AP (7/5/05),Ref006,Introduced,,
28,Alitta succinea,Invertebrate - Annelid,Alitta,succinea,"Pileworm, nereidid worm, ragworm",MR,Marine,"AP (7/5/05), RG(10/22/07)",Ref006,Introduced,No,
29,Ascidiella aspersa,Tunicate,Ascidiella,aspersa,Solitary Ascidian,MR,Marine,"AP (7/5/05), RG (11/03/07)",Ref006,Introduced,No,
30,Boccardia proboscidea,Invertebrate - Annelid,Boccardia,proboscidea,Californian Polydorid,MR,Marine,"AP (7/5/05), RG (10/21/07)",Ref006,Introduced,No,
31,Codium fragile ssp tomentosoides,Algae,Codium,fragile ssp tomentosoides,"Dead man's fingers, green fleece, green sea fingers, oyster thief, Sputnik weed",MR,Marine,"AP (7/5/05), RG (10/20/07)",Ref006,Introduced,No,
32,Monocorophium acherusicum,Invertebrate - Arthropod - Other,Monocorophium,acherusicum,Mediterranean corophiid,MR,Marine,"AP (7/5/05),  (6/29/05)",Ref006,Introduced,,
