rgn_id,ecoregion,eco_area
6,North American Pacific Fijordland,0.011139083618601251
1,North American Pacific Fijordland,1
2,North American Pacific Fijordland,1
3,North American Pacific Fijordland,1
4,North American Pacific Fijordland,0.9524915271693504
8,North American Pacific Fijordland,1
7,North American Pacific Fijordland,0.6748737733967239
5,"Oregon, Washington, Vancouver Coast and Shelf",0.9694743278186602
4,"Oregon, Washington, Vancouver Coast and Shelf",0.02994484498022475
7,"Oregon, Washington, Vancouver Coast and Shelf",0.325126226603276
5,Puget Trough/Georgia Basin,0.030525672181339815
6,Puget Trough/Georgia Basin,0.9888609163813988
4,Puget Trough/Georgia Basin,0.01756362785042492
