ECO.CODE,ECOREGION,PROV.CODE,PROVINCE,RLM.CODE,SHELF.REAL,ALT.CODE,ECO.CODE.X,Shape.Leng,Shape.Area
20108,Northern Bay of Bengal,23,Bay of Bengal,5,Western Indo-Pacific,104,108,47.080207822,129.477906167
25058,Northern California,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,53,58,34.0835407752,59.668012089
20172,Northern Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,161,172,16.1313247415,17.3659880825
20005,Northern Grand Banks - Southern Labrador,1,Arctic,1,Arctic,5,5,45.3081869708,71.2894055781
20043,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,20,43,52.6769215137,132.989669694
20006,Northern Labrador,1,Arctic,1,Arctic,6,6,52.5642187312,99.277994174
20122,Ogasawara Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,141,122,52.032733106,101.044290874
25057,"Oregon, Washington, Vancouver Coast and Shelf",10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,54,57,40.0495431844,63.7478517443
20047,Oyashio Current,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,46,47,47.3085290688,110.691633516
20126,Palawan/North Borneo,30,Western Coral Triangle,6,Central Indo-Pacific,125,126,39.5346857957,70.4227467983
20170,Panama Bight,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,169,170,35.7643851551,73.9196912875
20130,Papua,30,Western Coral Triangle,6,Central Indo-Pacific,126,130,36.1770543497,69.5837631562
25185,Patagonian Shelf,48,Magellanic,9,Temperate South America,180,185,50.8995904463,68.1313087496
20218,Peter the First Island,59,Subantarctic Islands,12,Southern Ocean,225,218,19.1889632916,26.4745403389
20156,Phoenix/Tokelau/Northern Cook Islands,39,Central Polynesia,7,Eastern Indo-Pacific,151,156,78.5153137817,203.684209863
20216,Prince Edward Islands,59,Subantarctic Islands,12,Southern Ocean,226,216,22.0966633997,38.5804243127
25056,Puget Trough/Georgia Basin,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,55,56,20.8999468426,25.3314218166
20159,Rapa-Pitcairn,40,Southeast Polynesia,7,Eastern Indo-Pacific,153,159,54.437671315,106.078278599
20164,Revillagigedos,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,170,164,29.0280081458,54.5897394897
20182,Rio de la Plata,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,181,182,23.4005061111,40.9488778281
20134,Bismarck Sea,31,Eastern Coral Triangle,6,Central Indo-Pacific,128,134,34.4695612834,71.5689361123
20044,Black Sea,7,Black Sea,2,Temperate Northern Atlantic,41,44,49.4941187122,154.648054537
20141,Bonaparte Coast,32,Sahul Shelf,6,Central Indo-Pacific,134,141,36.4083627107,66.8542398176
25230,Bounty and Antipodes Islands,62,Subantarctic New Zealand,12,Southern Ocean,228,230,41.8919622465,48.3603378677
20217,Bouvet Island,59,Subantarctic Islands,12,Southern Ocean,220,217,21.2342129679,35.6352009312
20231,Campbell Island,62,Subantarctic New Zealand,12,Southern Ocean,229,231,19.8816895478,28.8171282833
20204,Cape Howe,56,Southeast Australian Shelf,11,Temperate Australasia,198,204,24.8163860009,41.5437117503
20079,Cape Verde,16,West African Transition,4,Tropical Atlantic,75,79,29.1524765149,64.946560386
20097,Cargados Carajos/Tromelin Island,20,Western Indian Ocean,5,Western Indo-Pacific,83,97,31.3757884179,68.514037055
25042,Carolinian,6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,21,42,32.074245451,55.3523973238
20026,Celtic Seas,2,Northern European Seas,2,Temperate Northern Atlantic,30,26,48.8062650754,134.11083843
20177,Central Chile,45,Warm Temperate Southeastern Pacific,9,Temperate South America,173,177,30.1684459216,55.5677295494
20051,Central Kuroshio Current,9,Warm Temperate Northwest Pacific,3,Temperate Northern Pacific,42,51,39.4354649285,68.5017793352
25199,Central New Zealand,54,Southern New Zealand,11,Temperate Australasia,205,199,47.9864102087,94.8526830952
20175,Central Peru,45,Warm Temperate Southeastern Pacific,9,Temperate South America,174,175,31.3803555855,51.8365245601
20093,Central Somali Coast,19,Somali/Arabian,5,Western Indo-Pacific,93,93,32.961268145,62.0935286165
20106,Chagos,22,Central Indian Ocean Islands,5,Western Indo-Pacific,101,106,26.039321384,51.3602188936
20187,Channels and Fjords of Southern Chile,48,Magellanic,9,Temperate South America,176,187,56.638716969,126.851991053
25198,Chatham Island,54,Southern New Zealand,11,Temperate Australasia,206,198,26.7228904605,41.5412193238
20167,Chiapas-Nicaragua,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,163,167,30.1231950534,51.0223495602
20188,Chiloense,48,Magellanic,9,Temperate South America,177,188,30.5968988692,50.8221268214
20181,Rio Grande,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,182,181,26.8307055044,47.3629822352
20229,Ross Sea,61,Continental High Antarctic,12,Southern Ocean,213,229,201.318688215,895.446532048
20028,Saharan Upwelling,3,Lusitanian,2,Temperate Northern Atlantic,38,28,54.0806546236,108.770373598
20157,Samoa Islands,39,Central Polynesia,7,Eastern Indo-Pacific,152,157,34.9670984029,66.581979686
20073,Sao Pedro and Sao Paulo Islands,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,62,73,20.7235075972,32.8621569828
20039,Scotian Shelf,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,24,39,24.6342109923,31.2044672922
