Grouping,Number of responding municipalities,Responding population,Population served sewers,Percent of the population that is served sewers,Percent of the population that is on private septic systems,Percent of the population that is on sewage haulage (holding tanks)
Newfoundland and Labrador,50,348 836,321 997,92.3%,7.7%,0.0%
Prince Edward Island,10,63 805,58 757,92.1%,7.9%,0.0%
Nova Scotia,31,791 001,535 846,67.7%,32.2%,0.1%
New Brunswick,63,402 541,351 319,87.3%,12.1%,0.6%
Quebec,542,6 182 520,5 385 542,87.1%,12.8%,0.1%
Ontario,241,11 948 830,10 457 340,87.5%,12.2%,0.2%
Manitoba,95,988 766,876 176,88.6%,9.2%,2.2%
Saskatchewan,187,696 621,642 644,92.3%,6.6%,1.1%
Alberta,180,3 481 798,3 104 981,89.2%,9.6%,1.2%
British Columbia,111,3 162 751,2 721 350,86.0%,13.4%,0.6%
Territories,14,55 391,42 322,76.4%,8.3%,15.3%

Municipal Population, , , , , ,
Under 1000,453,241 181,113 995,47.3%,48.8%,3.9%
1001–2000,296,430 794,230 173,53.4%,44.1%,2.5%
2001–5000,292,971 417,598 607,61.6%,36.5%,1.8%
5001–50 000,408,5 785 533,3 916 092,67.7%,31.2%,1.1%
50 001–500 000,65,9 560 467,8 730 643,91.3%,8.4%,0.3%
More than 500 000,10,11 133 468,10 908 761,98.0%,2.0%,0.0%
Total, 2009,1 524,28 122 860,24 498 272,87.1%,12.4%,0.5%
Total, 2006,1 314,28 177 339,24 880 590,88.3%*, ,
