taxon_key,taxon_scientific_name,taxon_common_name
100039,Marine fishes not identified,Marine fishes nei
300044,Gadiformes,Cods
600319,Boreogadus saida,Polar cod
501486,Lycodes,Eelpouts
100139,Marine finfishes not identified,Finfishes
600051,Brosme brosme,Tusk
690269,Pandalus borealis,Northern prawn
600024,Clupea harengus,Atlantic herring
400396,Anarhichadidae,"Wolffishes, wolfeels"
603810,Anarhichas denticulatus,Northern wolffish
300061,Pleuronectiformes,Flatfishes
505897,Anarhichas,Wolffishes
400440,Pleuronectidae,Righteye flounders
600309,Gadus ogac,Greenland cod
600247,Salvelinus alpinus alpinus,Arctic char
400183,Gadidae,"Cods, haddocks"
400277,Cottidae,Sculpins
604122,Myoxocephalus quadricornis,Fourhorn sculpin
600505,Sebastes mentella,Beaked redfish
501135,Sebastes,Redfishes
601383,Molva dypterygia,Blue ling
600031,Micromesistius poutassou,Blue whiting
600252,Mallotus villosus,Capelin
600501,Sebastes norvegicus,Golden redfish
602501,Anarhichas lupus,Atlantic wolffish
190195,Mollusca,"Clams, seasnails, squids, octopuses"
290004,Bivalvia,Clams
290013,Scyphozoa,True jellyfishes
300059,Scorpaeniformes,"Scorpionfishes, flatheads"
501410,Salvelinus,Chars
690398,Mactromeris polynyma,Arctic surfclam
690434,Buccinum undatum,Whelk
400019,Rajidae,Stingrays
690494,Strongylocentrotus droebachiensis,Green sea urchin
590110,Busycon,Whelks
590158,Strongylocentrotus,Sickle-arched sea urchins
600331,Macrourus berglax,Roughhead grenadier
100239,Marine groundfishes not identified,Groundfishes
400573,Sebastidae,"Rockfishes, rockcods, thornyheads"
300009,Squaliformes,"Bramble, sleeper, dogfish sharks"
200004,Elasmobranchii,"Sharks, rays, skates"
100047,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei"
601343,Pollachius virens,Saithe
600516,Reinhardtius hippoglossoides,Greenland halibut
600069,Gadus morhua,Atlantic cod
100077,Miscellaneous aquatic invertebrates,Aquatic invertebrates
601381,Melanogrammus aeglefinus,Haddock
590065,Chionoecetes,"Tanner, snow crabs"
690313,Chionoecetes opilio,Snow crab
500717,Myoxocephalus,Grubbies and sculpins
400185,Macrouridae,"Grenadiers, rattails"
602678,Coregonus sardinella,Sardine cisco
602700,Argentina silus,Greater argentine
600033,Molva molva,Ling
400266,Triglidae,"Searobins, gurnards"
500686,Gaidropsarus,Rocklings
400043,Clupeidae,"Herrings, sardines, menhadens"
290006,Gastropoda,Sea snails
604239,Hippoglossoides platessoides,American plaice
603811,Anarhichas minor,Spotted wolffish
601520,Clupea pallasii pallasii,Pacific herring
400190,Lophiidae,Goosefishes
490044,Crangonidae,Brown shrimps
602669,Coregonus autumnalis,Arctic cisco
602674,Coregonus nasus,Broad whitefish
602692,Stenodus leucichthys,Sheefish
608425,Gaidropsarus ensis,Threadfin rockling
