taxon_key,taxon_scientific_name,taxon_common_name
604250,Pleuronectes quadrituberculatus,Alaska plaice
604252,Pleuronichthys decurrens,Curlfin sole
604255,Psettichthys melanostictus,Pacific sand sole
604642,Galeorhinus galeus,Tope shark
604796,Sarda chiliensis lineolata,Pacific bonito
614290,Thunnus orientalis,Pacific bluefin tuna
624237,Lepidopsetta bilineata,Rock sole
690064,Saxidomus gigantea,Butter clam
690115,Metacarcinus magister,Dungeness crab
690283,Crassostrea gigas,Pacific cupped oyster
690284,Panopea abrupta,Pacific geoduck
690285,Leukoma staminea,Pacific littleneck clam
690286,Siliqua patula,Pacific razor clam
690287,Cancer productus,Pacific rock crab
690337,Mya arenaria,Sand gaper
690429,Patinopecten caurinus,Weathervane scallop
690608,Erimacrus isenbeckii,Hair Crab
690621,Paralithodes camtschaticus,Red king crab
690651,Clinocardium nuttallii,Nuttall cockle
690658,Doryteuthis opalescens,California market squid
690660,Pandalus jordani,Ocean shrimp
690665,Upogebia pugettensis,Blue mud shrimp
690891,Enteroctopus dofleini,North Pacific giant octopus
