am_sid,iucn_sid,sciname,map_iucn_sid,map_subpop,spp_group,spatial_source
ITS-Mam-180524,2474,Balaenoptera acutorostrata,2474,NA,MARINE_MAMMALS,iucn
ITS-Mam-180526,2475,Balaenoptera borealis,2475,NA,MARINE_MAMMALS,iucn
ITS-Mam-180528,2477,Balaenoptera musculus,2477,NA,MARINE_MAMMALS,iucn
ITS-Mam-180527,2478,Balaenoptera physalus,2478,NA,MARINE_MAMMALS,iucn
Fis-55409,2636,Bathyraja abyssicola,2636,NA,CHONDRICHTHYES,iucn
ITS-Mam-180496,2763,Berardius bairdii,2763,NA,MARINE_MAMMALS,iucn
ITS-Mam-180627,3590,Callorhinus ursinus,3590,NA,MARINE_MAMMALS,iucn
Fis-23071,3855,Carcharodon carcharias,3855,NA,CHONDRICHTHYES,iucn
Rep-2666,3897,Caretta caretta,3897,NA,REPTILES_marine,iucn
Fis-22747,4292,Cetorhinus maximus,4292,NA,CHONDRICHTHYES,iucn
ITS-Mam-180438,6336,Delphinus delphis,6336,NA,MARINE_MAMMALS,iucn
ITS-Mam-180547,7750,Enhydra lutris,7750,NA,TERRESTRIAL_MAMMALS_marine,iucn
Rep-5181,8005,Eretmochelys imbricata,8005,NA,REPTILES_marine,iucn
ITS-Mam-180521,8097,Eschrichtius robustus,8097,NA,MARINE_MAMMALS,iucn
ITS-Mam-180625,8239,Eumetopias jubatus,8239,NA,MARINE_MAMMALS,iucn
ITS-Mam-180466,9249,Globicephala macrorhynchus,9249,NA,MARINE_MAMMALS,iucn
ITS-Mam-180457,9461,Grampus griseus,9461,NA,MARINE_MAMMALS,iucn
Fis-23157,10030,Hexanchus griseus,10030,NA,CHONDRICHTHYES,iucn
ITS-Mam-180491,11047,Kogia breviceps,11047,NA,MARINE_MAMMALS,iucn
ITS-Mam-180444,11145,Lagenorhynchus obliquidens,11145,NA,MARINE_MAMMALS,iucn
Rep-6936,11534,Lepidochelys olivacea,11534,NA,REPTILES_marine,iucn
ITS-Mam-180454,12125,Lissodelphis borealis,12125,NA,MARINE_MAMMALS,iucn
NA,12302,Lontra canadensis,12302,NA,TERRESTRIAL_MAMMALS_marine,iucn
ITS-Mam-180530,13006,Megaptera novaeangliae,13006,NA,MARINE_MAMMALS,iucn
ITS-Mam-180512,13243,Mesoplodon carlhubbsi,13243,NA,MARINE_MAMMALS,iucn
ITS-Mam-180514,13252,Mesoplodon stejnegeri,13252,NA,MARINE_MAMMALS,iucn
ITS-Mam-180672,13581,Mirounga angustirostris,13581,NA,MARINE_MAMMALS,iucn
ITS-Mam-180469,15421,Orcinus orca,15421,NA,MARINE_MAMMALS,iucn
ITS-Mam-180649,17013,Phoca vitulina,17013,NA,MARINE_MAMMALS,iucn
ITS-Mam-180473,17027,Phocoena phocoena,17027,NA,MARINE_MAMMALS,iucn
ITS-Mam-180480,17032,Phocoenoides dalli,17032,NA,MARINE_MAMMALS,iucn
ITS-Mam-180463,18596,Pseudorca crassidens,18596,NA,MARINE_MAMMALS,iucn
ITS-Mam-180434,20731,Stenella coeruleoalba,20731,NA,MARINE_MAMMALS,iucn
Fis-22832,21856,Thunnus alalunga,21856,NA,TUNAS_BILLFISHES,iucn
Fis-22836,21859,Thunnus obesus,21859,NA,TUNAS_BILLFISHES,iucn
ITS-Mam-180498,23211,Ziphius cavirostris,23211,NA,MARINE_MAMMALS,iucn
Fis-24153,39324,Notorynchus cepedianus,39324,NA,CHONDRICHTHYES,iucn
Fis-29541,39328,Squatina californica,39328,NA,CHONDRICHTHYES,iucn
Fis-23899,39339,Alopias vulpinus,39339,NA,CHONDRICHTHYES,iucn
Fis-58485,39341,Isurus oxyrinchus,39341,NA,CHONDRICHTHYES,iucn
Fis-29426,39342,Lamna ditropis,39342,NA,CHONDRICHTHYES,iucn
Fis-25233,39352,Galeorhinus galeus,39352,NA,CHONDRICHTHYES,iucn
Fis-23222,39381,Prionace glauca,39381,NA,CHONDRICHTHYES,iucn
Fis-30722,39396,Tetronarce californica,39396,NA,CHONDRICHTHYES,iucn
ITS-Mam-180621,41666,Zalophus californianus,41666,NA,MARINE_MAMMALS,iucn
ITS-Mam-180488,41755,Physeter macrocephalus,41755,NA,MARINE_MAMMALS,iucn
Fis-30562,44183,Beringraja binoculata,44183,NA,CHONDRICHTHYES,iucn
Fis-22998,44209,Apristurus brunneus,44209,NA,CHONDRICHTHYES,iucn
Fis-24068,60191,Hydrolagus colliei,60191,NA,CHONDRICHTHYES,iucn
Fis-23213,60231,Parmaturus xaniurus,60231,NA,CHONDRICHTHYES,iucn
Fis-131852,63119,Amblyraja hyperborea,63119,NA,CHONDRICHTHYES,iucn
NA,153538,Zostera marina,153538,NA,SEAGRASSES,iucn
Fis-131458,161350,Bathyraja maculata,161350,NA,CHONDRICHTHYES,iucn
Fis-24315,161375,Bathyraja trachura,161375,NA,CHONDRICHTHYES,iucn
NA,161402,Bathyraja interrupta,161402,NA,CHONDRICHTHYES,iucn
Fis-30664,161403,Somniosus pacificus,161403,NA,CHONDRICHTHYES,iucn
Fis-131850,161452,Amblyraja badia,161452,NA,CHONDRICHTHYES,iucn
Fis-30566,161466,Raja inornata,161466,NA,CHONDRICHTHYES,iucn
Fis-24311,161471,Bathyraja parmifera,161471,NA,CHONDRICHTHYES,iucn
Fis-24312,161595,Raja rhina,161595,NA,CHONDRICHTHYES,iucn
Fis-24314,161629,Raja stellulata,161629,NA,CHONDRICHTHYES,iucn
Fis-24308,161661,Bathyraja aleutica,161661,NA,CHONDRICHTHYES,iucn
Fis-24310,161706,Bathyraja kincaidii,161706,NA,CHONDRICHTHYES,iucn
Fis-29507,170306,Scomber japonicus,170306,NA,TUNAS_BILLFISHES,iucn
Fis-22777,170310,Katsuwonus pelamis,170310,NA,TUNAS_BILLFISHES,iucn
Fis-123736,170341,Thunnus orientalis,170341,NA,TUNAS_BILLFISHES,iucn
Fis-21631,170352,Sarda chiliensis,170352,NA,TUNAS_BILLFISHES,iucn
NA,173320,Phyllospadix torreyi,173320,NA,SEAGRASSES,iucn
NA,173348,Zostera japonica,173348,NA,SEAGRASSES,iucn
NA,173366,Phyllospadix serrulatus,173366,NA,SEAGRASSES,iucn
NA,173367,Phyllospadix scouleri,173367,NA,SEAGRASSES,iucn
NA,173373,Zostera pacifica,173373,NA,SEAGRASSES,iucn
NA,180325,Paelopatides confundens,180325,NA,SEACUCUMBERS,iucn
NA,180331,Mesothuria murrayi,180331,NA,SEACUCUMBERS,iucn
W-Hol-152565,180381,Pseudostichopus mollis,180381,NA,SEACUCUMBERS,iucn
W-Hol-529363,180436,Parastichopus californicus,180436,NA,SEACUCUMBERS,iucn
NA,180446,Holothuria stocki,180446,NA,SEACUCUMBERS,iucn
